FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
d74f61a69ee4746f52227e2f10321615,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Acanthamoeba,unclassified
46c1336656b855654ba32b8bdf957152,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,unclassified
2bdcf2b201cbac24431dd55d6633782a,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura,unclassified
a793d17271d24bf4b7636dcb08626419,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,unclassified
430055b30cafb0654a24d7ceacfb08c0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,unclassified
1c58aad387d0cb74ee90993eb10b8300,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,unclassified
fd0264e87eecfe37fc48dab2ac291ca0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,unclassified
b03d139d373b40b4b64106b9e4b01842,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,unclassified
1afede945738aae9a6a223f8b4652276,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified
920a3e9726d648c986bc1f8ecd54250c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,unclassified
e987d6fadcb443633e4b7fbafacd1132,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,unclassified
c00d3037ee919fbaf359b5a4f399794d,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,unclassified
e4104ab52768afb198181de28ad29445,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,unclassified
72828830944d018c59b2f57ead3822b6,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,unclassified
20eedbdb919061d0eae11c6b10b8f32d,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,unclassified
2070bcf66d54b6b4c1521f444443856f,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Phytophthora,unclassified
2338aace1a20b45775561f426836aec1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified
1c854703a37c655fa0a1c45836525f16,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,unclassified
7ed31dbe85fbd96aaca57c9a97297a8c,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,unclassified
a3c69945459c0333c1bcc970ba9e49c9,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified
eb944af358727c109ab6a783973860cd,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Chelatococcus,unclassified
6915ec8714706fda87e4aca481d5cd1b,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Acanthamoeba,unclassified
b76bb66542c3d7aa5cfe503b921b9d53,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rhodanobacter,unclassified
ef26442262d303f92b3be9a253589ac0,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,unclassified
68fef1af1468834455bb692bccc2fd2c,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,unclassified
4ee99d1df00ed97fcd027d9157eacb75,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Microtetraspora,unclassified
3526ff0edf3c5ebe882a488a8db375f3,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,unclassified
85ee156a7d4f14ca3e57ca7b8fdb7bc6,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,unclassified
8551d62b535b2192a32fe3394d62d78b,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,unclassified
3438d9a8f390c1ad370af12d3029d535,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,unclassified
b63ad9410e83e7e1bfeaa0fb55684792,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified
122d4f62ceb65a5e2af4e8fdeb458cbc,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,unclassified
277f2cdfbb7413dc76b308e34a95dbe1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Stella,unclassified
71be674af0ca0de0497599dc37b2fdb6,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,unclassified
ee0d40b719fbc60c450d4710b50da125,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,unclassified
5b6636b5cc4ff62bde1a67a67a4b7a70,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Phytophthora,unclassified
c43ab7703929959d9b7a462ace817fcc,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,unclassified
72ccc8c23077a0b4164af44ef55f72f9,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Phytohabitans,unclassified
c595dcaa485feb591c1f77ec9caec0a2,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,unclassified
e630657c53eb342d6446f189682ca94d,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,unclassified
bb1d54d69cf406da75110035cf2e364f,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified
8e68fee2630eb838b4f7bde201f56b55,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,unclassified
99c95edd3a0ae57f0839b6c231563813,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,unclassified
4d902c2d69c694c129ae8b52ab0b0dce,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,unclassified
feef2cd202180cd509afa2021514b55f,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified
5db4acb958de758f5c5a782fbd4c57ea,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified
35e7b44c672e37d6d3cde7cd64fcc00b,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,unclassified
88112607c24fb4e40947f6c54653c85f,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,unclassified
015640fc27b79bc8a68fe8ca8154a361,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,unclassified
478ea45cb6f2a3aec0e07eb63ab357ee,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Cystobacter,unclassified
9900ba14cbd0bb14ad522f873225bd13,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,unclassified
7e28f1182d1a8ec1717ec97c9f83f216,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium,unclassified
d15dc71f6b854901de500ee76e3c7688,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,unclassified
3e465895a7fc3b3f13258388869a405e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,unclassified
0a6f6a11f9056c02a2a634ae910a2cb0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Dyella,unclassified
30f2118cff62db316b69499882dc7d34,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Ammoniphilus,unclassified
4195f719b90eac989a4e5091ca738c3d,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,unclassified
56990d80f9005d691fb271dd5e111852,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,unclassified
f09466a9660bc971ae7c48419a43d8ad,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,unclassified
89efef73a2cef7fa266d404f776fe7a0,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,unclassified
49d1768665f99d8ebc835d2e82778f58,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,unclassified
6a2b924a11494f6c86428e05fcc5d264,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unclassified
b698fabbc70a2374c8974a75ee7b1ae3,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,unclassified
0be372f1e48dc22c1b15de5fefefc2e8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified
d994db416da8ccfccf8688e2ad6d4f41,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,unclassified
