ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
0dc7ea549b0ea4aeb29de582c8bad97a,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,unclassified
edbb16dc7da914699da8cb893081ca27,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,unclassified
6c6ee7442c8590fbb997d6d463d030ae,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,unclassified
261b344fe14763462cdebfd8ba4d9e9c,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
f304d3a66be617485d52d8385ab4a2a5,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,unclassified
539ea64b94620e3ed82fa11b47946ef9,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,unclassified
75e03d7f693177213c0e23c3d773caf3,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,unclassified
a5662fc959e1381782fc6a2ee217e6fd,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
7314dff29fee08067ccea295a617d3c2,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,unclassified
7c658abadbd8f6fe69a3b9f891197537,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Remersonia,unclassified
00809916af4d52ec76fe0cb282d5f75a,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Emericellopsis,unclassified
4d70fcfc60e0a985f9db4cebb7e0a644,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Achaetomium,unclassified
7b8272a434b46835bf690c7fe8a34236,Fungi,Ascomycota,Sordariomycetes,Xylariales,Coniocessiaceae,Coniocessia,unclassified
dd9fe73ae55defd0e8ede2df146bde6c,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,unclassified
00a40b6b56091079884cc3e658f860a6,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,unclassified
405a5e3cbd6852dbda08a84799a6e955,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,unclassified
9b35941c412b07f35666d1fb4757afe9,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,unclassified
f2b173318d2aeea3d182bf4f37c9b85e,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,unclassified
e3fdb0929c4842bcedf2fd50aa9c0f59,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
dbf1136f495802c6dfdd8c365af8ccca,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,unclassified
4150fbf5dbac2486940706a04acf9530,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
f585590c54356dfdd74e06c454d23c08,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,unclassified
ba508c3a7e922ad81ea2992529a29d01,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Thanatephorus,unclassified
8bf08425fc5b2d5e6ba93c0cab65a441,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvariella,unclassified
a2f62aca6844e4e4f46f003922d56861,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,unclassified
a9fa7c808c9debcef0848d6de8823fc0,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Collariella,unclassified
b507e13497e2a6f98e3dd5b7b2672171,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,unclassified
2969a754d9148af43b6ee3b925e75768,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,unclassified
719d8f12288863cbed05716eb1779c8d,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Achaetomium,unclassified
e875d3fd3b000a70ffdf88dd9950c24f,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Thanatephorus,unclassified
4497b17ae7a09f0699d5d474f3c53dad,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,unclassified
168b7087ff5587e329140638f41ea137,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Thanatephorus,unclassified
2ebbf38022529a099d6a6fb87fdae7db,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,unclassified
945a488c34e976948ca27781d7a12278,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
532fceb3a9dbe4a2232e3a41cc80694e,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
79525bd401c6d0c50bfa8649311eef8d,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
a5c5a174091e56c93c7f7788832ec647,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,unclassified
961f316417631312b4a3b483d1101414,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvariella,unclassified
68adf083cd595a75c31803dfb7bd8876,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,unclassified
7b8c5ed9db3a3d58b3a3ad225fda51be,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Fusariella,unclassified
23cebcd3c7e12ffbb3e71653fbcc8163,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,unclassified
6d9b8117a0aff83241faded2d5a655ba,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Thanatephorus,unclassified
dbdbd970cd23ef7628a83a75d985d836,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,unclassified
d2d44afc81d1cf8ae706cf93f85321bc,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,unclassified
7cb3a0990c078142bb19f8263290178b,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
109c5128c9702c4d24b8c68b77b8a81d,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Thanatephorus,unclassified
186230c715bc376e7d0ced66d1962169,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,unclassified
4705c16f755cc563876c593ba829c460,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,unclassified
0978b8fcaa716fea4f84f53030f73209,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,unclassified
9d6588585d7fe2817627700167c8ffd9,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
30a6cafa849844afe32cdbf68d23fd43,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,unclassified
a7f1dd6a541389aca6068e292511b326,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
79ca440ca97419a415b81cd3506f0667,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
ec3315c2f8fc3a634700c69246ae73ef,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,unclassified
f1e4b076f0711b3dca97fde514d8ce33,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,unclassified
1dcaed99673aaf8b165468e7f660ec93,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Sodiomyces,unclassified
a464af1be8f4482183bddd2f0d8ac170,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,unclassified
226ded8c73006c34d56970a66bd86cb1,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,unclassified
201ea3c3303e48b14683a87a381f4325,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
afc0627686b6288697388275b07d5bf3,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
c3cf6f854f2a330ed7cbc0e8ffbab2c5,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unclassified
8c054b1d73a0db0722420cd7a530b25c,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,unclassified
3cbd680d249bb328229f7d933298cba3,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,unclassified
3e9613245e2cedccc58d6facf7339c98,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Panaeolus,unclassified
0f1f1ada21e453f6140fec591563112a,Fungi,Ascomycota,Sordariomycetes,Xylariales,Coniocessiaceae,Coniocessia,unclassified
dcee945a9f12c90537fc3b8f4d1f33f5,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Scytalidium,unclassified
f1566b31b103b84467340159705a5169,Fungi,Ascomycota,Sordariomycetes,Xylariales,Coniocessiaceae,Coniocessia,unclassified
c7d0cf01f66d7d9fcd9b3705e2e36cd8,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,unclassified
76db0b65dcd0c6fbac2d861b3e04f49d,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,unclassified
fe8333e725ec648f49eb9b622a9cc90e,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Keratinophyton,unclassified
a20e2909d945774135d2e9eb3c939d20,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,unclassified
70052593f4ccecce2d1079fcb8e20edd,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,unclassified
ded425ae2308fec2f6c2a514b7e952d0,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,unclassified
b5579e93be41d809623a006130bab074,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudeurotium,unclassified
456615ec3765a33926726403a24e8e3a,Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Monosporascus,unclassified
2fe14b470088fb56be3a928b5cc8c05d,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudeurotium,unclassified
66e93a28e25da2e9e70be8349ce07910,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Subramaniula,unclassified
b5205349079a40a1d027c784dea780ac,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,unclassified
edf7c69edf03c36cda3025802808152b,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Gymnopilus,unclassified
13336826fc23943591db656e7622682d,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Pithoascus,unclassified
9ec576879017c92c1ffff44b55ba8784,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma,unclassified
