,MAC_P8_A_S2_20210718,MAC_P8_A_S3_20210718,MAC_P8_N_S2_20210718,MAC_P8_C_S1_20210718,MAC_P8_C_S3_20210718,MAC_P11_A_S1_20210718,MAC_P11_N_S1_20210718,MAC_P11_N_S2_20210718,MAC_P11_N_S3_20210718,MAC_P11_C_S1_20210718,MAC_P11_C_S2_20210718,MAC_P11_C_S3_20210718,MAC_P4_A_S1_20210909,MAC_P4_A_S2_20210909,MAC_P4_A_S3_20210909,MAC_P6_N_S1_20210909,MAC_P6_N_S2_20210909,MAC_P6_N_S3_20210909,MAC_P7_C_S1_20210919,MAC_P7_C_S2_20210919,MAC_P7_C_S3_20210919,MAC_P8_A_S1_20210909,MAC_P8_A_S2_20210909,MAC_P8_A_S3_20210909,MAC_P10_C_S1_20210919,MAC_P10_C_S2_20210919,MAC_P10_C_S3_20210919,MAC_P11_N_S1_20210909,MAC_P11_N_S2_20210909,MAC_P11_N_S3_20210909
Glucose,9686,2462,8648,1844,3212,8048,3730,3104,5507,5251,10316,3301,26731,39146,1834,3459,2609,17809,9684,4728,35191,39146,4565,21974,55495,32313,10710,22661,6946,18981
Fructose,7017,2703,7917,1075,3636,8767,4887,3428,5338,5676,8245,2926,21998,38325,2486,3076,2909,16233,9369,5047,34279,39126,5435,21055,56722,34281,11019,24033,8365,18642
Sucrose,8402,NA,4509,5210,2238,4509,1737,2075,10092,15965,4373,NA,2545,3200,2846,NA,NA,NA,11566,NA,15623,61822,7520,3522,16687,3512,15631,6297,14154,19053
Asparagine,1615,853,3664,707,346,821,317,596,661,597,NA,354,3220,10657,157,304,697,5191,259,815,3311,12647,1459,1525,10193,3368,773,251,1426,1114
Alanine,536,205,674,344,102,236,409,145,506,704,1271,275,2905,929,38,60,72,581,296,179,514,680,288,483,899,493,244,347,136,584
myoInositol,1280,156,622,260,95,480,127,229,298,364,991,403,304,307,92,57,89,393,289,103,539,1822,181,580,1624,436,652,472,217,454
Glutamine,285,47,634,135,17,276,744,374,565,382,317,246,428,1355,50,76,55,327,195,106,909,570,174,188,516,480,NA,1078,279,476
Glutamate,543,297,553,133,113,176,125,102,211,361,887,299,1962,611,89,62,71,278,283,190,294,383,270,371,550,212,199,377,202,588
4Aminobutyrate,277,55,398,222,116,492,231,235,433,778,909,163,1242,513,39,43,40,323,113,155,101,204,267,116,335,231,62,225,334,434
Aspartate,170,85,97,49,101,108,46,183,NA,NA,NA,312,3317,NA,19,12,257,49,83,217,400,201,141,680,289,184,72,554,193,337
Methanol,328,185,141,229,210,324,117,239,109,235,324,419,568,323,166,112,95,117,219,144,190,155,168,389,349,307,140,224,195,199
Valine,277,131,312,90,63,247,121,86,163,199,355,111,571,419,12,27,23,206,86,99,244,511,136,211,309,219,98,104,132,298
Allantoin,770,89,497,119,39,54,31,75,123,61,129,45,350,637,13,29,18,50,37,75,155,518,38,81,500,423,19,28,110,222
Choline,275,24,362,130,22,68,182,67,178,365,225,37,291,301,50,7,16,141,78,66,295,373,53,45,394,227,219,164,178,344
Threonine,138,113,214,56,51,152,96,61,121,171,184,118,352,372,NA,NA,10,235,95,102,211,332,153,110,190,115,26,88,179,214
4Hydroxybenzoate,277,77,472,155,4,20,88,24,247,143,177,59,138,62,5,13,8,26,88,32,21,183,29,732,275,49,43,102,15,109
Galactose,99,148,274,68,25,57,70,41,128,188,167,53,223,109,28,40,21,113,141,48,316,236,41,140,154,106,16,188,115,203
Leucine,246,134,229,76,54,128,71,50,85,138,233,87,262,171,NA,35,17,83,41,40,116,204,85,122,175,88,79,34,84,201
Ethanolamine,185,424,233,98,NA,61,103,47,106,183,179,NA,189,163,23,NA,NA,70,67,27,99,221,31,64,210,131,54,124,79,173
Arabinose,140,136,332,88,32,55,60,30,71,168,153,157,243,120,NA,16,12,165,74,29,57,140,41,115,221,153,63,95,43,319
Acetate,264,69,86,41,45,71,13,32,90,114,483,109,180,69,37,38,14,113,142,28,14,118,110,106,116,55,155,55,42,149
Isoleucine,173,80,184,54,44,120,45,41,61,88,145,61,170,153,5,23,14,94,55,48,199,249,76,96,134,91,58,33,76,179
Formate,112,459,26,45,49,83,14,56,53,57,269,67,89,18,4,37,24,41,73,39,42,66,88,150,27,17,126,19,82,51
Citrate,NA,68,119,NA,26,168,73,29,91,81,107,NA,NA,171,NA,40,NA,123,30,41,NA,236,NA,128,NA,NA,59,NA,128,238
Tryptophan,83,11,63,61,10,24,14,7,15,24,42,7,63,96,7,14,17,59,17,24,217,385,33,43,151,68,62,19,94,121
Uridine,81,36,102,34,7,34,46,15,50,101,163,30,93,74,NA,6,7,42,43,15,27,56,28,36,90,33,27,53,30,78
Betaine,33,14,109,34,8,17,8,13,11,17,121,31,174,47,2,4,5,33,14,13,37,340,36,44,85,22,34,17,15,45
Lactate,49,NA,41,49,31,NA,NA,NA,91,163,507,NA,NA,NA,71,131,46,NA,NA,NA,NA,NA,NA,23,NA,NA,46,NA,NA,84
Xylose,48,65,73,NA,113,NA,NA,NA,NA,47,63,149,77,47,NA,18,NA,125,29,11,NA,NA,85,74,77,63,60,NA,NA,57
4Hydroxyphenylacetate,89,75,25,41,NA,4,NA,NA,9,NA,47,39,119,NA,NA,33,4,25,42,12,NA,35,NA,168,60,37,26,46,19,296
Phenylalanine,89,44,68,36,26,49,25,13,33,44,96,28,NA,44,NA,12,4,44,NA,23,84,44,34,44,63,36,26,23,57,100
Tyrosine,31,10,55,19,23,50,27,25,25,70,131,31,90,49,8,10,7,27,47,21,78,32,32,27,35,25,NA,14,63,92
Ferulate,9,5,24,12,18,18,6,16,31,45,146,43,94,43,4,8,14,40,29,23,14,63,56,41,36,27,7,28,16,43
