name,Compounds,Name,Formula,Volatility,Category
2Oxoisocaproate,C00233,2-Oxoisocaproate,C6H10O3,4.368206032,high
3Hydroxybutyrate,NA,NA,NA,NA,NA
3Hydroxyisovalerate,C20827,3-Hydroxyisovalerate,C5H10O3,3.471153471,high
4Hydroxybutyrate,NA,NA,NA,NA,NA
4Hydroxyphenylacetate,C00642,4-Hydroxyphenylacetate,C8H8O3,1.676053472,moderate
Acetate,C00033,Acetate,C2H4O2,6.727316698,high
Acetone,C00207,Acetone,C3H6O,8.9178091,high
Adenosine,C00212,Adenosine,C10H13N5O4,-4.127707202,low
Alanine,C01401,Alanine,C3H7NO2,3.19863378,high
Aspartate,C16433,Aspartate,C4H7NO4,-0.647023912,low
Betaine,C00719,Betaine,C5H11NO2,5.697517799,high
Choline,C00114,Choline,C5H14NO,6.996535222,high
Cytidine,C00475,Cytidine,C9H13N3O5,-2.378617564,low
dTTP,C00459,dTTP,C10H17N2O14P3,-3.370412123,low
Formate,C00058,Formate,CH2O2,5.701786794,high
Fructose,C00095,Fructose,C6H12O6,-2.135962288,low
Fumarate,C00122,Fumarate,C4H4O4,2.448517439,high
Glucose,C00031,Glucose,C6H12O6,-2.135962288,low
Glutamate,C00025,Glutamate,C5H9NO4,-1.043511609,low
Glycine,C00037,Glycine,C2H5NO2,3.564235968,high
Isoleucine,C16434,Isoleucine,C6H13NO2,2.046633343,high
Lactate,C01432,Lactate,C3H6O3,4.233407475,high
Leucine,C16439,Leucine,C6H13NO2,2.046633343,high
Malate,C00711,Malate,C4H6O5,0.386177192,moderate
Malonate,C00383,Malonate,C3H4O4,2.946079304,high
Maltose,C00208,Maltose,C12H22O11,-11.19760832,low
Methanol,C00132,Methanol,CH4O,8.244507483,high
myoInositol,C00137,myo-Inositol,C6H12O6,-4.365962288,low
Nicotinate,C00253,Nicotinate,C6H5NO2,4.604080437,high
Oxypurinol,C07599,Oxypurinol,C5H4N4O2,7.455949558,high
Phenylacetate,C07086,Phenylacetate,C8H8O2,3.76780017,high
Phenylalanine,C02057,Phenylalanine,C9H11NO2,0.15177061,moderate
Pyruvate,C00022,Pyruvate,C3H4O3,5.51857826,high
Succinate,C00042,Succinate,C4H6O4,2.56099499,high
Sucrose,C00089,Sucrose,C12H22O11,-11.19760832,low
Thymidine,C00378,Thiamine,C12H17N4OS,0.742615843,moderate
Thymine,C00178,Thymine,C5H6N2O2,6.936550113,high
transAconitate,C02341,trans-Aconitate,C6H6O6,-1.835391552,low
Trehalose,C01083,Trehalose,C12H22O11,-11.19760832,low
Tryptophan,C00806,Tryptophan,C11H12N2O2,-2.835101447,low
Uridine,C00299,Uridine,C9H12N2O6,-0.995862628,low
Valine,C16436,Valine,C5H11NO2,2.437517799,high
bAlanine,C00099,β-Alanine,C3H7NO2,3.19863378,high
Sarcosine,C00213,Sarcosine,C3H7NO2,3.37963378,high
Dimethylamine,C00543,Dimethylamine,C2H7N,7.103808774,high
3Hydroxyphenylacetate,C05593,3-Hydroxyphenylacetate,C8H8O3,1.676053472,moderate
4Aminobutyrate,C00334,4-Aminobutyrate,C4H9NO2,2.822131285,high
Adenine,C00147,Adenine,C5H5N5,4.235530393,high
Carnitine,C00487,Carnitine,C7H16NO3,2.728858279,high
Citrate,C00158,Citrate,C6H8O7,-3.917630288,low
Glycerol,C00116,Glycerol,C3H8O3,3.363019616,high
Glycine,C00037,Glycine,C2H5NO2,3.564235968,high
Inosine,C00294,Inosine,C10H12N4O5,-2.745109742,low
Methylamine,C00218,Methylamine,CH5N,7.200950123,high
OPhosphocholine,C00588,O-Phosphocholine,C5H15NO4P,7.243962597,high
pCresol,C01468,p-Cresol,C7H8O,5.547766752,high
snGlycero3phosphocholine,C00670,sn-Glycero-3-phosphocholine,C8H21NO6P,1.610794572,moderate
Methylhistidine,NA,NA,NA,NA,NA
2Hydroxyisovalerate,NA,NA,NA,NA,NA
2Oxoglutarate,C00026,2-Oxoglutarate,C5H6O5,1.278433791,moderate
3Aminoisobutyrate,C01205,3-Aminoisobutyrate,C4H9NO2,2.822131285,high
Acetoacetate,C00164,Acetoacetate,C4H6O3,5.142766471,high
Acetylsalicylate,C01405,Acetylsalicylate,C9H8O4,2.249441328,high
Anserine,C01262,Anserine,C10H16N4O3,-3.812531112,low
Cholate,C00695,Cholate,C24H40O5,-8.913942815,low
Citrulline,C00327,Citrulline,C6H13N3O3,1.323287875,moderate
GTP,C00044,GTP,C10H16N5O14P3,-9.144959312,low
Glutamine,C00303,Glutamine,C5H10N2O3,0.303571698,moderate
Guanosine,C00387,Guanosine,C10H13N5O5,-4.951455118,low
Histamine,C00388,Histamine,C5H9N3,4.470679543,high
Homocitrulline,C02427,Homocitrulline,C7H15N3O3,0.916738587,moderate
Hypoxanthine,C00262,Hypoxanthine,C5H4N4O,5.619684043,high
NAcetylglutamine,NA,NA,NA,NA,NA
NADP,C00006,NADP+,C21H29N7O17P3,-18.12819689,low
OAcetylcarnitine,C02571,O-Acetylcarnitine,C9H18NO4,2.978937467,high
Succinylacetone,NA,NA,NA,NA,NA
