"sprout_name","X","height","X.1","dist_probe","plot_number","column","accession_num","prod_value","c_date","n_date","prod_des"
"7424_19",NA,137,142,134,7424,24,656041,2,2021-09-28,NA,"High Productivity"
"7426_19",NA,150,129,121,7426,26,656041,2,2021-09-28,NA,"High Productivity"
"7428_16",NA,141,85,77,7426,28,656041,2,2021-09-28,NA,"High Productivity"
"7426_1",NA,13,NA,187,7428,26,656041,2,2021-06-01,44348,"High Productivity"
"7428_1",NA,15,NA,180,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_2",NA,11,NA,162,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_3",NA,9,NA,147,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_4",NA,11,NA,128,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_5",NA,13,NA,113,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_6",NA,13,NA,96,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_7",NA,12,NA,77,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_8",NA,21,NA,61,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_9",NA,16,NA,45,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_10",NA,21,NA,29,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_11",NA,15,NA,11,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_12",NA,15,NA,12,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_13",NA,8,NA,26,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_14",NA,7,NA,43,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_15",NA,16,NA,62,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7428_16",NA,8,NA,77,7428,28,656041,2,2021-06-01,44348,"High Productivity"
"7426_2",NA,18,NA,172,7426,26,656041,2,2021-06-01,44348,"High Productivity"
"7426_3",NA,13,NA,152,7426,26,656041,2,2021-06-01,44348,"High Productivity"
"7426_4",NA,18,NA,137,7426,26,656041,2,2021-06-01,44348,"High Productivity"
"7426_5",NA,15,NA,117,7426,26,656041,2,2021-06-01,44348,"High Productivity"
"7426_6",NA,15,NA,102,7426,26,656041,2,2021-06-01,44348,"High Productivity"
"7426_7",NA,17,NA,87,7426,26,656041,2,2021-06-01,44348,"High Productivity"
"7426_8",NA,15,NA,70,7426,26,656041,2,2021-06-01,44348,"High Productivity"
"7426_9",NA,15,NA,52,7426,26,656041,2,2021-06-01,44348,"High Productivity"
"7426_10",NA,11,NA,34,7426,26,656041,2,2021-06-01,44348,"High Productivity"
"7426_11",NA,17,NA,20,7426,26,656041,2,2021-06-01,44348,"High Productivity"
"7426_12",NA,17,NA,0,7426,26,656041,2,2021-06-01,44348,"High Productivity"
"7426_13",NA,17,NA,19,7426,26,656041,2,2021-06-01,44348,"High Productivity"
