"","OTU","VB0889_001","VB0889_002","VB0889_003","VB0889_004","VB0889_005","VB0889_006","VB0889_007","VB0889_008","VB0889_009","VB0889_010","VB0889_011","VB0889_012","VB0889_013","VB0889_014","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_019","VB0889_020","VB0889_021","VB0889_022","VB0889_023","VB0889_024","VB0889_025","VB0889_026","VB0889_028","VB0889_029","VB0889_030","VB0889_031","VB0889_032","VB0889_033","VB0889_034","VB0889_035","VB0889_036","VB0889_037","VB0889_038","VB0889_039","VB0889_040","VB0889_041","VB0889_042","VB0889_043","VB0889_044","VB0889_045","VB0889_046","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_053","VB0889_054","VB0889_055","VB0889_056","VB0889_057","VB0889_058","VB0889_059","VB0889_060","VB0889_061","VB0889_062","VB0889_063","VB0889_064","VB0889_065","VB0889_066","VB0889_067","VB0889_068","VB0889_070","VB0889_071","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_079","VB0889_080","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_087","VB0889_088","VB0889_089","VB0889_090","VB0889_091","VB0889_093","VB0889_094","VB0889_095","VB0889_097","VB0889_098","VB0889_099","VB0889_100","VB0889_101","VB0889_102","VB0889_103","VB0889_104","VB0889_105","VB0889_106","VB0889_107","VB0889_108","VB0889_109","VB0889_110","VB0889_111","VB0889_112","VB0889_113","VB0889_114","VB0889_116","VB0889_117","VB0889_118","VB0889_119","VB0889_120","VB0889_121","VB0889_122","VB0889_124","VB0889_125","VB0889_126","VB0889_127","VB0889_128","VB0889_129","VB0889_130","VB0889_131","VB0889_132","VB0889_133","VB0889_135","VB0889_136","VB0889_137","VB0889_138"
"1","Fungi_Ascomycota_Leotiomycetes_Thelebolales_Pseudeurotiaceae_Pseudeurotium_Pseudeurotium_hygrophilum_cf005d300eaf8f03577c045c5da8a043",0,0,0,1,2,1,0,0,1,2,3,1,1,1,0,2,2,1,4,3,2,1,0,0,1,0,0,3,2,0,1,5,0,6,2,1,0,0,1,1,0,1,2,0,2,1,0,0,0,0,0,1,0,1,3,1,0,0,0,1,0,0,2,0,1,0,0,0,0,1,1,2,1,1,0,0,2,0,2,1,2,0,1,2,1,2,3,0,1,0,2,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,5,3,0,2,2,0,2,2,2,0,6,17,8,0,1,0,0
"2","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_ruber_cc0d1aa8c0fbfb0d12569d738348e716",157,286,43,272,245,126,17,284,30,167,164,1007,556,130,161,189,303,181,224,235,362,104,200,285,146,105,164,75,76,201,116,15,83,194,227,354,215,17,11,15,820,26,564,324,70,305,99,326,144,260,64,137,120,79,320,112,324,839,141,76,46,157,583,61,224,8,324,151,101,164,120,284,191,166,127,108,142,303,400,154,108,81,396,84,107,130,56,160,268,191,337,45,128,135,100,106,77,145,334,394,87,141,144,93,136,181,140,46,84,176,77,65,193,271,197,85,128,345,89,56,63,40,14,53,102,19,50,188,168,203,292
"3","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_215338aaf2fb5b1c1466cb60b729950e",115,47,53,88,153,290,4,159,41,228,76,59,25,91,643,81,30,222,76,98,30,307,354,262,257,347,208,47,211,88,312,38,395,159,361,103,147,87,19,42,99,87,137,124,69,71,382,161,180,55,52,24,24,12,382,128,53,128,477,39,36,48,21,86,112,3,83,281,42,354,78,97,141,32,182,226,107,37,78,30,336,339,307,266,158,131,19,131,151,395,168,157,145,65,106,141,254,203,126,104,219,413,468,63,227,46,361,215,131,350,77,77,239,33,183,155,264,315,157,245,146,35,11,23,172,15,108,53,30,110,103
"4","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_b373d0b28cdca8bdb8fa8e8fab8c494e",216,0,0,187,0,108,0,152,0,6,203,46,0,13,51,100,0,0,116,213,48,56,61,30,84,72,65,82,101,0,224,0,40,52,151,86,278,0,0,0,78,73,111,93,12,235,74,156,95,26,44,6,34,103,0,37,80,4,67,0,0,270,0,109,48,0,0,111,19,95,266,99,50,0,159,220,303,69,80,117,145,93,137,0,123,53,239,59,130,12,151,77,72,384,75,29,0,0,0,102,26,40,18,0,47,0,48,74,0,9,0,26,17,25,69,66,244,68,42,326,51,0,634,457,5,9,565,0,56,51,421
"5","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_32db07028d938bc49b91054972d504d0",60,0,29,27,170,23,1,24,55,112,103,27,11,14,51,60,77,26,11,18,41,270,149,77,118,51,129,24,47,153,64,0,185,91,241,89,4,5,4,7,47,48,15,96,110,84,44,6,62,24,72,0,8,39,0,63,42,103,174,59,60,52,26,29,65,0,38,224,35,65,63,27,53,54,42,9,50,4,54,21,17,188,30,22,56,18,28,118,110,108,207,50,224,372,35,18,60,312,115,45,169,133,79,30,204,39,298,89,42,114,150,19,33,46,15,95,77,134,43,129,274,68,0,50,73,13,160,26,30,57,3
"6","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_66366195ccb0e50fb1681ebf6da1d0ec",35,42,26,22,75,83,110,38,116,54,21,19,36,9,5,19,27,104,24,25,48,53,74,43,30,113,108,42,87,50,19,16,37,21,12,49,16,48,68,28,45,99,33,58,37,37,51,7,55,138,16,18,47,45,0,141,33,16,130,49,8,15,9,5,158,172,50,74,103,70,49,65,161,182,42,10,86,63,156,29,17,99,41,19,92,42,21,82,76,80,51,29,78,16,13,63,39,115,37,78,60,59,53,42,53,31,11,61,31,63,47,37,66,82,24,96,106,15,43,153,50,106,61,147,41,75,70,16,26,29,39
"7","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_0d508cf0069dec81f9e6fd6bf8ec542c",80,9,25,62,120,67,43,92,109,65,145,22,23,29,28,53,96,68,13,46,93,35,52,81,40,59,61,122,34,76,59,0,50,51,16,57,59,5,11,33,137,75,56,92,14,58,52,66,43,108,22,44,181,26,45,38,122,58,70,153,14,23,9,91,47,0,35,28,78,60,32,97,87,110,43,71,63,21,62,33,29,36,22,33,76,36,42,57,89,39,70,28,41,61,28,99,88,76,41,57,9,30,38,93,116,198,26,44,30,44,57,124,81,85,42,18,75,34,55,37,48,207,0,22,45,7,36,18,42,56,54
"8","Fungi_Ascomycota_Pezizomycetes_Pezizales_Pyronemataceae_Trichophaeopsis_Trichophaeopsis_sp_281a17fe0deceafed1b225151fb585f6",0,14,4,29,11,27,0,35,24,4,0,0,3,1,78,27,104,72,0,2,8,263,23,37,80,7,6,36,40,257,59,0,0,70,0,1,19,19,26,0,53,0,60,1,14,1,10,36,13,34,0,2,58,149,0,66,0,22,28,12,2,0,1,24,10,0,35,9,0,5,0,11,19,7,37,0,0,15,37,27,80,11,56,44,36,0,0,32,82,1,6,1,58,6,33,2,115,14,10,27,242,174,67,8,81,21,125,90,84,4,296,20,75,60,31,167,92,28,11,4,369,13,3,48,29,3,0,23,16,58,6
"9","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_40ea8008fbdbba04d7b6996dad4cf0f3",56,3,11,14,15,62,15,35,23,18,4,16,43,9,31,9,0,12,8,390,21,0,22,18,12,1,18,10,18,10,4,0,1,14,1,67,17,47,23,0,11,2,8,13,0,20,8,18,31,17,139,0,8,76,5,12,67,6,9,62,7,7,227,4,61,8,75,3,0,19,9,158,43,260,11,16,19,103,13,740,21,13,2,149,64,2,14,63,7,48,18,3,30,8,7,0,6,34,3,4,6,0,1,11,12,0,5,28,3,0,5,3,17,63,1,2,9,0,1,24,0,189,0,53,1,10,38,12,3,50,23
"10","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_unclassified_3ecc0270390f6c66a29c6ce70e22993a",40,38,69,18,26,24,0,28,9,44,95,53,23,16,10,20,48,22,386,32,68,13,8,10,14,8,8,15,10,26,67,7,18,73,33,50,73,5,6,2,9,29,33,25,54,54,15,112,12,85,15,46,33,14,142,14,15,34,21,26,4,27,4,32,24,3,77,22,36,34,16,24,41,16,18,21,19,47,21,22,16,4,37,9,4,156,233,7,26,75,50,75,37,21,87,11,20,15,35,47,28,14,12,24,49,94,16,24,133,40,23,64,27,159,11,19,29,38,18,26,28,41,5,20,16,11,29,8,32,24,6
