"","OTU","VB0889_001","VB0889_002","VB0889_003","VB0889_005","VB0889_007","VB0889_009","VB0889_010","VB0889_011","VB0889_012","VB0889_013","VB0889_014","VB0889_019","VB0889_026","VB0889_029","VB0889_033","VB0889_037","VB0889_039","VB0889_040","VB0889_041","VB0889_043","VB0889_045","VB0889_046","VB0889_053","VB0889_054","VB0889_055","VB0889_056","VB0889_058","VB0889_061","VB0889_062","VB0889_063","VB0889_064","VB0889_065","VB0889_066","VB0889_067","VB0889_071","VB0889_079","VB0889_080","VB0889_087","VB0889_088","VB0889_089","VB0889_093","VB0889_095","VB0889_100","VB0889_104","VB0889_105","VB0889_108","VB0889_110","VB0889_112","VB0889_113","VB0889_116","VB0889_118","VB0889_121","VB0889_122","VB0889_124","VB0889_125","VB0889_129","VB0889_130","VB0889_132","VB0889_133","VB0889_135","VB0889_138"
"1","Fungi_Ascomycota_Leotiomycetes_Thelebolales_Pseudeurotiaceae_Pseudeurotium_Pseudeurotium_hygrophilum_cf005d300eaf8f03577c045c5da8a043",0,3,1,1,0,1,0,0,0,2,2,6,0,0,6,1,0,0,0,1,2,5,2,0,2,2,0,0,0,1,0,0,2,0,0,1,0,1,0,5,0,0,1,0,2,0,2,0,2,1,2,2,1,2,0,1,2,29,7,0,0
"2","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_ruber_cc0d1aa8c0fbfb0d12569d738348e716",168,307,61,235,21,43,157,129,999,563,128,241,90,59,18,362,14,10,16,27,338,74,124,113,103,334,328,76,47,130,675,82,233,16,107,134,272,123,123,59,222,43,95,400,91,79,190,53,110,63,202,66,134,341,125,16,45,15,56,169,290
"3","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_215338aaf2fb5b1c1466cb60b729950e",120,62,53,160,3,34,254,84,60,28,92,78,368,42,48,107,89,16,47,83,143,48,16,29,15,330,55,36,23,70,26,116,130,2,51,131,51,143,140,12,395,161,163,88,236,49,64,193,164,73,237,143,294,291,187,8,41,15,97,56,93
"4","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_b373d0b28cdca8bdb8fa8e8fab8c494e",265,0,0,0,0,0,3,229,67,0,13,150,59,105,0,86,0,0,0,84,81,12,2,32,107,0,97,0,0,270,0,102,47,0,15,332,63,125,42,261,6,90,21,96,43,0,0,59,0,0,15,64,247,51,34,635,435,10,578,0,441
"5","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_32db07028d938bc49b91054972d504d0",63,0,28,163,2,68,133,102,27,16,13,15,58,20,0,113,6,5,10,26,93,120,5,6,33,0,46,54,51,41,31,32,83,0,37,48,2,84,20,37,103,43,22,46,174,30,35,88,39,157,28,98,74,126,50,0,44,16,162,27,3
"6","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_66366195ccb0e50fb1681ebf6da1d0ec",20,34,18,72,148,125,54,21,16,47,17,41,120,41,15,59,45,70,29,103,67,27,13,48,48,0,23,47,9,22,20,9,170,138,95,98,48,101,41,14,73,16,54,92,70,65,32,60,33,43,47,79,109,13,50,80,136,81,71,25,29
"7","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_0d508cf0069dec81f9e6fd6bf8ec542c",89,14,30,124,36,96,69,139,27,21,30,14,60,121,0,43,10,11,24,56,102,12,42,186,29,35,115,144,7,25,15,75,52,0,82,61,33,83,40,49,43,18,106,50,18,90,189,43,32,68,97,26,68,42,51,0,16,9,35,23,63
"8","Fungi_Ascomycota_Pezizomycetes_Pezizales_Pyronemataceae_Trichophaeopsis_Trichophaeopsis_sp_281a17fe0deceafed1b225151fb585f6",0,9,8,19,0,34,5,0,0,4,3,0,2,48,0,2,25,26,0,0,3,13,2,71,138,0,0,12,5,0,2,23,11,0,0,0,14,25,0,0,4,6,3,38,270,0,16,105,101,296,72,183,101,28,11,7,38,4,0,20,9
"9","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_cavaraeanum_3ef59b2f9f412671f09d8618873e7c30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"10","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_40ea8008fbdbba04d7b6996dad4cf0f3",52,4,14,12,16,37,11,6,29,58,9,12,2,7,0,51,35,17,0,1,9,0,2,9,88,15,49,56,16,6,198,3,43,11,0,24,121,70,2,23,44,3,0,6,4,13,0,27,2,3,23,1,3,0,2,0,43,19,23,17,23
"11","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_unclassified_3ecc0270390f6c66a29c6ce70e22993a",30,34,78,29,1,4,48,81,51,27,12,378,8,16,3,33,8,5,3,42,29,49,59,24,13,111,13,32,4,24,5,35,23,0,37,29,45,6,141,212,65,103,24,51,21,21,86,25,120,28,18,13,36,41,13,1,20,14,27,8,11
"12","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_f6bf1fecdda38d7d895fe1e45209366d",0,0,9,0,0,75,59,0,0,34,2,17,78,0,2,101,0,0,79,0,17,0,0,0,0,0,426,7,0,49,0,172,10,0,0,0,0,0,47,147,0,24,0,108,9,1,5,0,5,0,14,69,0,25,0,0,0,0,114,0,0
"13","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_d798e6cdf3f3fce061e27c38e25a394d",8,20,397,12,0,14,15,0,1,3,0,60,106,40,1,49,103,68,0,9,76,0,0,35,26,0,45,14,4,224,26,7,4,0,57,25,0,102,129,14,0,0,18,0,2,0,0,3,26,0,20,4,1,0,22,36,4,264,31,47,4
"14","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Stachybotryaceae_Stachybotrys_Stachybotrys_chartarum_eb085739f088ae86379d5c8fd616e11a",29,23,15,14,2,24,60,17,15,289,36,22,35,25,5,14,2,76,8,30,27,6,349,30,6,81,30,14,10,20,2,43,22,6,18,36,87,15,34,24,18,11,26,52,20,38,42,25,86,33,25,19,45,17,13,5,19,2,9,10,9
"15","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_polycephala_779b455103c81b47872711d49f05c0be",11,10,21,39,17,38,36,18,1,35,84,24,54,37,35,15,35,70,0,58,31,12,44,29,43,12,6,58,7,29,12,26,29,13,36,98,26,21,14,24,7,2,8,57,15,59,41,11,61,25,21,37,69,8,26,22,18,60,27,6,12
"16","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_Chaetomium_cervicicola_baa7f0d2c74e3f154cb90f2bfb185b3d",0,29,4,5,302,128,0,13,11,8,23,6,0,9,40,0,5,57,14,31,11,24,37,18,10,0,0,33,717,0,0,0,42,215,38,17,0,80,0,54,17,4,18,11,84,97,27,121,8,38,11,5,12,6,7,45,35,7,0,432,20
"17","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Hyalosphaerella_Hyalosphaerella_fragilis_a15adea148d395a2af800de785689521",45,100,23,37,13,50,44,38,21,17,16,33,22,32,14,45,31,7,24,33,41,10,22,48,56,27,27,67,16,34,11,33,37,17,52,15,22,10,57,23,34,27,37,63,43,87,74,40,17,16,15,12,53,23,32,49,46,41,40,10,16
"18","Fungi_Ascomycota_Sordariomycetes_Xylariales_Diatrypaceae_Monosporascus_unclassified_456615ec3765a33926726403a24e8e3a",0,0,70,12,96,0,3,0,0,57,0,0,11,0,405,0,151,156,7,46,15,18,0,30,25,0,0,100,32,176,6,7,0,101,19,0,0,21,44,0,10,30,0,3,99,0,100,41,27,22,0,0,0,0,0,298,144,151,0,0,90
"19","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_752c804ed74473d63a28a1f0959ece39",59,0,6,0,0,8,20,23,0,0,23,0,33,6,0,14,61,0,3,0,125,0,0,6,0,0,0,0,0,6,3,14,0,0,0,47,16,12,36,0,51,10,11,21,10,0,0,46,16,138,96,3,29,66,22,0,0,0,0,0,0
"20","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Subramaniula_Subramaniula_thielavioides_c0ca333b82f730059feebd24b43d7972",26,0,31,19,10,22,14,11,0,16,25,0,16,39,8,18,27,25,0,94,21,20,14,33,34,0,20,25,3,12,0,20,19,90,17,79,5,6,22,34,19,13,12,55,11,36,31,18,21,13,87,8,21,17,15,13,28,12,12,2,14
"21","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_jodhpurensis_80e9118eb4a31b37bff24fb85108f8e2",16,0,10,11,18,144,17,52,0,27,222,20,6,230,10,17,25,8,32,46,20,27,21,34,36,49,15,17,0,17,1,22,16,21,16,23,36,9,19,22,20,13,30,76,24,22,31,26,32,15,13,23,14,10,13,16,24,25,19,5,11
"22","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_terreus_107d7f29f9a85d2899355fd8184504f0",3,4,9,22,11,5,24,20,9,47,3,133,9,9,0,0,4,9,4,59,21,54,23,208,14,0,0,15,0,54,0,155,12,0,39,14,0,14,44,254,60,14,8,15,8,4,33,15,17,20,19,24,21,16,13,1,14,0,8,5,0
"23","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Curvularia_Curvularia_mebaldsii_2495576c942c0b8f99d73e364268a0d9",3,6,7,4,0,1,17,12,6,12,6,4,23,7,0,4,6,2,16,5,18,2,9,15,5,15,3,6,0,3,1,33,9,0,5,22,13,1,6,6,11,8,27,39,18,15,0,16,22,9,21,18,29,13,64,0,3,4,29,3,1
"24","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_72e0e850ed800f454c0ead07b8aee884",0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,54,0,0,0,0,0,0,9,53,0,0,70,0,83,0,0,14,0,0,0,0,99,0,0,0,28,0,60,9,0,82,0,0,0,0,0,0
"25","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_2908d4e357dce29580db77bfea7b6a48",0,0,0,0,0,0,0,0,0,18,0,0,149,76,0,0,108,0,0,0,14,90,0,0,0,16,0,0,0,0,0,187,53,0,0,0,0,0,0,0,0,0,169,16,0,47,0,0,0,0,0,0,21,15,17,0,35,0,0,0,0
"26","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_95f3c43d644ee659e8266e1c4c9ee642",0,0,29,4,20,1,9,21,16,20,22,3,11,22,5,174,7,4,0,5,5,0,11,15,10,0,12,7,3,20,3,20,7,0,7,2,3,58,5,6,18,21,0,0,28,2,15,0,42,2,59,4,1,2,8,5,0,0,7,12,0
"27","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_unclassified_1a061860efe2fd1091f90de83d82ff4d",122,0,2,3,1,0,3,0,0,0,0,0,0,3,0,0,0,5,20,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,1,4,124,0,1,0,0,5,8,22,7,3,0,15,94,0,0,0,0,0,0
