"","OTU","VB0889_001","VB0889_002","VB0889_003","VB0889_004","VB0889_005","VB0889_006","VB0889_007","VB0889_013","VB0889_014","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_026","VB0889_028","VB0889_029","VB0889_030","VB0889_037","VB0889_038","VB0889_039","VB0889_040","VB0889_041","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_053","VB0889_054","VB0889_061","VB0889_062","VB0889_063","VB0889_064","VB0889_065","VB0889_066","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_087","VB0889_088","VB0889_089","VB0889_090"
"1","Fungi_Ascomycota_Leotiomycetes_Thelebolales_Pseudeurotiaceae_Pseudeurotium_Pseudeurotium_hygrophilum_cf005d300eaf8f03577c045c5da8a043",0,9,0,1,3,1,0,9,13,0,3,6,3,9,8,0,7,7,10,0,0,4,5,7,6,0,0,0,13,0,5,0,6,9,11,3,12,4,7,13,5,0,6,5,1,7,26,0
"2","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_ruber_cc0d1aa8c0fbfb0d12569d738348e716",981,1664,293,1350,1286,640,83,3127,751,736,1124,1532,1029,753,500,945,331,448,1974,1198,78,93,86,4513,1840,674,1340,321,705,660,395,243,815,3445,402,1331,671,1638,1080,808,740,611,1989,461,600,661,287,917
"3","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_215338aaf2fb5b1c1466cb60b729950e",613,314,279,448,879,1617,9,169,479,3680,465,171,1246,1271,2017,1158,238,1094,534,862,425,96,213,613,723,908,323,275,97,181,202,189,325,130,560,646,479,415,807,184,948,1167,1640,1386,830,754,94,768
"4","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_b373d0b28cdca8bdb8fa8e8fab8c494e",1330,0,0,1000,0,577,0,0,73,279,606,0,0,440,315,341,574,657,469,1555,0,0,0,460,786,466,160,260,29,198,0,5,1560,0,632,229,1364,466,331,0,856,1177,863,0,646,189,1533,435
"5","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_32db07028d938bc49b91054972d504d0",383,6,190,148,934,138,18,76,61,304,267,382,160,611,310,673,133,287,580,18,43,32,58,190,58,306,137,420,3,59,318,305,230,191,188,385,325,112,369,380,282,54,192,129,329,88,251,549
"6","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_66366195ccb0e50fb1681ebf6da1d0ec",134,233,155,116,437,446,709,235,59,49,148,157,509,240,610,564,207,472,334,76,278,341,162,231,96,321,674,122,138,278,256,52,105,82,48,769,361,357,882,1063,227,70,209,92,616,191,107,364
"7","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_0d508cf0069dec81f9e6fd6bf8ec542c",482,51,141,344,678,396,225,165,173,178,295,502,394,199,238,318,703,148,249,224,33,58,141,681,435,250,631,136,254,969,761,72,133,114,399,294,172,481,533,523,240,434,144,135,467,210,284,323
"8","Fungi_Ascomycota_Pezizomycetes_Pezizales_Pyronemataceae_Trichophaeopsis_Trichophaeopsis_sp_281a17fe0deceafed1b225151fb585f6",0,47,35,124,76,139,0,15,8,459,135,590,319,477,27,32,257,215,9,67,121,118,0,334,192,88,220,22,15,331,45,7,0,2,120,44,0,52,91,69,199,6,309,277,152,0,0,130
"9","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_40ea8008fbdbba04d7b6996dad4cf0f3",268,26,60,65,63,342,75,234,41,126,34,0,98,73,13,128,57,179,265,92,268,94,0,52,74,158,108,761,7,71,343,60,24,1153,25,259,51,935,229,1438,54,127,12,970,295,9,112,335
"10","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_unclassified_3ecc0270390f6c66a29c6ce70e22993a",217,180,368,102,126,102,9,132,82,87,85,283,140,72,48,64,90,60,176,385,36,30,13,44,581,79,364,51,277,210,179,32,159,14,192,131,112,115,215,135,98,121,251,36,42,777,1237,39
"11","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_f6bf1fecdda38d7d895fe1e45209366d",0,0,63,238,0,19,0,135,13,125,213,252,80,152,469,159,0,322,524,178,0,0,369,27,50,130,39,0,0,0,50,0,348,0,859,75,314,160,18,95,557,0,0,522,0,218,762,224
"12","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_d798e6cdf3f3fce061e27c38e25a394d",26,47,2228,526,65,167,0,9,0,625,83,91,360,53,535,0,229,1985,269,74,542,413,0,100,48,1677,618,253,0,229,70,21,1216,113,28,26,221,619,21,0,74,114,64,140,501,809,58,480
"13","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Stachybotryaceae_Stachybotrys_Stachybotrys_chartarum_eb085739f088ae86379d5c8fd616e11a",165,154,36,127,40,89,6,1580,178,148,189,131,200,215,143,114,94,129,99,371,20,438,24,92,343,116,178,89,1868,145,132,49,104,27,136,153,207,97,337,148,69,221,130,68,89,207,107,57
"14","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_polycephala_779b455103c81b47872711d49f05c0be",60,52,97,154,199,72,68,145,452,59,84,72,282,214,343,129,181,122,77,245,193,363,9,128,378,132,163,94,192,135,312,36,142,69,140,165,153,102,372,194,47,74,107,75,119,95,126,64
"15","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_Chaetomium_cervicicola_baa7f0d2c74e3f154cb90f2bfb185b3d",0,118,23,40,59,40,1780,30,90,0,55,18,0,299,0,76,78,36,0,37,28,308,76,22,106,0,55,27,196,107,100,3817,0,11,0,205,38,15,108,51,25,11,89,0,401,0,307,22
"16","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Hyalosphaerella_Hyalosphaerella_fragilis_a15adea148d395a2af800de785689521",218,600,135,177,203,109,118,74,122,100,103,227,150,194,106,138,214,127,254,195,198,55,142,96,57,145,153,115,124,200,340,94,207,51,131,175,197,133,202,173,65,0,130,132,111,268,149,97
"17","Fungi_Ascomycota_Sordariomycetes_Xylariales_Diatrypaceae_Monosporascus_unclassified_456615ec3765a33926726403a24e8e3a",0,0,366,348,47,181,510,316,0,0,107,17,0,0,77,0,0,0,0,0,792,771,32,117,304,243,109,121,0,186,546,132,879,61,26,0,48,118,160,376,37,68,95,527,98,202,0,0
"18","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_752c804ed74473d63a28a1f0959ece39",344,0,28,0,0,81,0,0,103,62,32,60,107,91,172,120,25,93,66,264,278,0,20,109,114,119,0,0,0,48,0,0,41,18,59,0,84,0,94,42,117,123,279,144,75,155,0,105
"19","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Subramaniula_Subramaniula_thielavioides_c0ca333b82f730059feebd24b43d7972",108,0,125,143,113,84,36,99,139,94,147,267,109,99,102,72,256,45,106,158,176,109,0,68,175,57,220,74,68,246,147,25,65,0,67,93,118,152,91,126,70,81,101,21,26,114,157,48
"20","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_jodhpurensis_80e9118eb4a31b37bff24fb85108f8e2",112,0,53,54,91,37,84,154,1119,68,66,175,46,111,53,53,1229,72,72,98,131,43,173,47,133,36,80,51,83,204,110,0,77,5,121,78,84,63,223,115,33,180,73,0,40,106,121,50
"21","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_terreus_107d7f29f9a85d2899355fd8184504f0",52,43,75,85,173,45,43,231,40,88,77,129,101,87,36,53,62,83,0,82,25,38,27,28,90,0,213,35,119,1063,107,0,200,0,841,94,82,66,130,112,90,78,137,10,40,241,1207,29
"22","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Curvularia_Curvularia_mebaldsii_2495576c942c0b8f99d73e364268a0d9",25,35,27,94,13,96,0,41,33,47,46,38,57,676,75,425,37,200,15,189,29,5,76,58,190,93,100,36,74,84,24,14,28,7,167,47,167,54,141,121,89,62,126,218,10,23,19,181
"23","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_72e0e850ed800f454c0ead07b8aee884",0,0,0,0,156,0,0,0,0,265,0,0,346,0,0,167,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,237,0,0,68,0,0,0,185,0,477,0,0,242
"24","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_2908d4e357dce29580db77bfea7b6a48",0,0,0,0,0,0,0,75,0,0,34,0,1133,0,845,0,319,0,0,162,548,0,0,0,84,161,0,0,0,0,0,0,0,0,1274,331,0,205,0,289,178,0,0,0,0,0,0,0
"25","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_95f3c43d644ee659e8266e1c4c9ee642",0,10,201,65,38,76,112,75,133,46,351,904,310,267,49,114,106,138,931,86,46,61,0,42,208,196,131,13,58,76,59,33,128,27,102,57,158,466,41,292,271,70,213,64,312,21,11,132
