"","OTU","VB0889_004","VB0889_006","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_028","VB0889_030","VB0889_038","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_090"
"1","Fungi_Ascomycota_Leotiomycetes_Thelebolales_Pseudeurotiaceae_Pseudeurotium_Pseudeurotium_hygrophilum_cf005d300eaf8f03577c045c5da8a043",5,6,0,9,14,4,19,0,9,0,8,8,0,0,0,8,10,10,14,12,0,9,9,0
"2","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_ruber_cc0d1aa8c0fbfb0d12569d738348e716",2112,921,1123,1704,2296,1639,1172,1405,624,1863,6803,2671,1040,2052,478,1019,2528,1610,1306,1139,887,3228,740,1347
"3","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_215338aaf2fb5b1c1466cb60b729950e",761,2426,5603,702,254,1962,2036,1755,1728,1292,939,1103,1512,520,420,759,614,1245,313,1471,1765,2492,2180,1124
"4","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_b373d0b28cdca8bdb8fa8e8fab8c494e",1497,817,463,856,0,0,671,552,1046,2371,719,1198,688,226,374,2095,712,449,0,1284,1874,1201,0,618
"5","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_32db07028d938bc49b91054972d504d0",275,231,452,446,582,247,935,1122,438,27,329,85,443,191,620,483,166,564,577,366,91,233,202,869
"6","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_66366195ccb0e50fb1681ebf6da1d0ec",136,746,71,243,242,738,362,833,735,109,353,126,543,1123,160,523,582,1284,1613,353,93,323,139,599
"7","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_0d508cf0069dec81f9e6fd6bf8ec542c",498,612,244,446,787,689,293,518,250,335,1144,680,412,905,200,283,766,809,757,302,624,264,215,488
"8","Fungi_Ascomycota_Pezizomycetes_Pezizales_Pyronemataceae_Trichophaeopsis_Trichophaeopsis_sp_281a17fe0deceafed1b225151fb585f6",186,243,634,198,901,473,743,43,338,153,502,274,103,353,42,0,97,123,94,308,7,432,362,223
"9","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_40ea8008fbdbba04d7b6996dad4cf0f3",110,477,218,43,0,153,118,223,240,162,108,116,255,177,1136,62,1322,313,2225,73,207,22,1426,488
"10","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_unclassified_3ecc0270390f6c66a29c6ce70e22993a",161,173,133,151,423,240,121,89,87,599,70,831,104,629,107,137,169,328,205,143,191,414,38,53
"11","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_f6bf1fecdda38d7d895fe1e45209366d",358,33,243,347,409,106,172,236,507,282,67,73,182,108,0,537,233,33,149,806,0,0,804,323
"12","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_d798e6cdf3f3fce061e27c38e25a394d",709,256,894,166,144,545,104,0,2999,114,165,57,2470,974,353,342,1037,37,0,111,175,103,188,769
"13","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Stachybotryaceae_Stachybotrys_Stachybotrys_chartarum_eb085739f088ae86379d5c8fd616e11a",202,148,256,286,200,293,293,134,175,578,151,520,215,245,119,280,172,486,197,127,377,237,104,85
"14","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_polycephala_779b455103c81b47872711d49f05c0be",241,142,97,109,117,406,303,172,192,378,189,654,195,238,117,177,174,608,273,122,95,149,96,108
"15","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_Chaetomium_cervicicola_baa7f0d2c74e3f154cb90f2bfb185b3d",67,51,0,64,32,0,466,93,63,37,53,171,0,81,33,52,28,192,81,41,21,129,0,33
"16","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Hyalosphaerella_Hyalosphaerella_fragilis_a15adea148d395a2af800de785689521",300,149,118,190,345,183,228,218,203,280,119,114,201,254,171,305,237,268,272,132,0,238,227,135
"17","Fungi_Ascomycota_Sordariomycetes_Xylariales_Diatrypaceae_Monosporascus_unclassified_456615ec3765a33926726403a24e8e3a",590,273,0,152,23,0,0,0,0,0,185,505,367,165,210,71,168,289,557,56,114,122,805,0
"18","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_752c804ed74473d63a28a1f0959ece39",0,137,112,55,64,157,156,126,135,439,168,181,168,0,0,129,0,147,67,190,198,439,182,200
"19","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Subramaniula_Subramaniula_thielavioides_c0ca333b82f730059feebd24b43d7972",208,121,163,233,432,154,177,129,104,251,116,310,86,337,118,198,234,169,197,138,133,111,41,73
