"","OTU","VB0889_004","VB0889_006","VB0889_008","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_020","VB0889_021","VB0889_022","VB0889_023","VB0889_024","VB0889_025","VB0889_028","VB0889_030","VB0889_031","VB0889_032","VB0889_034","VB0889_035","VB0889_036","VB0889_038","VB0889_042","VB0889_044","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_057","VB0889_059","VB0889_060","VB0889_068","VB0889_070","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_090","VB0889_091","VB0889_094","VB0889_097","VB0889_098","VB0889_099","VB0889_101","VB0889_102","VB0889_103","VB0889_106","VB0889_107","VB0889_109","VB0889_111","VB0889_114","VB0889_117","VB0889_119","VB0889_120","VB0889_126","VB0889_127","VB0889_128","VB0889_131","VB0889_136","VB0889_137"
"1","Fungi_Ascomycota_Leotiomycetes_Thelebolales_Pseudeurotiaceae_Pseudeurotium_Pseudeurotium_hygrophilum_cf005d300eaf8f03577c045c5da8a043",3,2,0,0,2,5,0,8,8,7,4,1,10,0,2,2,1,1,9,4,0,5,4,2,0,1,0,0,0,3,5,0,1,0,9,2,3,1,4,6,0,4,3,7,0,8,5,0,3,8,2,0,0,5,4,0,3,2,11,4,3,0,8,1,2,0,1,10,3,1
"2","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_ruber_cc0d1aa8c0fbfb0d12569d738348e716",914,440,1028,525,732,1061,707,867,1215,389,655,1057,499,654,262,644,390,324,624,813,793,3034,2111,1103,314,1178,477,937,230,348,3047,551,1258,545,602,410,1076,721,630,455,356,1538,443,398,333,1424,310,595,955,1328,508,568,375,271,536,1285,411,574,391,509,740,291,1068,667,232,272,163,342,599,804
"3","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_215338aaf2fb5b1c1466cb60b729950e",368,1098,564,2352,294,117,818,330,65,1147,1350,1032,915,791,708,371,1138,1415,585,1404,579,418,544,201,1362,496,702,217,197,496,448,1628,318,991,1344,346,287,564,137,666,743,311,131,1299,1208,1078,978,523,548,576,532,287,446,973,758,502,1522,1689,950,1319,1278,234,160,633,888,511,234,714,91,408
"4","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_b373d0b28cdca8bdb8fa8e8fab8c494e",652,404,547,184,373,0,0,678,225,192,194,135,318,204,445,0,835,128,183,628,1069,316,471,921,237,541,313,96,137,180,17,334,0,516,370,933,355,194,0,564,825,310,463,462,331,530,0,264,550,545,278,1431,260,0,0,0,157,59,195,157,27,76,87,191,1193,195,0,22,214,190
"5","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_32db07028d938bc49b91054972d504d0",84,87,74,213,193,223,99,63,159,1003,591,319,418,481,177,484,246,735,381,868,16,137,54,281,114,35,212,96,274,225,437,595,146,757,239,205,73,229,257,195,30,174,62,36,709,117,104,372,422,810,818,1221,112,188,1139,424,492,272,749,1103,389,72,184,81,433,934,187,257,107,168
"6","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_66366195ccb0e50fb1681ebf6da1d0ec",63,308,135,32,109,108,343,99,189,200,260,164,171,401,313,250,74,88,82,41,58,157,131,172,257,50,223,513,62,415,92,449,161,304,250,232,243,619,720,138,38,421,124,92,302,138,77,261,324,189,304,59,46,132,455,142,189,219,198,50,188,144,262,102,542,187,456,149,88,140
"7","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_0d508cf0069dec81f9e6fd6bf8ec542c",232,229,325,117,214,351,304,129,328,114,286,255,138,242,77,302,183,181,183,64,147,484,188,258,184,319,172,405,90,145,192,254,149,146,235,120,324,327,336,160,260,224,112,64,135,106,91,201,279,233,152,270,108,263,283,144,117,153,417,97,174,433,270,140,171,150,741,198,162,177
"8","Fungi_Ascomycota_Pezizomycetes_Pezizales_Pyronemataceae_Trichophaeopsis_Trichophaeopsis_sp_281a17fe0deceafed1b225151fb585f6",88,105,136,313,78,368,213,9,37,948,88,117,301,21,148,936,294,5,218,8,55,200,221,7,28,119,45,149,12,313,103,79,98,45,17,0,43,54,34,146,3,84,95,269,30,195,138,88,287,31,202,17,83,385,52,30,674,270,312,518,27,120,243,81,30,1309,49,97,81,186
"9","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_40ea8008fbdbba04d7b6996dad4cf0f3",48,216,120,108,19,0,59,1568,92,0,128,71,45,83,106,32,15,5,29,4,72,35,26,74,40,71,89,71,556,68,17,27,277,16,63,26,597,152,919,35,104,58,2802,71,55,10,598,197,29,72,167,9,29,17,103,8,1,6,55,20,4,13,186,6,70,1,699,21,27,156
"10","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_unclassified_3ecc0270390f6c66a29c6ce70e22993a",78,77,105,72,78,176,96,97,228,44,51,63,60,35,39,76,239,62,234,107,259,29,115,219,43,373,64,248,49,78,139,80,240,83,122,72,73,157,96,76,109,85,87,26,20,176,29,33,80,208,86,103,332,60,48,145,65,63,148,52,142,188,521,44,104,119,149,63,93,88
"11","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_f6bf1fecdda38d7d895fe1e45209366d",158,14,0,100,168,181,33,51,995,0,113,255,94,102,231,0,0,0,42,28,132,33,37,0,0,40,85,40,0,428,178,26,9,0,0,249,111,22,63,354,0,681,0,68,535,0,349,127,107,0,937,143,0,0,23,0,81,388,0,139,0,0,0,191,48,78,150,130,208,298
"12","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_d798e6cdf3f3fce061e27c38e25a394d",348,115,37,415,64,56,283,0,0,0,6,9,43,0,1398,21,58,0,0,0,53,71,17,9,125,27,1100,406,170,129,0,4,0,7,54,163,459,15,0,41,83,0,3,6,0,41,74,343,0,0,10,0,4,49,0,0,0,11,0,2,0,0,131,26,0,0,23,117,46,7
"13","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Stachybotryaceae_Stachybotrys_Stachybotrys_chartarum_eb085739f088ae86379d5c8fd616e11a",89,58,131,95,119,73,118,200,84,53,113,84,138,52,80,99,72,72,157,58,242,80,121,151,83,242,97,121,46,183,99,82,139,134,51,119,63,226,84,47,161,146,98,76,26,89,48,44,80,112,117,75,114,191,117,89,160,93,288,49,114,144,169,64,78,191,64,85,81,174
"14","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_polycephala_779b455103c81b47872711d49f05c0be",105,61,203,47,48,48,187,114,144,100,58,89,121,76,75,228,159,65,48,43,177,99,105,97,202,261,69,110,50,170,34,121,119,126,113,113,78,269,142,42,40,247,33,13,52,77,46,48,115,68,103,70,73,133,101,35,55,32,74,34,88,145,93,73,222,129,188,122,43,102
"15","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_Chaetomium_cervicicola_baa7f0d2c74e3f154cb90f2bfb185b3d",30,18,32,0,22,11,0,31,28,76,38,46,205,53,24,0,22,0,63,10,17,23,47,59,19,63,0,44,18,188,23,48,138,28,51,30,17,80,29,19,14,40,29,14,33,54,0,18,0,60,75,23,27,13,29,54,38,41,65,58,72,219,21,23,0,62,21,12,47,25
"16","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Hyalosphaerella_Hyalosphaerella_fragilis_a15adea148d395a2af800de785689521",136,70,140,59,78,155,70,29,127,28,99,52,106,95,83,56,46,81,116,53,127,45,143,121,120,54,91,123,54,86,46,100,111,85,143,133,100,128,101,60,0,88,79,44,74,88,98,59,85,131,143,22,38,108,113,48,23,32,56,12,158,98,86,25,68,65,154,84,54,48
"17","Fungi_Ascomycota_Sordariomycetes_Xylariales_Diatrypaceae_Monosporascus_unclassified_456615ec3765a33926726403a24e8e3a",226,105,0,0,68,13,0,0,81,0,0,40,0,0,0,19,0,5,43,152,0,77,30,0,24,218,163,74,87,0,0,9,38,0,0,31,91,146,248,19,48,107,0,0,109,62,352,0,0,4,0,0,0,118,0,0,11,0,0,0,237,0,510,7,7,37,114,207,0,0
"18","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_752c804ed74473d63a28a1f0959ece39",0,59,61,52,22,34,61,0,0,69,182,176,67,71,73,47,0,76,48,726,207,81,287,43,358,83,84,0,0,41,100,277,44,59,57,57,0,50,34,86,84,28,21,162,166,189,95,85,51,86,157,41,74,203,50,56,134,113,126,156,89,77,28,77,343,119,25,143,0,63
"19","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Subramaniula_Subramaniula_thielavioides_c0ca333b82f730059feebd24b43d7972",93,44,37,64,98,207,74,109,158,34,56,70,54,50,37,103,56,45,31,25,92,47,120,194,52,111,47,156,64,93,43,89,74,66,153,78,95,73,83,52,56,102,71,53,31,54,13,37,73,136,57,31,35,82,73,57,31,44,58,18,89,125,115,71,66,54,67,142,72,100
"20","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_jodhpurensis_80e9118eb4a31b37bff24fb85108f8e2",37,29,0,42,47,106,35,73,101,29,34,40,69,37,48,122,43,0,27,9,70,19,50,53,20,97,27,49,32,46,33,54,80,56,33,67,50,114,64,32,113,67,50,8,21,55,0,35,30,228,76,15,47,100,56,15,25,28,46,3,117,240,80,40,47,53,55,46,33,55
"21","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_terreus_107d7f29f9a85d2899355fd8184504f0",59,36,105,63,48,82,55,0,101,37,44,38,39,39,84,68,0,23,1433,49,46,7,35,194,45,47,0,149,16,14,262,35,56,65,223,59,42,91,91,71,53,35,291,0,0,61,8,18,63,122,67,38,29,27,49,46,21,36,46,30,78,474,112,55,67,59,20,40,18,77
"22","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Curvularia_Curvularia_mebaldsii_2495576c942c0b8f99d73e364268a0d9",61,79,197,39,25,33,29,90,66,67,36,70,468,301,144,216,84,85,62,135,113,49,65,70,58,131,76,76,24,75,152,93,59,109,134,116,47,115,73,52,33,58,32,111,32,81,117,134,37,87,78,63,215,159,75,109,119,64,198,92,55,9,60,63,66,150,29,186,19,92
"23","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_72e0e850ed800f454c0ead07b8aee884",0,0,363,205,0,0,241,226,0,0,167,100,0,112,0,0,39,0,89,35,224,0,0,211,166,0,0,0,0,26,0,0,51,168,0,0,0,41,0,0,0,0,0,251,487,122,0,148,0,0,42,0,0,0,450,174,163,353,38,0,0,0,63,118,317,28,0,0,0,0
"24","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_2908d4e357dce29580db77bfea7b6a48",0,0,0,0,23,0,781,232,0,0,49,94,0,0,0,0,138,0,0,121,92,0,0,0,0,60,114,0,0,254,0,62,0,88,167,0,126,0,227,96,0,325,0,55,101,0,0,0,0,0,85,46,0,0,0,0,84,0,0,0,0,312,0,0,38,136,33,204,0,0
"25","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_95f3c43d644ee659e8266e1c4c9ee642",49,51,87,31,274,590,211,11,23,102,0,0,178,70,90,0,3,0,0,21,43,34,36,56,35,136,99,93,10,65,10,16,29,2,30,119,318,24,199,199,41,29,11,70,0,187,51,100,19,2,18,63,37,47,32,9,17,8,6,9,0,53,149,62,7,3,16,63,24,137
"26","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_unclassified_1a061860efe2fd1091f90de83d82ff4d",8,0,20,85,12,0,0,0,0,88,16,0,61,0,156,0,209,145,49,48,10,10,76,0,236,0,16,3,0,30,94,0,12,0,17,39,4,0,6,86,262,0,0,102,19,16,169,118,0,45,6,650,65,26,0,67,294,5,413,184,84,15,9,414,4,137,0,156,15,396
"27","Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_unclassified_unclassified_e44576938f7308623896e3cc195e0d53",425,49,0,0,174,61,0,216,38,0,156,146,66,320,0,0,72,0,49,0,11,0,0,0,32,18,23,12,277,97,14,7,67,77,0,51,3,8,0,113,11,91,31,23,31,0,12,9,177,0,0,12,13,53,109,7,99,6,0,144,0,0,20,0,12,150,12,105,0,99
"28","Fungi_Ascomycota_Dothideomycetes_Pleosporales_unclassified_unclassified_unclassified_c5e068be2668e67b64c83f3503976c92",33,30,135,36,21,44,30,70,75,33,53,45,47,28,18,20,56,1217,51,11,61,19,40,80,10,73,40,39,21,67,35,21,83,28,16,40,36,40,34,25,31,12,19,31,42,44,24,38,63,42,48,14,37,49,50,61,29,20,44,6,99,55,55,51,18,28,51,15,62,37
"29","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_Schizothecium_inaequale_2ded4ab4778f5c3fdbb213b17ac22349",62,85,52,37,36,0,27,0,41,26,49,106,37,46,70,91,11,37,71,15,53,63,37,25,41,47,35,66,33,76,71,77,17,30,140,39,31,40,12,41,38,36,56,43,43,85,58,46,36,45,34,23,134,53,137,21,25,62,58,9,39,147,151,24,160,47,34,39,0,29
"30","Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_b1709734b7dcde8d041339c8d3507f1e",0,545,0,62,1375,4,75,0,3,0,23,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,305,61,0,0,0,0,0,0,0,658,335,0,0,300,15,0,0,41,0,19,89,551,0,0,5,0,21,4,2,0,0,1,0,0,0,0,2,50,0,0,0,0,0,17
"31","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_persicinum_51121d174235724d93d9ad2496a65689",22,108,100,36,39,10,24,131,21,21,10,22,83,21,51,26,234,14,14,14,35,25,37,51,168,42,45,29,29,101,14,75,45,30,21,105,14,41,24,14,215,25,17,65,21,27,44,40,20,103,11,7,80,43,31,22,27,83,123,8,28,41,32,72,7,10,30,419,19,62
"32","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_b91d6310355ef9aadd0485f95502e441",3,7,34,26,90,5,50,5,17,47,74,127,67,65,40,119,29,112,38,161,14,9,37,118,14,1,21,18,123,36,32,104,21,289,61,20,50,32,18,27,23,22,3,10,185,69,19,35,140,68,58,134,29,23,23,25,186,47,89,115,9,1,44,22,70,110,65,65,25,35
"33","Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_unclassified_unclassified_35c351e1f2a05ba247a822b85fb2f2fd",234,84,0,0,150,41,0,49,30,2,259,20,13,256,55,31,33,0,107,18,0,0,0,4,81,29,2,23,266,211,0,36,45,139,90,8,0,0,0,43,0,119,0,0,19,0,0,6,0,0,3,5,59,0,132,0,63,0,9,160,0,8,14,5,11,99,5,100,7,25
"34","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Allocanariomyces_Allocanariomyces_tritici_b836e22d01ed6a62b260f01262127a38",25,6,23,23,29,73,33,49,74,32,18,23,23,26,31,39,19,36,0,13,59,38,40,128,17,45,10,57,7,35,20,40,141,44,25,43,53,48,66,12,15,40,38,7,9,27,0,23,44,73,29,15,26,51,34,18,23,11,14,4,182,48,40,46,42,25,38,31,27,58
"35","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_677f39cb0b5f073bab4e5b5ceb33d96f",2,19,0,10,56,285,6,8,259,0,0,154,18,6,33,141,0,0,0,13,15,0,0,0,0,111,7,152,0,0,0,5,59,0,9,0,9,9,248,94,16,0,14,21,0,12,54,0,0,0,40,0,5,0,49,0,0,0,0,0,0,0,45,45,4,0,5,13,2803,0
"36","Fungi_Ascomycota_Leotiomycetes_Thelebolales_Pseudeurotiaceae_Pseudeurotium_Pseudeurotium_hygrophilum_a0040f7f0874264577e70757c8330fd5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Sporormia_Sporormia_sp_d6f397d83d1695a6493662475a7808af",25,3,101,0,101,0,5,7,11,0,0,0,0,9,7,7,0,0,28,0,0,4,59,0,0,19,52,0,4,0,9,14,98,134,47,74,12,0,0,6,68,0,0,10,0,46,8,0,32,25,0,20,2309,45,16,0,7,0,66,24,118,0,87,24,0,19,0,59,12,0
"38","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_6d4c8253e4fc945fe2bdca5b551c32e7",23,55,0,17,21,105,18,17,100,40,65,41,40,85,24,33,18,42,17,14,11,23,27,38,37,22,30,45,26,19,42,18,20,29,36,20,39,40,27,26,37,7,15,24,32,44,0,19,40,52,159,25,43,39,70,22,26,68,19,7,37,40,37,10,41,9,14,31,61,39
