"","OTU","VB0889_004","VB0889_006","VB0889_008","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_020","VB0889_021","VB0889_023","VB0889_024","VB0889_025","VB0889_028","VB0889_030","VB0889_031","VB0889_032","VB0889_038","VB0889_042","VB0889_044","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_057","VB0889_060","VB0889_068","VB0889_070","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_090","VB0889_091","VB0889_097","VB0889_099","VB0889_101","VB0889_102","VB0889_107","VB0889_114","VB0889_117","VB0889_119","VB0889_126","VB0889_127","VB0889_128","VB0889_131","VB0889_136","VB0889_137"
"1","Fungi_Ascomycota_Leotiomycetes_Thelebolales_Pseudeurotiaceae_Pseudeurotium_Pseudeurotium_hygrophilum_cf005d300eaf8f03577c045c5da8a043",1,1,0,0,3,2,2,6,7,2,0,5,0,4,3,3,0,1,2,7,0,7,0,0,0,1,0,2,0,3,3,4,3,1,1,0,3,5,3,0,8,6,0,4,2,0,3,4,2,3,0,4,1,3,3,14,2,2
"2","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_ruber_cc0d1aa8c0fbfb0d12569d738348e716",961,393,1000,489,760,1106,721,899,1317,665,1029,524,601,275,709,392,839,3027,2092,1032,290,1178,487,906,205,375,554,1253,554,626,415,1106,724,538,480,368,1479,475,374,316,1380,338,633,1016,513,387,276,496,560,704,263,1039,218,266,164,307,632,765
"3","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_215338aaf2fb5b1c1466cb60b729950e",338,1058,588,2398,328,121,810,364,70,1244,1049,886,787,790,367,1094,589,394,501,242,1361,481,638,204,185,474,1634,279,978,1357,332,288,518,140,694,852,297,127,1307,1167,1105,923,486,545,530,407,947,763,1710,1327,204,149,894,613,180,774,77,408
"4","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_b373d0b28cdca8bdb8fa8e8fab8c494e",640,352,619,220,390,0,0,703,191,207,127,292,212,480,0,813,1024,310,458,976,202,552,336,82,165,187,310,0,490,420,968,327,201,0,588,860,334,420,516,306,531,0,260,521,248,281,0,0,54,38,66,78,1210,201,0,20,224,190
"5","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_32db07028d938bc49b91054972d504d0",103,105,65,208,194,233,119,89,155,601,312,422,450,187,529,253,17,128,61,272,136,49,169,93,314,226,577,155,703,251,220,93,241,246,153,33,192,60,53,706,122,98,364,420,768,112,208,1152,260,425,80,167,446,998,182,271,115,141
"6","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_66366195ccb0e50fb1681ebf6da1d0ec",75,318,162,32,98,110,326,83,204,261,149,149,376,312,240,67,57,148,128,182,244,59,228,475,62,413,459,164,290,243,235,234,558,716,146,57,464,105,56,319,142,57,267,279,285,42,105,454,224,211,145,254,565,184,401,158,100,152
"7","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_0d508cf0069dec81f9e6fd6bf8ec542c",216,286,325,104,171,317,276,143,344,254,321,127,216,108,301,177,176,485,163,231,196,293,181,400,82,163,267,148,158,214,128,316,327,351,168,245,244,108,62,143,102,118,210,265,165,89,287,307,152,172,459,279,158,148,802,175,174,202
"8","Fungi_Ascomycota_Pezizomycetes_Pezizales_Pyronemataceae_Trichophaeopsis_Trichophaeopsis_sp_281a17fe0deceafed1b225151fb585f6",66,112,139,321,92,392,211,1,35,98,113,351,22,150,901,298,52,237,213,4,28,129,37,136,21,302,83,123,56,20,0,45,53,35,126,3,99,107,272,41,159,148,81,278,202,94,419,57,258,25,120,219,24,1212,48,87,105,188
"9","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_40ea8008fbdbba04d7b6996dad4cf0f3",49,232,130,78,21,0,73,1481,76,147,60,43,87,114,39,18,71,35,26,67,46,53,92,72,525,65,30,228,17,75,37,591,156,968,29,77,60,2876,89,64,12,634,209,30,153,24,25,102,3,4,16,214,87,2,694,18,34,136
"10","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_unclassified_3ecc0270390f6c66a29c6ce70e22993a",49,74,105,63,70,183,116,100,242,61,51,38,56,33,94,278,251,27,103,230,28,366,44,237,40,77,95,253,78,101,69,88,152,75,61,84,118,81,30,28,184,23,18,71,111,346,50,45,59,148,194,571,105,125,175,58,91,103
