"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fungi_Ascomycota_Leotiomycetes_Thelebolales_Pseudeurotiaceae_Pseudeurotium_Pseudeurotium_hygrophilum_cf005d300eaf8f03577c045c5da8a043",4.46798297924769,0.0432276333702787,0.4378847770988,0.0987191965354054,0.921361226685238,0.99621672395939
"Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_ruber_cc0d1aa8c0fbfb0d12569d738348e716",874.206075704653,0.00659034076816188,0.33437332944314,0.0197095288046368,0.984275089370284,0.99621672395939
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_215338aaf2fb5b1c1466cb60b729950e",841.644914292663,0.0365671170329919,0.391346880008462,0.0934391428703895,0.9255546950122,0.99621672395939
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_b373d0b28cdca8bdb8fa8e8fab8c494e",382.601377779561,-0.0840053528239385,0.712072079673117,-0.117973103035443,0.906088969699571,0.990895326469481
"Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_32db07028d938bc49b91054972d504d0",401.093637942223,-0.154323089860364,0.474880877023214,-0.324972213721759,0.745202101545868,0.89566540669807
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_66366195ccb0e50fb1681ebf6da1d0ec",242.802862576937,-0.236736524633747,0.383557374567346,-0.617212809167823,0.537094367998777,0.790352285181285
"Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_0d508cf0069dec81f9e6fd6bf8ec542c",250.988716057522,-0.280882145489623,0.2776208033005,-1.01174747047177,0.311658811915051,0.586341154619843
"Fungi_Ascomycota_Pezizomycetes_Pezizales_Pyronemataceae_Trichophaeopsis_Trichophaeopsis_sp_281a17fe0deceafed1b225151fb585f6",209.273403439268,1.07760694843811,0.596561190099002,1.80636448753778,0.0708614248548537,0.221566708701092
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_40ea8008fbdbba04d7b6996dad4cf0f3",126.570931362856,-0.488456450104017,0.658854397255759,-0.741372376261768,0.458467688787697,0.725803506418407
"Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_unclassified_3ecc0270390f6c66a29c6ce70e22993a",138.750878267279,-0.205428914833387,0.400829452639196,-0.512509531125455,0.608294451499404,0.823750064224801
