"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fungi_Ascomycota_Leotiomycetes_Thelebolales_Pseudeurotiaceae_Pseudeurotium_Pseudeurotium_hygrophilum_cf005d300eaf8f03577c045c5da8a043",3.74325992635394,-0.112109296104524,0.496523782837326,-0.225788371030063,0.82136602211642,0.996915393217503
"Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_ruber_cc0d1aa8c0fbfb0d12569d738348e716",762.829829140267,0.126658835460222,0.349478369797523,0.362422531424776,0.717036304689393,0.996915393217503
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_215338aaf2fb5b1c1466cb60b729950e",723.93653352551,0.181100444341854,0.442846999917837,0.408945853478638,0.68257939775911,0.996915393217503
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_b373d0b28cdca8bdb8fa8e8fab8c494e",353.428978797582,-0.672536351632006,0.791963368829958,-0.849201336957803,0.395769269460702,0.839971676932194
"Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_32db07028d938bc49b91054972d504d0",285.630180715627,0.146387694972121,0.482268903961785,0.303539568422434,0.761478697681641,0.996915393217503
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_66366195ccb0e50fb1681ebf6da1d0ec",240.149368232639,0.00837456652439744,0.427547981210131,0.0195874308672773,0.984372490626035,0.996915393217503
"Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_0d508cf0069dec81f9e6fd6bf8ec542c",243.36057749819,0.237990956500873,0.303966179920334,0.782952092115142,0.433655245602943,0.868479333532766
"Fungi_Ascomycota_Pezizomycetes_Pezizales_Pyronemataceae_Trichophaeopsis_Trichophaeopsis_sp_281a17fe0deceafed1b225151fb585f6",170.918502364526,0.485836298762043,0.643537356985261,0.754946536496358,0.450281061667846,0.880738428796856
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_40ea8008fbdbba04d7b6996dad4cf0f3",158.944305398534,-0.096511414075198,0.674949586604459,-0.142990552169575,0.886297642793668,0.996915393217503
"Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_unclassified_3ecc0270390f6c66a29c6ce70e22993a",125.975215961987,0.255972335212348,0.465205010218304,0.55023555118684,0.582157822379008,0.957942236824717
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_f6bf1fecdda38d7d895fe1e45209366d",150.044753955857,-0.322936657587247,0.981436154902886,-0.329044997959344,0.742121676561517,0.996915393217503
"Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_d798e6cdf3f3fce061e27c38e25a394d",121.766760103108,-0.499321201290406,0.990699581831796,-0.504008692894736,0.614255268341415,0.978279425034533
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Stachybotryaceae_Stachybotrys_Stachybotrys_chartarum_eb085739f088ae86379d5c8fd616e11a",120.591418964521,0.242458619752409,0.31330134235851,0.773883118173699,0.43899991368627,0.868479333532766
"Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_polycephala_779b455103c81b47872711d49f05c0be",118.565973177714,0.024379552555601,0.360408994995311,0.0676441290149215,0.946068925952171,0.996915393217503
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_Chaetomium_cervicicola_baa7f0d2c74e3f154cb90f2bfb185b3d",44.063149732852,-1.6410444661288,0.607134754305911,-2.70293284067534,0.00687306319047984,0.106876132611962
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Hyalosphaerella_Hyalosphaerella_fragilis_a15adea148d395a2af800de785689521",98.8042863114419,-0.140972242439358,0.319694253921908,-0.440959575312835,0.659242262738251,0.996915393217503
"Fungi_Ascomycota_Sordariomycetes_Xylariales_Diatrypaceae_Monosporascus_unclassified_456615ec3765a33926726403a24e8e3a",70.7967053134616,0.974201751921197,1.02425313412226,0.951133776862737,0.341536470320138,0.769694509199731
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_752c804ed74473d63a28a1f0959ece39",93.3810093558835,0.481509734508454,0.679837344654996,0.708271968720416,0.478776381023278,0.893083010846593
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Subramaniula_Subramaniula_thielavioides_c0ca333b82f730059feebd24b43d7972",86.1862458845106,-0.188955808316554,0.328117995011535,-0.575877614727933,0.564697907261082,0.954462223685851
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_jodhpurensis_80e9118eb4a31b37bff24fb85108f8e2",63.4314437469979,-0.26990105911472,0.446919131119853,-0.603914758445055,0.545900316165126,0.933585663297279
"Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_terreus_107d7f29f9a85d2899355fd8184504f0",70.1476393011705,-0.490179950602645,0.603290698252047,-0.812510373560996,0.416498836603315,0.863540921224206
"Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Curvularia_Curvularia_mebaldsii_2495576c942c0b8f99d73e364268a0d9",98.9134950144785,-0.193542490306354,0.429313846683074,-0.450818187677115,0.652120591798988,0.996915393217503
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_72e0e850ed800f454c0ead07b8aee884",86.7816875031134,1.71692536884007,1.16281414377521,1.47652604505297,0.139802728664669,0.471811402587545
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_2908d4e357dce29580db77bfea7b6a48",70.0870890217212,1.02539503319058,1.14069507476734,0.898921241857487,0.368694612615812,0.807493130447307
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_95f3c43d644ee659e8266e1c4c9ee642",80.2698459233872,0.101669419108532,0.704786956339351,0.144255534518687,0.885298689284136,0.996915393217503
