"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fungi_Ascomycota_Leotiomycetes_Thelebolales_Pseudeurotiaceae_Pseudeurotium_Pseudeurotium_hygrophilum_cf005d300eaf8f03577c045c5da8a043",6.58604028470057,-0.121788192394003,0.581935875535815,-0.209281121020194,0.83422878870567,0.970033475239151
"Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_ruber_cc0d1aa8c0fbfb0d12569d738348e716",1087.3890772484,0.674440038276235,0.491552764337034,1.37206031011923,0.170044663770984,0.406510385085806
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_215338aaf2fb5b1c1466cb60b729950e",742.967859460381,-0.836807718959535,0.529593571139303,-1.58009417893674,0.114085300199459,0.303418351594306
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_b373d0b28cdca8bdb8fa8e8fab8c494e",471.006035723578,-1.32573085578657,1.03789513090623,-1.27732640447885,0.201487035357772,0.442308764105319
"Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_32db07028d938bc49b91054972d504d0",263.865348870841,0.92127539328769,0.555058739486872,1.65977999758975,0.0969587191027451,0.279883799789082
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_66366195ccb0e50fb1681ebf6da1d0ec",324.840229920165,0.715961351975279,0.48305903679991,1.48214047855985,0.138302920136078,0.345757300340195
"Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_0d508cf0069dec81f9e6fd6bf8ec542c",348.151704822904,0.784521637228511,0.427463061441883,1.83529691333382,0.0664617081799689,0.227608589657428
"Fungi_Ascomycota_Pezizomycetes_Pezizales_Pyronemataceae_Trichophaeopsis_Trichophaeopsis_sp_281a17fe0deceafed1b225151fb585f6",135.665240346864,-0.107231504281329,0.826893867584403,-0.129679888175472,0.896819695097982,0.980766681406988
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_40ea8008fbdbba04d7b6996dad4cf0f3",232.727676282811,0.0121234366029389,0.754301120906043,0.0160724096344661,0.987176624594218,0.999053959254625
"Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_unclassified_3ecc0270390f6c66a29c6ce70e22993a",190.09533872033,-0.737893955050294,0.574388688071711,-1.28465962226291,0.198911253966036,0.442308764105319
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_f6bf1fecdda38d7d895fe1e45209366d",176.04008033908,-1.73088176245937,0.990672109142847,-1.74717925990363,0.080606248170051,0.245750756616009
"Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_d798e6cdf3f3fce061e27c38e25a394d",358.023267740202,-2.18346969082565,0.879683806136071,-2.48210740676964,0.0130607900720583,0.0906999310559606
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Stachybotryaceae_Stachybotrys_Stachybotrys_chartarum_eb085739f088ae86379d5c8fd616e11a",223.487096830366,1.57283347746113,0.551327767928765,2.85281019559375,0.00433344959636905,0.0407738626569593
"Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_polycephala_779b455103c81b47872711d49f05c0be",165.163714345244,0.174410594936175,0.439574196981787,0.396771685266597,0.691535832392735,0.886735637276993
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_Chaetomium_cervicicola_baa7f0d2c74e3f154cb90f2bfb185b3d",116.900396423646,2.97272179615677,0.837712720060457,3.54861723472723,0.000387259565530474,0.0121018614228273
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Hyalosphaerella_Hyalosphaerella_fragilis_a15adea148d395a2af800de785689521",170.220756283823,-0.159097760174271,0.401142341158445,-0.396611735661754,0.691653797076055,0.886735637276993
"Fungi_Ascomycota_Sordariomycetes_Xylariales_Diatrypaceae_Monosporascus_unclassified_456615ec3765a33926726403a24e8e3a",181.842208227999,0.752016375219143,0.988977726704861,0.760397686330874,0.447016905860613,0.67729834221305
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_752c804ed74473d63a28a1f0959ece39",83.8286952448022,-1.38991776340421,0.853354863446753,-1.62876878417291,0.103361975250058,0.291801562997611
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Subramaniula_Subramaniula_thielavioides_c0ca333b82f730059feebd24b43d7972",113.627757595143,0.140079127422,0.520790199310991,0.268974200373443,0.787949536391293,0.944074564309546
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_jodhpurensis_80e9118eb4a31b37bff24fb85108f8e2",140.825670119583,-0.801865377353913,0.674613009977305,-1.1886301709196,0.234585229925823,0.474989664307207
"Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_terreus_107d7f29f9a85d2899355fd8184504f0",151.919897332944,-0.253469740668146,0.716406890208484,-0.353806955422194,0.723483560564802,0.913489344147477
"Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Curvularia_Curvularia_mebaldsii_2495576c942c0b8f99d73e364268a0d9",100.374330001106,0.472042207477889,0.607512177156202,0.777008634933944,0.437153675854352,0.675012419648476
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_72e0e850ed800f454c0ead07b8aee884",57.2654996439453,-0.293751502655039,1.28065171333103,-0.229376574128011,0.818576241961705,0.965302172124652
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_2908d4e357dce29580db77bfea7b6a48",127.97381771014,-2.6647694171821,1.32514320177917,-2.0109293951056,0.0443329149510926,0.175924265678939
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_95f3c43d644ee659e8266e1c4c9ee642",165.605993664398,0.657555045314222,0.649266931405929,1.01276534119849,0.311172259159656,0.554185653816722
"Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_unclassified_1a061860efe2fd1091f90de83d82ff4d",53.2325234130466,-2.01195553465611,1.10748350586458,-1.81669119585256,0.069264410585696,0.234001387113838
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_unclassified_unclassified_e44576938f7308623896e3cc195e0d53",73.6685241324117,0.989610499720823,1.05121171959022,0.941399797280219,0.346500017449478,0.585304083529523
"Fungi_Ascomycota_Dothideomycetes_Pleosporales_unclassified_unclassified_unclassified_c5e068be2668e67b64c83f3503976c92",59.3471446193228,0.501812379285607,0.456749482000886,1.0986599855293,0.271916402370939,0.511121057088232
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_Schizothecium_inaequale_2ded4ab4778f5c3fdbb213b17ac22349",78.3571867499339,0.613123246841408,0.510379464737676,1.2013086129093,0.229631510667617,0.474445269974414
"Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_b1709734b7dcde8d041339c8d3507f1e",175.701942937294,-0.892160905296528,1.23049646655995,-0.725041419899975,0.468426620431079,0.705461777757649
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_persicinum_51121d174235724d93d9ad2496a65689",84.9274777014154,-1.6730336779023,0.572605469728323,-2.9217912967127,0.00348024660967794,0.0378287674964994
"Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_b91d6310355ef9aadd0485f95502e441",47.9271879056377,0.811507076036926,0.671786586235861,1.20798344692165,0.227053629540053,0.473028394875111
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_unclassified_unclassified_35c351e1f2a05ba247a822b85fb2f2fd",54.4192947446447,1.20720806415272,0.951724813839459,1.26844235497295,0.204640024205313,0.442308764105319
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Allocanariomyces_Allocanariomyces_tritici_b836e22d01ed6a62b260f01262127a38",73.8529461544629,0.590035252912341,0.525853572215312,1.12205238128676,0.261840168874482,0.50353878629708
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_677f39cb0b5f073bab4e5b5ceb33d96f",57.8424610133593,-1.52088395999723,0.847178991578283,-1.79523332745048,0.0726165326280324,0.236219976243002
"Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Sporormia_Sporormia_sp_d6f397d83d1695a6493662475a7808af",21.1205314937197,-1.28864375361995,0.959150866567874,-1.34352561055499,0.179101838933613,0.414587590124105
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_6d4c8253e4fc945fe2bdca5b551c32e7",53.5774265480524,1.13714004902149,0.510798129774605,2.22620245207879,0.0260006238008397,0.130003119004198
"Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_0712f4c204fb2be1538e6783b0a5ff89",70.862022727665,1.33126138043354,0.550885306403385,2.41658538530472,0.0156668512698111,0.0981637189051507
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_a6a6a20bc1b2713ee2bae77a856e8fc5",55.426343134822,-0.783607685527061,1.19994721262668,-0.653035131280272,0.513733630221725,0.753254074770197
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_bce8d64824451b4cb44896126c34ee03",1.05935576723654,0.00103335549368109,0.637275312382563,0.00162152130108055,0.99870621375582,NA
"Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_69b141cd10b5f2821df20410a28eeb20",89.5166938742807,1.16248332840695,0.726229187042346,1.600711385811,0.10944085817637,0.297393636348832
"Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_sp_f74763de17c09920e4ec24527d682557",50.0193299105028,0.719154935004241,0.524988864930191,1.36984797782305,0.170734361736039,0.406510385085806
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_Schizothecium_inaequale_7f84f2f14c7148135a8971e97ab29414",40.4605983122923,0.276086396431737,0.8380305653319,0.329446690673381,0.7418180815447,0.923686532821487
"Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_72196ab3fae4e881542aca53b57891ba",1.05954659496162,0.00103335557355057,0.637285863626814,0.00162149457963764,0.998706235076419,NA
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_unclassified_291daa9a07a675ca47bbcd36a568689b",56.7542929071393,-0.279945783436003,0.728482814823548,-0.384286050047468,0.700766446178758,0.893834752779028
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_unclassified_a7b313d891107fbee374ecc6ded2a6db",31.3527364437599,-0.885374507531022,0.833129900358256,-1.06270883706166,0.287914012071743,0.529891228062196
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_fujikuroi_9823d03cf21ee6bea8cd5345c3abda63",40.4479998514296,-0.907833293335867,1.04108244422545,-0.872009030957471,0.383203450842517,0.630268833622561
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_dc7382b8baeb332732be90d53df52c6e",15.0583523602377,-0.105132721554946,0.695727058776534,-0.151112020480885,0.879887350417084,0.980766681406988
"Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis_mosseae_a9f2968ee14309e36e2d708d0aa22fcb",60.5712342979058,2.55317078412702,1.16729157852447,2.18726051922211,0.0287235111298272,0.135572464195216
"Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Scedosporium_Scedosporium_boydii_4c1409f3ec03f348b9565da49f9b01cb",16.8884084641072,-2.98511393925185,0.944249114787836,-3.16136270874088,0.00157032825406784,0.0238671122230667
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_sp_4fe643f045608e94db26815d9b65422e",40.7179255163807,0.569496305007667,0.960256110729056,0.593067098084164,0.553136248575625,0.777777957640345
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_7e870910d95b7f139562f3358ce36d18",55.8187131950173,-3.76251989369067,1.17937658172357,-3.19026166196383,0.00142144031829846,0.023690671971641
"Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Enterocarpus_Enterocarpus_grenotii_ba09c722d6bf2c97d098f0d3db863f4c",34.6779454226101,2.23653236518357,0.597088091242383,3.74573266154067,0.000179868058454634,0.00749450243560974
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_4ba25a2778488728fb114b8f15ae8924",47.9294999422675,1.17962436613321,0.711648806472243,1.65759340197701,0.0973995623266006,0.279883799789082
"Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_dc0dc02f5ef43ca3847a8f849a496016",78.749103408611,1.13311286757364,1.0860717426499,1.0433130916462,0.296803309714645,0.537687155280154
"Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_unclassified_b507e13497e2a6f98e3dd5b7b2672171",25.4373602414445,-0.0960768896387137,0.739279900856325,-0.129960099723292,0.896597994708247,0.980766681406988
