"","PC1","PC2","MAC","Site","Treatment","Replicate","Date","Compartment","Line"
"MAC_P8_A_S2_20210718_root",-3.60489685067586,2.40172523148641,"MAC","P8","A","S2","July","root","High"
"MAC_P8_A_S3_20210718_root",2.18832519622971,0.743656538188334,"MAC","P8","A","S3","July","root","High"
"MAC_P8_N_S2_20210718_root",-4.56147192639579,-0.843350231925347,"MAC","P8","N","S2","July","root","High"
"MAC_P8_C_S1_20210718_root",1.47515817160044,0.899708496378305,"MAC","P8","C","S1","July","root","High"
"MAC_P8_C_S3_20210718_root",5.35734036789567,1.7330625556435,"MAC","P8","C","S3","July","root","High"
"MAC_P11_A_S1_20210718_root",0.0463977611837775,0.230590593006289,"MAC","P11","A","S1","July","root","Low"
"MAC_P11_N_S1_20210718_root",2.20394252534242,-2.21284124890389,"MAC","P11","N","S1","July","root","Low"
"MAC_P11_N_S2_20210718_root",3.32722091449196,-0.0512734222891941,"MAC","P11","N","S2","July","root","Low"
"MAC_P11_N_S3_20210718_root",-0.423810857920736,1.43087214977572,"MAC","P11","N","S3","July","root","Low"
"MAC_P11_C_S1_20210718_root",-2.78886482625585,3.03679683898957,"MAC","P11","C","S1","July","root","Low"
"MAC_P11_C_S2_20210718_root",-5.3031926650894,5.24759075079069,"MAC","P11","C","S2","July","root","Low"
"MAC_P11_C_S3_20210718_root",0.972786058416304,2.21874881538262,"MAC","P11","C","S3","July","root","Low"
"MAC_P4_A_S1_20210909_root",-6.89205941381431,1.91805965973211,"MAC","P4","A","S1","Sept","root","Low"
"MAC_P4_A_S2_20210909_root",-4.58888296017646,-2.14949454190396,"MAC","P4","A","S2","Sept","root","Low"
"MAC_P4_A_S3_20210909_root",10.8323816712603,0.313743596007337,"MAC","P4","A","S3","Sept","root","Low"
"MAC_P6_N_S1_20210909_root",7.99039908850634,0.389583413004415,"MAC","P6","N","S1","Sept","root","High"
"MAC_P6_N_S2_20210909_root",8.71289830884073,-0.902975528022104,"MAC","P6","N","S2","Sept","root","High"
"MAC_P6_N_S3_20210909_root",-1.39366981850324,-1.01293440644211,"MAC","P6","N","S3","Sept","root","High"
"MAC_P7_C_S1_20210919_root",0.603119525324879,-0.147909353453302,"MAC","P7","C","S1","Sept","root","Low"
"MAC_P7_C_S2_20210919_root",3.35007870703227,-0.943757536465767,"MAC","P7","C","S2","Sept","root","Low"
"MAC_P7_C_S3_20210919_root",-1.34397549982609,-5.36786619483716,"MAC","P7","C","S3","Sept","root","Low"
"MAC_P8_A_S1_20210909_root",-5.60525235271136,-1.88939768728906,"MAC","P8","A","S1","Sept","root","High"
"MAC_P8_A_S2_20210909_root",0.729768299351353,0.556896601985911,"MAC","P8","A","S2","Sept","root","High"
"MAC_P8_A_S3_20210909_root",-2.26184752400857,0.69821671022407,"MAC","P8","A","S3","Sept","root","High"
"MAC_P10_C_S1_20210919_root",-5.11244255359753,-2.77374418417342,"MAC","P10","C","S1","Sept","root","High"
"MAC_P10_C_S2_20210919_root",-1.81003934921086,-3.18510555327765,"MAC","P10","C","S2","Sept","root","High"
"MAC_P10_C_S3_20210919_root",2.58702222092264,2.41819135436677,"MAC","P10","C","S3","Sept","root","High"
"MAC_P11_N_S1_20210909_root",0.0471035133097778,-2.53178341172298,"MAC","P11","N","S1","Sept","root","Low"
"MAC_P11_N_S2_20210909_root",0.118415458601124,-0.985914677511471,"MAC","P11","N","S2","Sept","root","Low"
"MAC_P11_N_S3_20210909_root",-4.85195119012362,0.760904673255344,"MAC","P11","N","S3","Sept","root","Low"
