"","PC1","PC2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_root",-5.18229133232554,0.86448511703144,"P10","C","High","S1","Sept","root"
"P10_C_High_S1_Sept_soil",3.26204387077103,0.952014362186446,"P10","C","High","S1","Sept","soil"
"P10_C_High_S2_Sept_root",-4.86466166002825,0.494449576490145,"P10","C","High","S2","Sept","root"
"P10_C_High_S2_Sept_soil",2.53241272002751,1.71321419506096,"P10","C","High","S2","Sept","soil"
"P10_C_High_S3_Sept_root",-3.07378519289977,0.825690077427647,"P10","C","High","S3","Sept","root"
"P10_C_High_S3_Sept_soil",3.87617912216801,-1.76513118798484,"P10","C","High","S3","Sept","soil"
"P11_A_Low_S1_July_root",-4.58122720312362,-0.27722174922618,"P11","A","Low","S1","July","root"
"P11_A_Low_S1_July_soil",4.27398240285939,-1.72731308427051,"P11","A","Low","S1","July","soil"
"P11_A_Low_S2_July_soil",4.03281555178413,-0.755961412220393,"P11","A","Low","S2","July","soil"
"P11_C_Low_S1_July_root",-5.23436386193294,-1.83131527319801,"P11","C","Low","S1","July","root"
"P11_C_Low_S1_July_soil",3.39868694743842,-1.06170851109574,"P11","C","Low","S1","July","soil"
"P11_C_Low_S2_July_root",-4.87707578192367,-0.695609991319939,"P11","C","Low","S2","July","root"
"P11_C_Low_S2_July_soil",3.85256767725179,-1.29475693771558,"P11","C","Low","S2","July","soil"
"P11_C_Low_S3_July_root",-4.29100853491846,-0.00221098580807331,"P11","C","Low","S3","July","root"
"P11_C_Low_S3_July_soil",4.09971958419859,0.801542177828353,"P11","C","Low","S3","July","soil"
"P11_N_Low_S1_July_root",-3.85537073758468,-1.03799209034018,"P11","N","Low","S1","July","root"
"P11_N_Low_S1_July_soil",4.27942655771661,-1.74158072384225,"P11","N","Low","S1","July","soil"
"P11_N_Low_S1_Sept_root",-4.21478140538923,0.806315894537511,"P11","N","Low","S1","Sept","root"
"P11_N_Low_S1_Sept_soil",3.77493101791671,-0.151736842082034,"P11","N","Low","S1","Sept","soil"
"P11_N_Low_S2_July_root",-3.55165871075949,-0.657938216488854,"P11","N","Low","S2","July","root"
"P11_N_Low_S2_July_soil",4.34977319261255,-1.7594982497497,"P11","N","Low","S2","July","soil"
"P11_N_Low_S2_Sept_root",-4.752044686712,-0.0651029660160679,"P11","N","Low","S2","Sept","root"
"P11_N_Low_S2_Sept_soil",2.96418083811537,0.710599885682291,"P11","N","Low","S2","Sept","soil"
"P11_N_Low_S3_July_root",-4.51606401770796,-1.23202731090418,"P11","N","Low","S3","July","root"
"P11_N_Low_S3_July_soil",3.88225410780843,-0.109231328589667,"P11","N","Low","S3","July","soil"
"P11_N_Low_S3_Sept_root",-6.17312637533586,0.368550560737492,"P11","N","Low","S3","Sept","root"
"P11_N_Low_S3_Sept_soil",3.44225004027733,-1.45209220642403,"P11","N","Low","S3","Sept","soil"
"P4_A_Low_S1_Sept_root",-4.99864000619123,1.80584056232511,"P4","A","Low","S1","Sept","root"
"P4_A_Low_S1_Sept_soil",3.48956972969634,-0.149420807723702,"P4","A","Low","S1","Sept","soil"
"P4_A_Low_S2_Sept_root",-5.57505478978057,-1.76677857591837,"P4","A","Low","S2","Sept","root"
"P4_A_Low_S2_Sept_soil",3.61629422515352,-0.709857314478531,"P4","A","Low","S2","Sept","soil"
"P4_A_Low_S3_Sept_soil",4.18356278975186,0.277213242867089,"P4","A","Low","S3","Sept","soil"
"P6_N_High_S1_Sept_root",-2.61598921218975,-0.878635309639764,"P6","N","High","S1","Sept","root"
"P6_N_High_S1_Sept_soil",4.24321371103712,-2.18877668582393,"P6","N","High","S1","Sept","soil"
"P6_N_High_S2_Sept_root",-2.10296052695341,-0.251873930093466,"P6","N","High","S2","Sept","root"
"P6_N_High_S2_Sept_soil",2.74600496775216,-0.132076746323992,"P6","N","High","S2","Sept","soil"
"P6_N_High_S3_Sept_root",-5.26836651903451,-0.621793996013267,"P6","N","High","S3","Sept","root"
"P6_N_High_S3_Sept_soil",3.44180543682357,0.810387616710796,"P6","N","High","S3","Sept","soil"
"P7_C_Low_S1_Sept_root",-4.85735373714421,0.595387823831728,"P7","C","Low","S1","Sept","root"
"P7_C_Low_S1_Sept_soil",4.13985575534431,-0.688825541190888,"P7","C","Low","S1","Sept","soil"
"P7_C_Low_S2_Sept_root",-3.76457685255488,-0.385259680465033,"P7","C","Low","S2","Sept","root"
"P7_C_Low_S2_Sept_soil",3.82014699231714,-2.01389837560978,"P7","C","Low","S2","Sept","soil"
"P7_C_Low_S3_Sept_root",-4.17993729917583,-0.0149040301831717,"P7","C","Low","S3","Sept","root"
