"","PC1","PC2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_root",-3.75019519300391,2.40584747142753,"P10","C","High","S1","Sept","root"
"P10_C_High_S2_Sept_root",-1.41877617507338,1.57641231079546,"P10","C","High","S2","Sept","root"
"P10_C_High_S3_Sept_root",3.39841637306172,3.85658876874159,"P10","C","High","S3","Sept","root"
"P11_A_Low_S1_July_root",0.380360134686797,-0.978500804858718,"P11","A","Low","S1","July","root"
"P11_C_Low_S1_July_root",-1.55651123737462,-2.69490517467461,"P11","C","Low","S1","July","root"
"P11_C_Low_S2_July_root",-2.58041223917332,-2.7637821284409,"P11","C","Low","S2","July","root"
"P11_C_Low_S3_July_root",0.941769058937398,-0.326605155633759,"P11","C","Low","S3","July","root"
"P11_N_Low_S1_July_root",1.83392893562522,-2.28888163677076,"P11","N","Low","S1","July","root"
"P11_N_Low_S1_Sept_root",-1.01421777942636,0.48441646301838,"P11","N","Low","S1","Sept","root"
"P11_N_Low_S2_July_root",3.19636827771834,-1.11576848291428,"P11","N","Low","S2","July","root"
"P11_N_Low_S2_Sept_root",-0.163856908093516,-0.80402213100812,"P11","N","Low","S2","Sept","root"
"P11_N_Low_S3_July_root",0.197427764800944,-2.22082968925767,"P11","N","Low","S3","July","root"
"P11_N_Low_S3_Sept_root",-3.97503601788114,-0.361033925667567,"P11","N","Low","S3","Sept","root"
"P4_A_Low_S1_Sept_root",-3.5343938137827,1.66014247093946,"P4","A","Low","S1","Sept","root"
"P4_A_Low_S2_Sept_root",-3.04109028433597,-1.30336226433268,"P4","A","Low","S2","Sept","root"
"P6_N_High_S1_Sept_root",6.06286719849054,-0.255570605315938,"P6","N","High","S1","Sept","root"
"P6_N_High_S2_Sept_root",6.07365078209455,0.881341546213835,"P6","N","High","S2","Sept","root"
"P6_N_High_S3_Sept_root",-1.47910967179757,-0.0750340521794257,"P6","N","High","S3","Sept","root"
"P7_C_Low_S1_Sept_root",-0.43052767943636,-1.12093869647285,"P7","C","Low","S1","Sept","root"
"P7_C_Low_S2_Sept_root",2.87562409402305,0.056706987542397,"P7","C","Low","S2","Sept","root"
"P7_C_Low_S3_Sept_root",-1.63508819498592,1.16221716272789,"P7","C","Low","S3","Sept","root"
"P8_A_High_S1_Sept_root",-4.0047542917528,1.13283842083345,"P8","A","High","S1","Sept","root"
"P8_A_High_S2_July_root",-1.06916613563961,2.42631112275712,"P8","A","High","S2","July","root"
"P8_A_High_S2_Sept_root",1.08374663958028,-0.00797204935467569,"P8","A","High","S2","Sept","root"
"P8_A_High_S3_July_root",2.02468069392574,0.239485809715204,"P8","A","High","S3","July","root"
"P8_A_High_S3_Sept_root",-1.61295568358923,1.09489457168461,"P8","A","High","S3","Sept","root"
"P8_C_High_S1_July_root",1.97771433839743,-0.0910631507981094,"P8","C","High","S1","July","root"
"P8_C_High_S3_July_root",4.26113657346902,0.102356586954843,"P8","C","High","S3","July","root"
"P8_N_High_S2_July_root",-3.04159955946461,-0.671289745671723,"P8","N","High","S2","July","root"
