"","PC1","PC2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_soil",-4.77350724962258,2.56275894998114,"P10","C","High","S1","Sept","soil"
"P10_C_High_S2_Sept_soil",-3.63430050427652,1.61749567718325,"P10","C","High","S2","Sept","soil"
"P10_C_High_S3_Sept_soil",1.92866800762903,0.821164329749391,"P10","C","High","S3","Sept","soil"
"P11_A_Low_S1_July_soil",3.02123598577217,-0.809084295481081,"P11","A","Low","S1","July","soil"
"P11_A_Low_S2_July_soil",1.53671134942757,-1.33307218209398,"P11","A","Low","S2","July","soil"
"P11_C_Low_S1_July_soil",1.54159131318448,0.691931613763265,"P11","C","Low","S1","July","soil"
"P11_C_Low_S2_July_soil",2.04206379328811,0.349409968840574,"P11","C","Low","S2","July","soil"
"P11_C_Low_S3_July_soil",0.311732777155965,-2.89910313951508,"P11","C","Low","S3","July","soil"
"P11_N_Low_S1_July_soil",2.0267705437398,0.311849189069575,"P11","N","Low","S1","July","soil"
"P11_N_Low_S1_Sept_soil",0.472321808466352,0.463591704651567,"P11","N","Low","S1","Sept","soil"
"P11_N_Low_S2_July_soil",2.26280980846353,-0.0439666922435913,"P11","N","Low","S2","July","soil"
"P11_N_Low_S2_Sept_soil",-1.13087359844307,-0.703661577783772,"P11","N","Low","S2","Sept","soil"
"P11_N_Low_S3_July_soil",0.634248979439231,0.0621875801827694,"P11","N","Low","S3","July","soil"
"P11_N_Low_S3_Sept_soil",1.61874145686883,0.492254180869701,"P11","N","Low","S3","Sept","soil"
"P4_A_Low_S1_Sept_soil",0.81705397659718,0.106116100900201,"P4","A","Low","S1","Sept","soil"
"P4_A_Low_S2_Sept_soil",1.63842471058415,0.0922442974670384,"P4","A","Low","S2","Sept","soil"
"P4_A_Low_S3_Sept_soil",1.20527132307867,-1.01980761733022,"P4","A","Low","S3","Sept","soil"
"P6_N_High_S1_Sept_soil",1.75519983169833,1.51653776115454,"P6","N","High","S1","Sept","soil"
"P6_N_High_S2_Sept_soil",-0.196677303700411,2.68485453666224,"P6","N","High","S2","Sept","soil"
"P6_N_High_S3_Sept_soil",-1.034472467772,2.00757971297,"P6","N","High","S3","Sept","soil"
"P7_C_Low_S1_Sept_soil",1.2268750116361,0.157479846036814,"P7","C","Low","S1","Sept","soil"
"P7_C_Low_S2_Sept_soil",2.0331232796527,2.97180875847763,"P7","C","Low","S2","Sept","soil"
"P7_C_Low_S3_Sept_soil",0.177318556813305,2.44070357944688,"P7","C","Low","S3","Sept","soil"
"P8_A_High_S1_July_soil",-5.14699779855213,-1.03079363604671,"P8","A","High","S1","July","soil"
"P8_A_High_S1_Sept_soil",0.553026911853084,1.10338222119033,"P8","A","High","S1","Sept","soil"
"P8_A_High_S2_July_soil",2.07608400605264,-1.64067164160539,"P8","A","High","S2","July","soil"
"P8_A_High_S2_Sept_soil",1.27863699452089,-1.07891756666451,"P8","A","High","S2","Sept","soil"
"P8_A_High_S3_July_soil",0.23831428795204,-0.516166495144076,"P8","A","High","S3","July","soil"
"P8_A_High_S3_Sept_soil",2.23821307542203,-2.06118474243175,"P8","A","High","S3","Sept","soil"
"P8_C_High_S1_July_soil",-4.39637444080614,-1.82296177096455,"P8","C","High","S1","July","soil"
"P8_C_High_S2_July_soil",-0.396523968697689,-2.48901865928795,"P8","C","High","S2","July","soil"
"P8_C_High_S3_July_soil",-1.17391768858998,-2.96206542803026,"P8","C","High","S3","July","soil"
"P8_N_High_S1_July_soil",-6.34643538372068,-0.543448916790226,"P8","N","High","S1","July","soil"
"P8_N_High_S2_July_soil",0.514479790862479,0.399093586454944,"P8","N","High","S2","July","soil"
"P8_N_High_S3_July_soil",-4.91883717597746,0.101480766361299,"P8","N","High","S3","July","soil"
