"","name","xend","yend","coord","cos2","contrib"
"4Hydroxyphenylacetate","4Hydroxyphenylacetate",-2.07901593532513,2.43914202834161,0.25945954957713,0.25945954957713,2.40843537123021
"Adenosine","Adenosine",-2.34922419001457,-2.12982766430582,0.253985771388781,0.253985771388781,2.35762498084537
"Arabinose","Arabinose",-5.35153714634438,0.365217683449,0.726777596081467,0.726777596081467,6.74631892436829
"Asparagine","Asparagine",-1.89343869972802,2.96659845251864,0.312860750191492,0.312860750191492,2.9041324486182
"Aspartate","Aspartate",-0.165435957564655,4.02888955214409,0.410703895260854,0.410703895260854,3.81236223550222
"Citrate","Citrate",-0.655452574891816,-2.96007017129833,0.232176970658202,0.232176970658202,2.15518461135716
"Cytidine","Cytidine",-3.31928409113893,-2.78204401116685,0.473804788829016,0.473804788829016,4.39809679132598
"Ferulate","Ferulate",-4.05090301629086,-1.33687963483625,0.459650488194227,0.459650488194227,4.26670938099781
"Fructose","Fructose",-4.68674043431927,2.2178500620801,0.679089015452902,0.679089015452902,6.30364928828516
"Galactose","Galactose",-5.34377803262235,-0.977324513119112,0.745439212595813,0.745439212595813,6.91954553086914
"Glucose","Glucose",-4.93776768808899,2.38064863814968,0.759026623725234,0.759026623725234,7.04567078477048
"Glutamate","Glutamate",-5.40757311012713,0.646541906594687,0.749196237166429,0.749196237166429,6.95442014188731
"Glutamine","Glutamine",-4.05297907165724,-2.58719224169144,0.584007043700514,0.584007043700514,5.42105011508847
"Inosine","Inosine",-2.81988108255387,-0.798788894714781,0.216974721868391,0.216974721868391,2.01406961378896
"myoInositol","myoInositol",-4.80881231591609,1.92621202909574,0.677840531365028,0.677840531365028,6.29206022462358
"Phenylalanine","Phenylalanine",-1.78916340646376,-0.347528210085353,0.0839093938902994,0.0839093938902994,0.77888962866564
"Sucrose","Sucrose",-3.41739174787949,0.147812670579322,0.295547782454463,0.295547782454463,2.74342468532027
"Threonine","Threonine",-5.13020723544262,-0.653936278259093,0.675609862896719,0.675609862896719,6.27135402649244
"Tryptophan","Tryptophan",-4.25697424132608,2.62035709548334,0.631189395706096,0.631189395706096,5.85902067987701
"Tyrosine","Tyrosine",-4.135084714906,-3.11152254599264,0.676464627979884,0.676464627979884,6.27928839030268
"Uridine","Uridine",-5.45189748424786,-0.97769358417707,0.774941010425061,0.774941010425061,7.19339620825853
"Xylose","Xylose",-1.45348863556406,1.27295522604212,0.0942951977909807,0.0942951977909807,0.875295937525069
