"","name","xend","yend","coord","cos2","contrib"
"4Hydroxyphenylacetate","4Hydroxyphenylacetate",-3.69410266137804,1.40989326750477,0.520560659603192,0.520560659603192,6.0854010333992
"Adenosine","Adenosine",-0.297110733433589,1.63609332033045,0.0920667804076719,0.0920667804076719,1.07626896174147
"Aspartate","Aspartate",-4.71893062269257,1.30644308845167,0.798281903633291,0.798281903633291,9.33198740953057
"Cytidine","Cytidine",0.544828195307327,4.50588960202234,0.685899565735218,0.685899565735218,8.01822774950926
"Fructose","Fructose",-4.59353489655836,0.565696389968849,0.713225711517701,0.713225711517701,8.33767285684852
"Glucose","Glucose",-4.38004433028003,0.497795388649519,0.647033128514895,0.647033128514895,7.5638755950353
"Glutamate","Glutamate",-4.46439175059268,2.41424004675841,0.857690775968172,0.857690775968172,10.0264824821612
"Malate","Malate",-3.90172823231449,-1.06217999867673,0.544451282949539,0.544451282949539,6.36468457378666
"Maltose","Maltose",1.03706994778884,1.51152915913726,0.111883345640076,0.111883345640076,1.30792639554682
"myoInositol","myoInositol",-3.8598044401306,-1.65447800400956,0.587193007231345,0.587193007231345,6.86433918332253
"NADP","NADP",1.06825731346448,0.811965923986668,0.0599487187059358,0.0599487187059358,0.700805925369284
"Phenylalanine","Phenylalanine",0.453984808532665,3.48143358703674,0.410426135209629,0.410426135209629,4.79791851586051
"Sucrose","Sucrose",-3.14388219604146,-0.15769394246244,0.329928376116936,0.329928376116936,3.85689245610718
"Thymidine","Thymidine",0.237104491555272,3.44200716012419,0.396346791908847,0.396346791908847,4.63332972358129
"transAconitate","transAconitate",-4.83113533448431,-1.40524704411385,0.842881889817925,0.842881889817925,9.85336526821172
"Trehalose","Trehalose",-3.93262888138446,0.950200556825623,0.545008711758779,0.545008711758779,6.37120096681256
"Tryptophan","Tryptophan",1.19480292254328,1.04299996464852,0.0837535891395778,0.0837535891395778,0.979087006477571
"Uridine","Uridine",-2.44508693514,-1.96537373672695,0.327673598001783,0.327673598001783,3.83053389669836
