"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_root",-0.625047098366373,-0.0219032057882179,"P10","C","High","S1","Sept","root"
"P10_C_High_S1_Sept_soil",0.418340400422932,-0.017073382556544,"P10","C","High","S1","Sept","soil"
"P10_C_High_S2_Sept_root",-0.621251017680687,-0.0105821814058366,"P10","C","High","S2","Sept","root"
"P10_C_High_S2_Sept_soil",0.396423785560898,-0.0395272902200404,"P10","C","High","S2","Sept","soil"
"P10_C_High_S3_Sept_root",-0.578292153127523,-0.0456998770103895,"P10","C","High","S3","Sept","root"
"P10_C_High_S3_Sept_soil",0.551171508591968,0.0697086613189704,"P10","C","High","S3","Sept","soil"
"P11_A_Low_S1_July_root",-0.614039570131834,0.0041100083302403,"P11","A","Low","S1","July","root"
"P11_A_Low_S1_July_soil",0.603085837866956,0.125022299047365,"P11","A","Low","S1","July","soil"
"P11_A_Low_S2_July_soil",0.552479372563575,-0.0177345915308647,"P11","A","Low","S2","July","soil"
"P11_C_Low_S1_July_root",-0.693130578677204,0.00302393102219398,"P11","C","Low","S1","July","root"
"P11_C_Low_S1_July_soil",0.530716294916797,0.0914761983344859,"P11","C","Low","S1","July","soil"
"P11_C_Low_S2_July_root",-0.666394673378547,-0.0331140707700616,"P11","C","Low","S2","July","root"
"P11_C_Low_S2_July_soil",0.567301453606764,0.0673602718673172,"P11","C","Low","S2","July","soil"
"P11_C_Low_S3_July_root",-0.640569717819981,0.0346340072096553,"P11","C","Low","S3","July","root"
"P11_C_Low_S3_July_soil",0.555012336443955,-0.0942430642909138,"P11","C","Low","S3","July","soil"
"P11_N_Low_S1_July_root",-0.622667070027167,0.0195739961866649,"P11","N","Low","S1","July","root"
"P11_N_Low_S1_July_soil",0.619881980506199,0.0918630066742916,"P11","N","Low","S1","July","soil"
"P11_N_Low_S1_Sept_root",-0.595554263314834,-0.010318970332414,"P11","N","Low","S1","Sept","root"
"P11_N_Low_S1_Sept_soil",0.530177881084481,0.00423249560797312,"P11","N","Low","S1","Sept","soil"
"P11_N_Low_S2_July_root",-0.615079722284401,0.0226384209249574,"P11","N","Low","S2","July","root"
"P11_N_Low_S2_July_soil",0.603146452616429,0.0234763091244404,"P11","N","Low","S2","July","soil"
"P11_N_Low_S2_Sept_root",-0.616549647335112,-0.000913646345238488,"P11","N","Low","S2","Sept","root"
"P11_N_Low_S2_Sept_soil",0.435220603770626,-0.0770195090751282,"P11","N","Low","S2","Sept","soil"
"P11_N_Low_S3_July_root",-0.657607678644349,0.00758838341798377,"P11","N","Low","S3","July","root"
"P11_N_Low_S3_July_soil",0.539569021243023,0.00290569454921852,"P11","N","Low","S3","July","soil"
"P11_N_Low_S3_Sept_root",-0.65149793676674,-0.0105002056819038,"P11","N","Low","S3","Sept","root"
"P11_N_Low_S3_Sept_soil",0.480812941986772,0.0394260530589647,"P11","N","Low","S3","Sept","soil"
"P4_A_Low_S1_Sept_root",-0.655448832668785,-0.0445648909214384,"P4","A","Low","S1","Sept","root"
"P4_A_Low_S1_Sept_soil",0.515994000408346,0.0138028410891487,"P4","A","Low","S1","Sept","soil"
"P4_A_Low_S2_Sept_root",-0.697151336193597,4.12146041763201e-05,"P4","A","Low","S2","Sept","root"
"P4_A_Low_S2_Sept_soil",0.531302414859038,0.0224536392785448,"P4","A","Low","S2","Sept","soil"
