"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_root",-0.74796162277185,-0.0262104366024246,"P10","C","High","S1","Sept","root"
"P10_C_High_S1_Sept_soil",0.500606379245926,-0.020430836262697,"P10","C","High","S1","Sept","soil"
"P10_C_High_S2_Sept_root",-0.743419048816608,-0.0126631506609062,"P10","C","High","S2","Sept","root"
"P10_C_High_S2_Sept_soil",0.474379896696503,-0.0473002693941405,"P10","C","High","S2","Sept","soil"
"P10_C_High_S3_Sept_root",-0.692012391418149,-0.0546866856249753,"P10","C","High","S3","Sept","root"
"P10_C_High_S3_Sept_soil",0.659558514981558,0.0834167594372684,"P10","C","High","S3","Sept","soil"
"P11_A_Low_S1_July_root",-0.734789481500366,0.00491823497513533,"P11","A","Low","S1","July","root"
"P11_A_Low_S1_July_soil",0.721681715090988,0.149607736637027,"P11","A","Low","S1","July","soil"
"P11_A_Low_S2_July_soil",0.661123568336937,-0.0212220709371989,"P11","A","Low","S2","July","soil"
"P11_C_Low_S1_July_root",-0.82943361192329,0.00361858228031417,"P11","C","Low","S1","July","root"
"P11_C_Low_S1_July_soil",0.635080815853583,0.109464848217177,"P11","C","Low","S1","July","soil"
"P11_C_Low_S2_July_root",-0.797440133086697,-0.0396259004713262,"P11","C","Low","S2","July","root"
"P11_C_Low_S2_July_soil",0.678860388200424,0.0806065629100792,"P11","C","Low","S2","July","soil"
"P11_C_Low_S3_July_root",-0.76653674081741,0.0414447300104759,"P11","C","Low","S3","July","root"
"P11_C_Low_S3_July_soil",0.664154635562659,-0.112775813992669,"P11","C","Low","S3","July","soil"
"P11_N_Low_S1_July_root",-0.745113565619856,0.0234231916125562,"P11","N","Low","S1","July","root"
"P11_N_Low_S1_July_soil",0.741780792644647,0.109927721805901,"P11","N","Low","S1","July","soil"
"P11_N_Low_S1_Sept_root",-0.71266906830204,-0.0123481795457322,"P11","N","Low","S1","Sept","root"
"P11_N_Low_S1_Sept_soil",0.634436523791762,0.00506480918252131,"P11","N","Low","S1","Sept","soil"
"P11_N_Low_S2_July_root",-0.736034177930439,0.0270902306342653,"P11","N","Low","S2","July","root"
"P11_N_Low_S2_July_soil",0.721754249635181,0.0280928882244288,"P11","N","Low","S2","July","soil"
"P11_N_Low_S2_Sept_root",-0.737793161420093,-0.00109331345559433,"P11","N","Low","S2","Sept","root"
"P11_N_Low_S2_Sept_soil",0.520806047913549,-0.0921652738545427,"P11","N","Low","S2","Sept","soil"
"P11_N_Low_S3_July_root",-0.786925189720261,0.00908062702853032,"P11","N","Low","S3","July","root"
"P11_N_Low_S3_July_soil",0.645674416825774,0.00347709479172542,"P11","N","Low","S3","July","soil"
"P11_N_Low_S3_Sept_root",-0.77961397675497,-0.0125650545403724,"P11","N","Low","S3","Sept","root"
"P11_N_Low_S3_Sept_soil",0.575364047410289,0.04717912410528,"P11","N","Low","S3","Sept","soil"
"P4_A_Low_S1_Sept_root",-0.784341810094281,-0.0533285063147536,"P4","A","Low","S1","Sept","root"
"P4_A_Low_S1_Sept_soil",0.617463405389242,0.0165171479827432,"P4","A","Low","S1","Sept","soil"
"P4_A_Low_S2_Sept_root",-0.83424504505304,4.93193909741992e-05,"P4","A","Low","S2","Sept","root"
"P4_A_Low_S2_Sept_soil",0.635782195356478,0.0268691119690152,"P4","A","Low","S2","Sept","soil"
"P4_A_Low_S3_Sept_soil",0.65575177965509,-0.0572426335505365,"P4","A","Low","S3","Sept","soil"
"P6_N_High_S1_Sept_root",-0.720055445415863,0.0928471994089132,"P6","N","High","S1","Sept","root"
"P6_N_High_S1_Sept_soil",0.703582971832036,0.114228233652986,"P6","N","High","S1","Sept","soil"
"P6_N_High_S2_Sept_root",-0.687892650189235,0.0785396094698608,"P6","N","High","S2","Sept","root"
