"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_root",-0.0529584096256944,-0.0443339087480292,"P10","C","High","S1","Sept","root"
"P10_C_High_S2_Sept_root",-0.0275652232702688,-0.0439540398110938,"P10","C","High","S2","Sept","root"
"P10_C_High_S3_Sept_root",-0.173879819230061,-0.396086630358254,"P10","C","High","S3","Sept","root"
"P11_A_Low_S1_July_root",-0.00609007210436832,0.112976810697654,"P11","A","Low","S1","July","root"
"P11_C_Low_S1_July_root",0.176646984413589,0.113981783184159,"P11","C","Low","S1","July","root"
"P11_C_Low_S2_July_root",0.181506251251352,0.194808025446693,"P11","C","Low","S2","July","root"
"P11_C_Low_S3_July_root",-0.0217010929019964,-0.149348800108566,"P11","C","Low","S3","July","root"
"P11_N_Low_S1_July_root",-0.0428563899686027,0.228781604910875,"P11","N","Low","S1","July","root"
"P11_N_Low_S1_Sept_root",-0.175034642213968,0.081921460213742,"P11","N","Low","S1","Sept","root"
"P11_N_Low_S2_July_root",-0.0724673650899336,0.154861772043922,"P11","N","Low","S2","July","root"
"P11_N_Low_S2_Sept_root",-0.0261216300549167,0.120298435927459,"P11","N","Low","S2","Sept","root"
"P11_N_Low_S3_July_root",0.042020618056068,0.164823384836798,"P11","N","Low","S3","July","root"
"P11_N_Low_S3_Sept_root",0.104384330196456,-0.00244302591616077,"P11","N","Low","S3","Sept","root"
"P4_A_Low_S1_Sept_root",0.150447714938055,-0.214402980125787,"P4","A","Low","S1","Sept","root"
"P4_A_Low_S2_Sept_root",0.089046339686516,0.104729720077624,"P4","A","Low","S2","Sept","root"
"P6_N_High_S1_Sept_root",-0.213689355092996,-0.169896065247159,"P6","N","High","S1","Sept","root"
"P6_N_High_S2_Sept_root",-0.382737373960159,0.00854534266625147,"P6","N","High","S2","Sept","root"
"P6_N_High_S3_Sept_root",0.0660425190301975,-0.0236943612483649,"P6","N","High","S3","Sept","root"
"P7_C_Low_S1_Sept_root",0.16409375364442,0.0284146825409482,"P7","C","Low","S1","Sept","root"
"P7_C_Low_S2_Sept_root",-0.111574878957886,-0.051356489171314,"P7","C","Low","S2","Sept","root"
"P7_C_Low_S3_Sept_root",-0.245082048663213,0.165817266074203,"P7","C","Low","S3","Sept","root"
"P8_A_High_S1_Sept_root",-0.0122172196041547,0.0837290072808722,"P8","A","High","S1","Sept","root"
"P8_A_High_S2_July_root",0.0928658570520978,-0.243385825715722,"P8","A","High","S2","July","root"
"P8_A_High_S2_Sept_root",-0.0385496875066326,-0.0233564147898036,"P8","A","High","S2","Sept","root"
"P8_A_High_S3_July_root",0.210632183979095,-0.168754781988833,"P8","A","High","S3","July","root"
"P8_A_High_S3_Sept_root",0.0810076308311196,-0.0411655786446972,"P8","A","High","S3","Sept","root"
"P8_C_High_S1_July_root",-0.0815617269717279,0.0443502262906881,"P8","C","High","S1","July","root"
"P8_C_High_S3_July_root",0.246623911929583,-0.0529371689256043,"P8","C","High","S3","July","root"
"P8_N_High_S2_July_root",0.0787688402080307,0.0170765486074996,"P8","N","High","S2","July","root"
