"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_soil",-0.364650767955023,0.188760201180088,"P10","C","High","S1","Sept","soil"
"P10_C_High_S2_Sept_soil",-0.346180478310371,-0.0430931051675618,"P10","C","High","S2","Sept","soil"
"P10_C_High_S3_Sept_soil",0.193806491745766,-0.0742940779501053,"P10","C","High","S3","Sept","soil"
"P11_A_Low_S1_July_soil",0.288736722516146,0.145803560339845,"P11","A","Low","S1","July","soil"
"P11_A_Low_S2_July_soil",0.138540358165653,0.0719942116928667,"P11","A","Low","S2","July","soil"
"P11_C_Low_S1_July_soil",0.132937648417449,-0.231788712722194,"P11","C","Low","S1","July","soil"
"P11_C_Low_S2_July_soil",0.232471007314689,-0.04370254373963,"P11","C","Low","S2","July","soil"
"P11_C_Low_S3_July_soil",-0.0823046913775471,0.170170156004299,"P11","C","Low","S3","July","soil"
"P11_N_Low_S1_July_soil",0.338900225866042,0.0628679677519706,"P11","N","Low","S1","July","soil"
"P11_N_Low_S1_Sept_soil",0.0500734421410387,-0.0138254947067738,"P11","N","Low","S1","Sept","soil"
"P11_N_Low_S2_July_soil",0.194047794060364,-0.129066483352486,"P11","N","Low","S2","July","soil"
"P11_N_Low_S2_Sept_soil",-0.271481663624177,-0.212180454432901,"P11","N","Low","S2","Sept","soil"
"P11_N_Low_S3_July_soil",0.0613519800294321,0.000776601192585893,"P11","N","Low","S3","July","soil"
"P11_N_Low_S3_Sept_soil",0.0610025516591446,0.108574990174399,"P11","N","Low","S3","Sept","soil"
"P4_A_Low_S1_Sept_soil",0.0665412983556292,-0.0999463631725713,"P4","A","Low","S1","Sept","soil"
"P4_A_Low_S2_Sept_soil",0.102110688634588,-0.0108642774246461,"P4","A","Low","S2","Sept","soil"
"P4_A_Low_S3_Sept_soil",0.00672126596322304,0.153030970943455,"P4","A","Low","S3","Sept","soil"
"P6_N_High_S1_Sept_soil",0.265672039836116,-0.0833595591109719,"P6","N","High","S1","Sept","soil"
"P6_N_High_S2_Sept_soil",-0.165489494002609,-0.1093020606519,"P6","N","High","S2","Sept","soil"
"P6_N_High_S3_Sept_soil",-0.0555955996297047,-0.013589297996422,"P6","N","High","S3","Sept","soil"
"P7_C_Low_S1_Sept_soil",0.126291133649151,0.000616705502105633,"P7","C","Low","S1","Sept","soil"
"P7_C_Low_S2_Sept_soil",0.340396579612928,0.102637743353847,"P7","C","Low","S2","Sept","soil"
"P7_C_Low_S3_Sept_soil",-0.0537844253664633,0.0301507968796529,"P7","C","Low","S3","Sept","soil"
"P8_A_High_S1_July_soil",-0.422849108377737,0.109502011979142,"P8","A","High","S1","July","soil"
"P8_A_High_S1_Sept_soil",0.0407010793467307,-0.0240933363181655,"P8","A","High","S1","Sept","soil"
"P8_A_High_S2_July_soil",0.481506248519753,-0.0376015379847183,"P8","A","High","S2","July","soil"
"P8_A_High_S2_Sept_soil",0.110220910206942,0.0299720865762508,"P8","A","High","S2","Sept","soil"
"P8_A_High_S3_July_soil",0.0902229461901431,0.161107859445043,"P8","A","High","S3","July","soil"
"P8_A_High_S3_Sept_soil",0.060015980173828,0.256316018583464,"P8","A","High","S3","Sept","soil"
"P8_C_High_S1_July_soil",-0.489526239631952,-0.0432679439419414,"P8","C","High","S1","July","soil"
"P8_C_High_S2_July_soil",-0.0827620845796381,-0.206249624917432,"P8","C","High","S2","July","soil"
"P8_C_High_S3_July_soil",-0.134835819533874,-0.181068130027024,"P8","C","High","S3","July","soil"
"P8_N_High_S1_July_soil",-0.542171392168981,0.00341731567359871,"P8","N","High","S1","July","soil"
"P8_N_High_S2_July_soil",0.0532905104525989,-0.119256986302323,"P8","N","High","S2","July","soil"
"P8_N_High_S3_July_soil",-0.423927138299279,0.0808507926471532,"P8","N","High","S3","July","soil"
