"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_soil",-0.511035896327246,0.264535953515051,"P10","C","High","S1","Sept","soil"
"P10_C_High_S2_Sept_soil",-0.485150907583324,-0.0603923686993182,"P10","C","High","S2","Sept","soil"
"P10_C_High_S3_Sept_soil",0.271608023147103,-0.104118636387244,"P10","C","High","S3","Sept","soil"
"P11_A_Low_S1_July_soil",0.404646973928299,0.204334831279355,"P11","A","Low","S1","July","soil"
"P11_A_Low_S2_July_soil",0.194155894720108,0.10089551355991,"P11","A","Low","S2","July","soil"
"P11_C_Low_S1_July_soil",0.186304037409917,-0.324837798172786,"P11","C","Low","S1","July","soil"
"P11_C_Low_S2_July_soil",0.325793992590228,-0.0612464598306213,"P11","C","Low","S2","July","soil"
"P11_C_Low_S3_July_soil",-0.11534502440771,0.238483134670186,"P11","C","Low","S3","July","soil"
"P11_N_Low_S1_July_soil",0.474948076106399,0.0881056371568193,"P11","N","Low","S1","July","soil"
"P11_N_Low_S1_Sept_soil",0.0701748868657051,-0.0193755908407006,"P11","N","Low","S1","Sept","soil"
"P11_N_Low_S2_July_soil",0.271946193680289,-0.18087883477042,"P11","N","Low","S2","July","soil"
"P11_N_Low_S2_Sept_soil",-0.380465057250902,-0.29735801551257,"P11","N","Low","S2","Sept","soil"
"P11_N_Low_S3_July_soil",0.085981072470028,0.00108835938771667,"P11","N","Low","S3","July","soil"
"P11_N_Low_S3_Sept_soil",0.0854913698391697,0.152161252075958,"P11","N","Low","S3","Sept","soil"
"P4_A_Low_S1_Sept_soil",0.0932535868185584,-0.14006875557943,"P4","A","Low","S1","Sept","soil"
"P4_A_Low_S2_Sept_soil",0.143101926217267,-0.0152256247334619,"P4","A","Low","S2","Sept","soil"
"P4_A_Low_S3_Sept_soil",0.0094194458858048,0.214463608127005,"P4","A","Low","S3","Sept","soil"
"P6_N_High_S1_Sept_soil",0.372323222485256,-0.116823357445867,"P6","N","High","S1","Sept","soil"
"P6_N_High_S2_Sept_soil",-0.231923471256194,-0.153180197175804,"P6","N","High","S2","Sept","soil"
"P6_N_High_S3_Sept_soil",-0.0779138550782408,-0.0190445755016651,"P6","N","High","S3","Sept","soil"
"P7_C_Low_S1_Sept_soil",0.176989350782167,0.00086427529223624,"P7","C","Low","S1","Sept","soil"
"P7_C_Low_S2_Sept_soil",0.477045124969209,0.143840561384225,"P7","C","Low","S2","Sept","soil"
"P7_C_Low_S3_Sept_soil",-0.0753756043892019,0.0422545099652023,"P7","C","Low","S3","Sept","soil"
"P8_A_High_S1_July_soil",-0.59259733449306,0.15346041681256,"P8","A","High","S1","July","soil"
"P8_A_High_S1_Sept_soil",0.0570400898429163,-0.0337653470193327,"P8","A","High","S1","Sept","soil"
"P8_A_High_S2_July_soil",0.674801752590338,-0.052696270941828,"P8","A","High","S2","July","soil"
"P8_A_High_S2_Sept_soil",0.154467909000967,0.0420040583328249,"P8","A","High","S2","Sept","soil"
"P8_A_High_S3_July_soil",0.126441977440869,0.225782876637234,"P8","A","High","S3","July","soil"
"P8_A_High_S3_Sept_soil",0.0841087498432841,0.359211327140241,"P8","A","High","S3","Sept","soil"
"P8_C_High_S1_July_soil",-0.686041282866233,-0.0606373946189917,"P8","C","High","S1","July","soil"
"P8_C_High_S2_July_soil",-0.115986033190758,-0.289046318284016,"P8","C","High","S2","July","soil"
"P8_C_High_S3_July_soil",-0.188964208903055,-0.253755983138562,"P8","C","High","S3","July","soil"
"P8_N_High_S1_July_soil",-0.759820265603392,0.00478916029187156,"P8","N","High","S1","July","soil"
"P8_N_High_S2_July_soil",0.07468341264604,-0.167131420646867,"P8","N","High","S2","July","soil"
"P8_N_High_S3_July_soil",-0.594108127930607,0.113307473671089,"P8","N","High","S3","July","soil"
