"","PC1","PC2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_soil",-4.3936052896939,2.05992714399351,"P10","C","High","S1","Sept","soil"
"P10_C_High_S2_Sept_soil",-3.29897059094296,1.28989258561124,"P10","C","High","S2","Sept","soil"
"P10_C_High_S3_Sept_soil",1.78842804698129,0.890067380452647,"P10","C","High","S3","Sept","soil"
"P11_A_Low_S1_July_soil",2.67219973921936,-0.456621431109289,"P11","A","Low","S1","July","soil"
"P11_A_Low_S2_July_soil",1.11052940806703,-0.93911337409665,"P11","A","Low","S2","July","soil"
"P11_A_Low_S3_July_soil",4.66938847137274,-3.5444306766096,"P11","A","Low","S3","July","soil"
"P11_C_Low_S1_July_soil",1.22008856745068,0.96648326914321,"P11","C","Low","S1","July","soil"
"P11_C_Low_S2_July_soil",1.86884605424921,0.568403193758813,"P11","C","Low","S2","July","soil"
"P11_C_Low_S3_July_soil",0.0669849845916455,-2.66584945764441,"P11","C","Low","S3","July","soil"
"P11_N_Low_S1_July_soil",1.79700067900313,0.575149373860053,"P11","N","Low","S1","July","soil"
"P11_N_Low_S1_Sept_soil",0.251089878149063,0.586070592371532,"P11","N","Low","S1","Sept","soil"
"P11_N_Low_S2_July_soil",2.08503287016938,-0.0397285218235896,"P11","N","Low","S2","July","soil"
"P11_N_Low_S2_Sept_soil",-1.33094540619817,-0.528592729390946,"P11","N","Low","S2","Sept","soil"
"P11_N_Low_S3_July_soil",0.448666286083996,0.1899294578577,"P11","N","Low","S3","July","soil"
"P11_N_Low_S3_Sept_soil",1.405857399781,0.495047410336614,"P11","N","Low","S3","Sept","soil"
"P4_A_Low_S1_Sept_soil",0.56011658172154,0.237931349746776,"P4","A","Low","S1","Sept","soil"
"P4_A_Low_S2_Sept_soil",1.38170230603309,0.264861481565448,"P4","A","Low","S2","Sept","soil"
"P4_A_Low_S3_Sept_soil",0.903802875893523,-0.934577344801763,"P4","A","Low","S3","Sept","soil"
"P6_N_High_S1_Sept_soil",1.71106064480342,1.59801474833166,"P6","N","High","S1","Sept","soil"
"P6_N_High_S2_Sept_soil",-0.289529199308894,2.80803396828698,"P6","N","High","S2","Sept","soil"
"P6_N_High_S3_Sept_soil",-1.03737241564512,2.00975250537384,"P6","N","High","S3","Sept","soil"
"P7_C_Low_S1_Sept_soil",0.997753856328285,0.353111243007364,"P7","C","Low","S1","Sept","soil"
"P7_C_Low_S2_Sept_soil",1.88651846332051,3.16759407375926,"P7","C","Low","S2","Sept","soil"
"P7_C_Low_S3_Sept_soil",0.163823099183756,2.38392870652049,"P7","C","Low","S3","Sept","soil"
"P8_A_High_S1_July_soil",-5.0052433403797,-1.28037197471259,"P8","A","High","S1","July","soil"
"P8_A_High_S1_Sept_soil",0.445177311285604,1.2386815659577,"P8","A","High","S1","Sept","soil"
"P8_A_High_S2_July_soil",1.84929624816009,-1.262578704808,"P8","A","High","S2","July","soil"
"P8_A_High_S2_Sept_soil",0.96523440539656,-0.836297679625573,"P8","A","High","S2","Sept","soil"
"P8_A_High_S3_July_soil",0.282372518212388,-0.498962982771928,"P8","A","High","S3","July","soil"
"P8_A_High_S3_Sept_soil",1.5188683996653,-1.72256529715139,"P8","A","High","S3","Sept","soil"
"P8_C_High_S1_July_soil",-4.39661661758045,-1.76264907170648,"P8","C","High","S1","July","soil"
"P8_C_High_S2_July_soil",-0.611344149292253,-2.18335128239155,"P8","C","High","S2","July","soil"
"P8_C_High_S3_July_soil",-1.32745531282517,-2.65509926215971,"P8","C","High","S3","July","soil"
"P8_N_High_S1_July_soil",-6.15016736959423,-0.748178398438407,"P8","N","High","S1","July","soil"
"P8_N_High_S2_July_soil",0.345976431585288,0.635488525084381,"P8","N","High","S2","July","soil"
"P8_N_High_S3_July_soil",-4.55456583524707,-0.259400385777344,"P8","N","High","S3","July","soil"
