"","PC1","PC2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_root",-5.1280773527041,-0.913948005118018,"P10","C","High","S1","Sept","root"
"P10_C_High_S1_Sept_soil",3.31070325697279,-1.08825968006714,"P10","C","High","S1","Sept","soil"
"P10_C_High_S2_Sept_root",-4.9277209783493,-0.534813202838904,"P10","C","High","S2","Sept","root"
"P10_C_High_S2_Sept_soil",2.58192892436622,-1.82844590193317,"P10","C","High","S2","Sept","soil"
"P10_C_High_S3_Sept_root",-3.1374612413332,-0.802059180965635,"P10","C","High","S3","Sept","root"
"P10_C_High_S3_Sept_soil",3.78334751224526,1.41812657338865,"P10","C","High","S3","Sept","soil"
"P11_A_Low_S1_July_root",-4.66532207452487,0.245027953960116,"P11","A","Low","S1","July","root"
"P11_A_Low_S1_July_soil",4.06936967279415,1.64048052292779,"P11","A","Low","S1","July","soil"
"P11_A_Low_S2_July_soil",3.84372978950852,0.562071309939782,"P11","A","Low","S2","July","soil"
"P11_A_Low_S3_July_soil",5.08149179370446,5.05320252495695,"P11","A","Low","S3","July","soil"
"P11_C_Low_S1_July_root",-5.20849603419104,2.16111844823607,"P11","C","Low","S1","July","root"
"P11_C_Low_S1_July_soil",3.26136327221165,0.678792336102081,"P11","C","Low","S1","July","soil"
"P11_C_Low_S2_July_root",-4.74047503764409,0.873581535749611,"P11","C","Low","S2","July","root"
"P11_C_Low_S2_July_soil",3.72912800373513,0.915827643454024,"P11","C","Low","S2","July","soil"
"P11_C_Low_S3_July_root",-4.30669654873957,-0.227406689155414,"P11","C","Low","S3","July","root"
"P11_C_Low_S3_July_soil",3.90106409812982,-0.665444847509068,"P11","C","Low","S3","July","soil"
"P11_N_Low_S1_July_root",-3.97020049520108,1.04307867181433,"P11","N","Low","S1","July","root"
"P11_N_Low_S1_July_soil",4.1313934149961,1.40358017592703,"P11","N","Low","S1","July","soil"
"P11_N_Low_S1_Sept_root",-4.19335845756082,-0.869314575505026,"P11","N","Low","S1","Sept","root"
"P11_N_Low_S1_Sept_soil",3.648579988184,-0.119559375260682,"P11","N","Low","S1","Sept","soil"
"P11_N_Low_S2_July_root",-3.70734549263913,0.710605585583065,"P11","N","Low","S2","July","root"
"P11_N_Low_S2_July_soil",4.24859673965015,1.50754871413053,"P11","N","Low","S2","July","soil"
"P11_N_Low_S2_Sept_root",-4.81930522389238,-0.0316402626566457,"P11","N","Low","S2","Sept","root"
"P11_N_Low_S2_Sept_soil",2.8767022708952,-0.904964539351237,"P11","N","Low","S2","Sept","soil"
"P11_N_Low_S3_July_root",-4.55042945924407,1.45710362046781,"P11","N","Low","S3","July","root"
"P11_N_Low_S3_July_soil",3.76683914516298,-0.134262819474077,"P11","N","Low","S3","July","soil"
"P11_N_Low_S3_Sept_root",-6.12727890386008,-0.461261944140363,"P11","N","Low","S3","Sept","root"
"P11_N_Low_S3_Sept_soil",3.30595413116327,1.31628501376349,"P11","N","Low","S3","Sept","soil"
"P4_A_Low_S1_Sept_root",-4.84200133937548,-1.46115942930628,"P4","A","Low","S1","Sept","root"
"P4_A_Low_S1_Sept_soil",3.37296218247031,-0.0243740001664872,"P4","A","Low","S1","Sept","soil"
"P4_A_Low_S2_Sept_root",-5.48839287391249,2.07463513115029,"P4","A","Low","S2","Sept","root"
"P4_A_Low_S2_Sept_soil",3.47342018932768,0.427845533773831,"P4","A","Low","S2","Sept","soil"
"P4_A_Low_S3_Sept_root",-0.439336143022665,0.187943061982145,"P4","A","Low","S3","Sept","root"
"P4_A_Low_S3_Sept_soil",4.05763332862131,-0.240426309832262,"P4","A","Low","S3","Sept","soil"
"P6_N_High_S1_Sept_root",-2.83095765981854,0.670156646648076,"P6","N","High","S1","Sept","root"
"P6_N_High_S1_Sept_soil",4.18056418471696,1.73275176600056,"P6","N","High","S1","Sept","soil"
"P6_N_High_S2_Sept_root",-2.30317399851495,0.104368753545408,"P6","N","High","S2","Sept","root"
"P6_N_High_S2_Sept_soil",2.69660015509422,-0.165871712488566,"P6","N","High","S2","Sept","soil"
"P6_N_High_S3_Sept_root",-5.30219929975066,0.419908820229591,"P6","N","High","S3","Sept","root"
"P6_N_High_S3_Sept_soil",3.39409945232936,-1.05981190027104,"P6","N","High","S3","Sept","soil"
"P7_C_Low_S1_Sept_root",-4.90585712841384,-0.256939174618151,"P7","C","Low","S1","Sept","root"
"P7_C_Low_S1_Sept_soil",4.02101474055115,0.387248202292862,"P7","C","Low","S1","Sept","soil"
"P7_C_Low_S2_Sept_root",-3.83943071605653,0.14553109271221,"P7","C","Low","S2","Sept","root"
"P7_C_Low_S2_Sept_soil",3.72046918959944,1.60566910415965,"P7","C","Low","S2","Sept","soil"
"P7_C_Low_S3_Sept_root",-4.19291971997381,0.0238063121596919,"P7","C","Low","S3","Sept","root"
"P7_C_Low_S3_Sept_soil",3.15537657192827,-0.583143371803346,"P7","C","Low","S3","Sept","soil"
"P8_A_High_S1_July_soil",3.33068952085147,-3.73666091486649,"P8","A","High","S1","July","soil"
"P8_A_High_S1_Sept_root",-5.6172338526585,-0.36842721659733,"P8","A","High","S1","Sept","root"
"P8_A_High_S1_Sept_soil",3.97497461920566,0.11853004089542,"P8","A","High","S1","Sept","soil"
"P8_A_High_S2_July_root",-4.45324235515895,-1.18805212483903,"P8","A","High","S2","July","root"
"P8_A_High_S2_July_soil",5.00591392111317,0.930213339509353,"P8","A","High","S2","July","soil"
"P8_A_High_S2_Sept_root",-4.37637527302828,0.367378648560861,"P8","A","High","S2","Sept","root"
"P8_A_High_S2_Sept_soil",3.84667864448532,0.190371459247321,"P8","A","High","S2","Sept","soil"
"P8_A_High_S3_July_root",-4.09930356565381,0.030506358361045,"P8","A","High","S3","July","root"
"P8_A_High_S3_July_soil",4.52764765158354,0.362807720769572,"P8","A","High","S3","July","soil"
"P8_A_High_S3_Sept_root",-5.41875144082133,-0.621722747796499,"P8","A","High","S3","Sept","root"
"P8_A_High_S3_Sept_soil",3.66823418929377,0.43230243834883,"P8","A","High","S3","Sept","soil"
"P8_C_High_S1_July_root",-3.98733981108434,-0.169920737054676,"P8","C","High","S1","July","root"
"P8_C_High_S1_July_soil",2.52772942232855,-3.73890910596534,"P8","C","High","S1","July","soil"
"P8_C_High_S2_July_soil",2.97073559164164,-0.658172020926963,"P8","C","High","S2","July","soil"
"P8_C_High_S3_July_root",-3.62464228975245,0.695609310389274,"P8","C","High","S3","July","root"
"P8_C_High_S3_July_soil",3.39468350237752,-1.16663019309934,"P8","C","High","S3","July","soil"
"P8_N_High_S1_July_soil",2.92206625602245,-4.03492426943748,"P8","N","High","S1","July","soil"
"P8_N_High_S2_July_root",-5.85720450517494,-0.0887825378331738,"P8","N","High","S2","July","root"
"P8_N_High_S2_July_soil",3.70181862487295,-0.0472717419208341,"P8","N","High","S2","July","soil"
"P8_N_High_S3_July_soil",3.57702531992086,-3.70143383833863,"P8","N","High","S3","July","soil"
