"","PC1","PC2","MAC","Site","Treatment","Replicate","Date","Compartment","Line"
"MAC_P8_A_S1_20210718_soil",-6.57789572664358,2.2194459580387,"MAC","P8","A","S1","July","soil","High"
"MAC_P8_A_S2_20210718_soil",2.1486804866461,1.68245627481425,"MAC","P8","A","S2","July","soil","High"
"MAC_P8_A_S3_20210718_soil",-0.541191057032175,0.0702881010726393,"MAC","P8","A","S3","July","soil","High"
"MAC_P8_N_S1_20210718_soil",-9.53027121148652,4.65986406279017,"MAC","P8","N","S1","July","soil","High"
"MAC_P8_N_S2_20210718_soil",1.03011306080173,0.0815735107866028,"MAC","P8","N","S2","July","soil","High"
"MAC_P8_N_S3_20210718_soil",-5.78554913635351,1.84846005940354,"MAC","P8","N","S3","July","soil","High"
"MAC_P8_C_S1_20210718_soil",-6.36183663235837,0.494687716383355,"MAC","P8","C","S1","July","soil","High"
"MAC_P8_C_S2_20210718_soil",-1.11612654003471,1.15590893140497,"MAC","P8","C","S2","July","soil","High"
"MAC_P8_C_S3_20210718_soil",-1.41889542432066,1.70767449740202,"MAC","P8","C","S3","July","soil","High"
"MAC_P11_A_S1_20210718_soil",3.81894867520986,1.91483797255958,"MAC","P11","A","S1","July","soil","Low"
"MAC_P11_A_S2_20210718_soil",2.25049015024353,2.38849998666847,"MAC","P11","A","S2","July","soil","Low"
"MAC_P11_A_S3_20210718_soil",10.9359208806002,5.21630525514204,"MAC","P11","A","S3","July","soil","Low"
"MAC_P11_N_S1_20210718_soil",2.40537625181696,-1.13680983414714,"MAC","P11","N","S1","July","soil","Low"
"MAC_P11_N_S2_20210718_soil",1.61349259140253,-0.407943906025284,"MAC","P11","N","S2","July","soil","Low"
"MAC_P11_N_S3_20210718_soil",1.46315043756053,-0.0918544237392504,"MAC","P11","N","S3","July","soil","Low"
"MAC_P11_C_S1_20210718_soil",0.906203184116665,-1.5106331030194,"MAC","P11","C","S1","July","soil","Low"
"MAC_P11_C_S2_20210718_soil",1.54208309863045,-0.600236716036665,"MAC","P11","C","S2","July","soil","Low"
"MAC_P11_C_S3_20210718_soil",0.496534758936484,2.97354324305677,"MAC","P11","C","S3","July","soil","Low"
"MAC_P4_A_S1_20210909_soil",0.980122869046949,-0.682152132291629,"MAC","P4","A","S1","Sept","soil","Low"
"MAC_P4_A_S2_20210909_soil",1.87202856549104,-0.231935686264546,"MAC","P4","A","S2","Sept","soil","Low"
"MAC_P4_A_S3_20210909_soil",1.493652924208,0.144244076290629,"MAC","P4","A","S3","Sept","soil","Low"
"MAC_P6_N_S1_20210909_soil",0.68271642427016,-1.18039622040311,"MAC","P6","N","S1","Sept","soil","High"
"MAC_P6_N_S2_20210909_soil",0.196288276179224,-3.40493613843066,"MAC","P6","N","S2","Sept","soil","High"
"MAC_P6_N_S3_20210909_soil",-1.99249946946206,-1.93382236201172,"MAC","P6","N","S3","Sept","soil","High"
"MAC_P7_C_S1_20210909_soil",1.3080622498897,-0.513523634053819,"MAC","P7","C","S1","Sept","soil","Low"
"MAC_P7_C_S2_20210909_soil",1.59375550918406,-4.42288476099415,"MAC","P7","C","S2","Sept","soil","Low"
"MAC_P7_C_S3_20210909_soil",-0.754025959657914,-4.00419005318716,"MAC","P7","C","S3","Sept","soil","Low"
"MAC_P8_A_S1_20210909_soil",-0.567167963109271,-1.45626986369008,"MAC","P8","A","S1","Sept","soil","High"
"MAC_P8_A_S2_20210909_soil",2.80397510998696,1.42454396821987,"MAC","P8","A","S2","Sept","soil","High"
"MAC_P8_A_S3_20210909_soil",3.98526125102713,1.36260440208878,"MAC","P8","A","S3","Sept","soil","High"
"MAC_P10_C_S1_20210909_soil",-7.10259564722584,-0.314884857783234,"MAC","P10","C","S1","Sept","soil","High"
"MAC_P10_C_S2_20210909_soil",-4.48574909712846,-0.991883567969351,"MAC","P10","C","S2","Sept","soil","High"
"MAC_P10_C_S3_20210909_soil",1.44260647700554,-2.41210908895785,"MAC","P10","C","S3","Sept","soil","High"
"MAC_P11_N_S1_20210909_soil",0.954090879204106,-1.80478139300938,"MAC","P11","N","S1","Sept","soil","Low"
"MAC_P11_N_S2_20210909_soil",-0.857925710149201,-0.795002875123265,"MAC","P11","N","S2","Sept","soil","Low"
"MAC_P11_N_S3_20210909_soil",1.16817546350434,-1.44868739898469,"MAC","P11","N","S3","Sept","soil","Low"
