"","name","xend","yend","coord","cos2","contrib"
"V1","V1",-6.91011975049242,-3.89914451858968,0.741063130701222,0.741063130701222,3.08859892404667
"V2","V2",-6.33402995152326,-4.42649751239823,0.702931534183738,0.702931534183738,2.92967426149513
"V3","V3",-4.37697591000306,-0.384781401242483,0.227263630149944,0.227263630149944,0.947188133475035
"V4","V4",-2.84721502404633,-5.39078656486103,0.437520294031092,0.437520294031092,1.82349472455112
"V5","V5",-8.66542290026561,0.336706435874318,0.885264273471679,0.885264273471679,3.68959967007717
"V6","V6",-7.35109176045843,-0.0507297447491191,0.63615445587238,0.63615445587238,2.65136111423562
"V7","V7",-5.31483860624502,-3.78160819739252,0.500861982646476,0.500861982646476,2.08748987314211
"V8","V8",-8.24865350723172,1.43218620102247,0.825093561955049,0.825093561955049,3.43882050275639
"V9","V9",-7.2748157867703,1.80970295097955,0.661544141628205,0.661544141628205,2.7571801097551
"V10","V10",-0.370713933381748,-3.0729335237831,0.112776742383419,0.112776742383419,0.470030299379919
"V11","V11",-4.81120599753725,1.95799299502547,0.317616695711668,0.317616695711668,1.32376115339332
"V12","V12",-8.92788848341774,-0.401778353396186,0.940187291719106,0.940187291719106,3.91850752965978
"V13","V13",-7.32366109829336,-1.61623617142749,0.66213580644162,0.66213580644162,2.75964604717717
"V14","V14",-7.28924926316947,-1.52685271289102,0.652909201606463,0.652909201606463,2.72119145324871
"V15","V15",-7.87065311442024,-0.962771269208311,0.740133474819025,0.740133474819025,3.08472430926889
"V16","V16",-6.82118196285097,1.37972264568426,0.570127544492985,0.570127544492985,2.37617450867402
"V17","V17",-7.33028651428872,-2.11142695462867,0.685008084497809,0.685008084497809,2.85497300444732
"V18","V18",-7.82025235649631,0.994619843751175,0.731557888319271,0.731557888319271,3.0489830260517
"V19","V19",-6.47011293129059,-1.23253138206966,0.510672789326701,0.510672789326701,2.12837930037336
"V20","V20",-8.03405935668846,0.528414273004751,0.763102627914896,0.763102627914896,3.18045502180756
"V21","V21",-5.74832463422208,5.68683023278459,0.769670548394592,0.769670548394592,3.2078287654016
"V22","V22",-8.46466207477556,-0.434024467332974,0.845663846430581,0.845663846430581,3.52455322358187
"V23","V23",-2.93816826076482,5.04239811098998,0.400926849645227,0.400926849645227,1.67098076416774
"V24","V24",-1.80720465184893,1.60785740887612,0.0688783458422726,0.0688783458422726,0.287070798755374
"V25","V25",-6.42764697026029,-3.1811980526311,0.605472095937508,0.605472095937508,2.52348333978422
"V26","V26",-8.38930942024848,0.967192211174758,0.839508344760235,0.839508344760235,3.49889835687974
"V27","V27",-8.03035655767173,0.299001178347459,0.760167911568964,0.760167911568964,3.16822372683024
"V28","V28",1.44498177069227,5.66468909968298,0.402316654316028,0.402316654316028,1.67677318458786
"V29","V29",-3.27377549106072,3.45582553493093,0.266750075188266,0.266750075188266,1.11175952639319
"V30","V30",-3.80333451271887,1.85115424716471,0.210620257026926,0.210620257026926,0.87782197263039
"V31","V31",-4.15365932145615,-0.557369801659644,0.206752336974755,0.206752336974755,0.861701276273343
"V32","V32",-5.94964804968753,-0.200694721976032,0.417171509919414,0.417171509919414,1.7386851717489
"V33","V33",-6.42500841029277,1.73133421977653,0.521229111609426,0.521229111609426,2.17237588351664
"V34","V34",-0.175880714211745,7.07377133579937,0.589397973787845,0.589397973787845,2.45648970007978
"V35","V35",-4.94119063141053,5.74731765092847,0.676247615413126,0.676247615413126,2.81846116858862
"V36","V36",0.451984369849587,-0.845598664622571,0.0108220168466314,0.0108220168466314,0.045103943515437
"V37","V37",-7.52843319527579,-0.502768870592203,0.670162341576936,0.670162341576936,2.79309899707538
"V38","V38",-7.30358573538028,-0.854744397318619,0.636529136477542,0.636529136477542,2.65292270604342
"V39","V39",-3.34676143742024,-4.55840143416804,0.376456181258854,0.376456181258854,1.56899204428994
"V40","V40",-4.84163196680692,-1.29154172950193,0.29558059897492,0.29558059897492,1.23191922812185
"V41","V41",-4.62471666443412,3.74034818220383,0.416460718197412,0.416460718197412,1.73572273783896
"V42","V42",-4.7678051619461,2.69661191083598,0.353193543068045,0.353193543068045,1.47203814615358
"V43","V43",-5.50790115905095,4.89656243796179,0.639358414712767,0.639358414712767,2.66471455663093
"V44","V44",-6.96309721747364,-2.82307096953507,0.664563376400424,0.664563376400424,2.76976366017421
"V45","V45",-1.2702661942501,1.50562653682584,0.0456798310851918,0.0456798310851918,0.190384153920673
