"","name","xend","yend","coord","cos2","contrib"
"4Hydroxyphenylacetate","4Hydroxyphenylacetate",-2.14062466254853,-3.66089698862088,0.267204077361638,0.267204077361638,1.40783134574067
"Adenosine","Adenosine",-6.73886132499833,0.642150037902919,0.68083975856946,0.68083975856946,3.58717412924556
"Arabinose","Arabinose",-8.07005323214533,0.428213113268379,0.970331240434403,0.970331240434403,5.1124322260477
"Asparagine","Asparagine",-7.80627270392525,0.364703775472452,0.907361779417867,0.907361779417867,4.78066191056897
"Aspartate","Aspartate",-1.73427252173454,-4.62189114208068,0.362071356794117,0.362071356794117,1.90766327566076
"Citrate","Citrate",-5.95348566877963,1.50106159322534,0.560086338020168,0.560086338020168,2.95095460657481
"Cytidine","Cytidine",-4.50942172970549,1.54204411141759,0.337455509060051,0.337455509060051,1.77796854051982
"Ferulate","Ferulate",-8.06855701917194,0.570166962225437,0.972078143775798,0.972078143775798,5.12163622213293
"Fructose","Fructose",-6.90684434059106,-1.83844268973361,0.758986740118682,0.758986740118682,3.99891099825715
"Galactose","Galactose",-8.09296900780383,0.521839566348025,0.977155864920687,0.977155864920687,5.14838946281432
"Glucose","Glucose",-6.4607227566235,-3.00229466722389,0.754088834948166,0.754088834948166,3.97310516289864
"Glutamate","Glutamate",-4.44052461124117,-3.98421917893036,0.52881251598094,0.52881251598094,2.78618067272368
"Glutamine","Glutamine",-7.90251859839201,0.695638812779742,0.935038522431039,0.935038522431039,4.92648373614395
"Inosine","Inosine",-6.19404711822361,0.506294977528371,0.57383513654831,0.57383513654831,3.023393581778
"Malate","Malate",2.34153983114588,-5.31901056912693,0.50180780967593,0.50180780967593,2.64389964021061
"Maltose","Maltose",6.1989686800871,1.20918299218097,0.592656366179372,0.592656366179372,3.12255792575667
"myoInositol","myoInositol",-6.33603596469143,-2.35070486718256,0.678559969486304,0.678559969486304,3.57516249168136
"NADP","NADP",3.46460605235341,2.56263869191875,0.275913127904707,0.275913127904707,1.4537171513288
"Phenylalanine","Phenylalanine",-4.64262968373535,0.780025545215176,0.329278911843276,0.329278911843276,1.73488809812188
"Sucrose","Sucrose",-3.85567661607452,-1.45591081453816,0.252368519331587,0.252368519331587,1.32966650696842
"Threonine","Threonine",-7.92526991232054,0.436499224858922,0.936029833595654,0.936029833595654,4.93170670633478
"Thymidine","Thymidine",7.43572542446631,-0.118888937800449,0.821682133949671,0.821682133949671,4.32923732239241
"transAconitate","transAconitate",5.25188669556136,-4.75532927881452,0.745779898179253,0.745779898179253,3.92932745655316
"Trehalose","Trehalose",8.00561342959715,-0.678498614898797,0.959055592562703,0.959055592562703,5.05302366209892
"Tryptophan","Tryptophan",-7.87470768402916,0.569165285794058,0.926142685181772,0.926142685181772,4.8796137981932
"Tyrosine","Tyrosine",-7.92435850346312,0.713463831933515,0.940547313797127,0.940547313797127,4.95550817783249
"Uridine","Uridine",-7.79989173911097,-0.408713433327258,0.906387950216208,0.906387950216208,4.77553104846151
"Xylose","Xylose",-5.96151988523665,0.129188755406153,0.528279841240694,0.528279841240694,2.78337414295883
