"","name","xend","yend","coord","cos2","contrib"
"2Oxoisocaproate","2Oxoisocaproate",-6.04349628570796,1.50110148033956,0.476763012175176,0.476763012175176,2.58645342486018
"3Hydroxybutyrate","3Hydroxybutyrate",-6.75098340904302,-0.794474508393829,0.568112172596584,0.568112172596584,3.08202531864467
"3Hydroxyisovalerate","3Hydroxyisovalerate",0.321836288228104,-2.73082683312687,0.092962012269423,0.092962012269423,0.504321662704399
"4Hydroxybutyrate","4Hydroxybutyrate",-5.91802437183574,-3.29956403144694,0.564462645621208,0.564462645621208,3.06222652699446
"4Hydroxyphenylacetate","4Hydroxyphenylacetate",-6.75722667201153,-0.926469223744103,0.571941935067257,0.571941935067257,3.1028018931811
"Acetate","Acetate",-6.67440280217466,0.399487733791163,0.549673152538847,0.549673152538847,2.98199309013388
"Acetone","Acetone",-4.9125009246184,0.46345593473184,0.299350672037181,0.299350672037181,1.62398623876527
"Adenosine","Adenosine",-1.07661380875527,-4.43676171059403,0.256275266751289,0.256275266751289,1.39030089262101
"Alanine","Alanine",-7.59889517935408,-3.99372518784049,0.906052074642871,0.906052074642871,4.91535927015384
"Aspartate","Aspartate",-8.39424466190833,-1.46794415289798,0.892836908920737,0.892836908920737,4.84366660572888
"Betaine","Betaine",-5.44547391761391,1.8217765919038,0.405389658136026,0.405389658136026,2.1992508707944
"Choline","Choline",-0.445253752822513,-0.124825376611517,0.00262905637848674,0.00262905637848674,0.0142627085168869
"Cytidine","Cytidine",0.325019392671212,-5.00161558815507,0.308871132845031,0.308871132845031,1.67563501988687
"NADP","NADP",1.33534292932155,-0.217267055598395,0.0225040021612446,0.0225040021612446,0.122084876503854
"Formate","Formate",-5.76306329122162,-2.74935181777167,0.501287506720967,0.501287506720967,2.71949953223651
"Fructose","Fructose",-5.88130872113731,2.00173279880041,0.474544677581045,0.474544677581045,2.57441889415634
"Fumarate","Fumarate",-7.44835558682583,2.37375308619468,0.751377419316728,0.751377419316728,4.07624469584542
"Glucose","Glucose",-7.09480234954161,0.464576814986489,0.621534762371428,0.621534762371428,3.37184444630232
"Glutamate","Glutamate",-7.38124549450693,-3.66110336161183,0.83466041248454,0.83466041248454,4.52805739400068
"Glycine","Glycine",-2.04008779698806,-3.97001749610407,0.244952179059812,0.244952179059812,1.32887280740526
"Isoleucine","Isoleucine",-2.64931287248895,-5.41626626044652,0.446980298591308,0.446980298591308,2.42488132387193
"Lactate","Lactate",-7.42843471631645,1.40288836406894,0.702652958384769,0.702652958384769,3.81191305594542
"Leucine","Leucine",-4.69824079731314,-4.18199672913807,0.486419588647898,0.486419588647898,2.63884063748463
"Malate","Malate",-5.73207825526198,3.14518077559643,0.525595221842992,0.525595221842992,2.85136960483515
"Malonate","Malonate",-4.35936854594668,3.85185704929336,0.416072007961734,0.416072007961734,2.25720293416065
"Maltose","Maltose",1.35842378127747,-1.04487280644803,0.0361111712948558,0.0361111712948558,0.195904171016049
"Methanol","Methanol",-2.72179989238649,-4.98749475872768,0.396921421497886,0.396921421497886,2.15331043687669
"myoInositol","myoInositol",-5.25948596451643,3.04477029014739,0.454087021339444,0.454087021339444,2.4634355047166
"Nicotinate","Nicotinate",-5.46472524290744,0.585574598577646,0.371382616942834,0.371382616942834,2.0147616677369
"Oxypurinol","Oxypurinol",-0.81037256755306,1.27931439706778,0.0281966030037004,0.0281966030037004,0.152967404236358
"Phenylacetate","Phenylacetate",1.75841244606468,1.86721179624387,0.080882232904506,0.080882232904506,0.438788502807203
"Phenylalanine","Phenylalanine",-1.02109889173904,-6.63879108457635,0.554701131419702,0.554701131419702,3.00927002409145
"Pyruvate","Pyruvate",-6.60846358271938,0.02274626654566,0.536948683586138,0.536948683586138,2.91296247017847
"Succinate","Succinate",-8.06325919046266,1.66667692106497,0.833523103610426,0.833523103610426,4.52188745976196
"Sucrose","Sucrose",-3.71702402142556,1.68965282722136,0.204971437339692,0.204971437339692,1.11197610252317
"Thymidine","Thymidine",-0.0513916728042849,-3.43148325288722,0.14480641496655,0.14480641496655,0.78557907884503
"Thymine","Thymine",-5.40152814628251,2.35730528521914,0.42704521891132,0.42704521891132,2.31673292771611
"transAconitate","transAconitate",-7.19006830979629,3.30115862546222,0.769598848203875,0.769598848203875,4.17509648582802
"Trehalose","Trehalose",-6.19526929210524,1.21276876077411,0.489980284222871,0.489980284222871,2.65815751616353
"Tryptophan","Tryptophan",1.62976399583568,-1.61727405817562,0.0648153426966626,0.0648153426966626,0.351625148805949
"Uridine","Uridine",-3.55431809694943,3.56170594149615,0.311294838682659,0.311294838682659,1.68878369565344
"Valine","Valine",-3.03851480322376,-4.99327323746916,0.420061139985099,0.420061139985099,2.27884409322829
"bAlanine","bAlanine",-5.56255311837695,-0.527482028009848,0.383851105056886,0.383851105056886,2.0824035840808
