"","OTU","VB0889_004","VB0889_006","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_028","VB0889_030","VB0889_038","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_090"
"1","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_unclassified_unclassified_6466aa53adc18d74c66bfebb47d6c1fb",649,602,560,441,339,689,679,647,443,1228,637,595,582,772,510,476,1077,771,508,605,401,587,719,586
"2","Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_unclassified_unclassified_dedf8ada138f4e75f19bbb07eb30d65e",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"3","Bacteria_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_9c5de34c84842283b454d2772bee4134",0,2,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter_unclassified_7f55f6fcd3f33e97c72c92c9c200ba51",304,203,406,301,95,207,168,318,252,531,192,333,381,51,61,318,59,209,118,215,276,270,141,307
"5","Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_unclassified_unclassified_b15d46c3fd9f3bd3659eab08d4239205",223,275,274,336,307,293,318,206,237,220,256,311,213,217,174,249,187,331,270,301,265,350,371,229
"6","Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_80909a5b91f91a814a581087f46700ff",201,206,122,211,378,241,278,180,256,214,249,95,186,220,202,135,284,229,230,282,139,277,242,201
"7","Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales_Myxococcaceae_Corallococcus_exiguus_4cb288686955fe52f81301d76f353c2c",208,237,282,180,115,164,281,458,244,277,423,290,552,359,1251,133,182,245,204,191,248,362,241,233
"8","Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Balneimonas_unclassified_3a810b99a872ff07645c2fca2e3e4552",243,339,301,229,349,239,171,407,256,601,306,426,357,220,244,243,225,242,211,225,215,269,296,319
"9","Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_10aa0f26b210fbe3a30fe61801e9a075",180,209,136,242,210,210,225,117,222,243,209,170,145,240,94,142,365,189,200,209,162,218,272,200
"10","Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter_unclassified_0b04c9afd8aa284f2791a1513cc7ba8e",125,230,129,156,248,196,170,197,225,104,244,99,176,147,130,231,122,237,270,184,216,228,67,388
"11","Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Balneimonas_unclassified_c097de103926df5150eba87ad800905a",197,224,249,162,200,196,178,351,237,463,269,381,278,187,302,220,232,189,178,196,245,294,152,230
"12","Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_830fc971dc2fe4c97ba50483d6ec374f",197,215,197,268,215,229,225,154,147,151,178,203,144,229,172,217,239,198,252,293,215,293,334,210
"13","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_unclassified_unclassified_fad7959733a200344fe5a2a9f6252f81",230,268,275,174,320,139,127,187,240,243,276,220,216,92,143,244,78,179,127,124,306,264,92,319
"14","Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Ammoniphilus_unclassified_9279403ab31c9b2574b09cef10f08586",165,314,211,174,137,113,185,156,76,420,110,166,210,217,97,326,212,160,113,214,210,105,181,143
"15","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter_unclassified_6b780e361cfc5f06def718518324bdcb",133,113,192,58,79,54,57,122,128,224,129,108,110,0,98,176,0,93,18,56,139,141,66,205
"16","Bacteria_Gemmatimonadetes_Gemm-1_unclassified_unclassified_unclassified_unclassified_4f52ef70709f6baf6ff9e9409f25d251",177,138,106,155,193,204,189,153,186,110,174,260,102,160,137,133,136,194,220,164,128,154,183,132
"17","Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_gargensis_33388eb9cfbb1d2c8721884bf9dc7e78",152,194,149,166,229,124,187,102,165,305,154,135,134,113,123,172,161,123,116,102,176,299,129,152
"18","Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Sinobacteraceae_Steroidobacter_unclassified_8cad136a54d80ba5c2c17fd83897a23b",256,149,147,202,220,167,209,192,208,213,193,254,212,195,142,157,384,197,262,173,155,198,201,158
"19","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_badius_d15527e43a1232a9618576ad5b7077d7",183,192,139,185,145,138,169,163,160,250,155,215,129,151,198,84,203,193,146,186,116,180,134,117
"20","Bacteria_Firmicutes_Bacilli_Bacillales_unclassified_unclassified_unclassified_6898520892f36d2f9597b1c708e294f0",136,252,115,129,151,148,177,177,128,379,189,214,172,178,132,80,222,176,88,221,148,143,139,128
"21","Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_gargensis_a56b903521b8ab33a7878b35582803a8",116,177,143,133,235,131,151,87,156,240,148,140,127,101,114,168,159,113,122,91,127,271,158,124
"22","Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_unclassified_unclassified_d5852b2cfe9a840634e4d1235423c997",128,187,133,179,164,210,146,153,154,117,129,110,173,203,136,132,271,123,202,275,154,181,245,148
"23","Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae_Alicyclobacillus_unclassified_76c0b4611b73a753095a82e2c90c4819",9,0,0,39,0,170,0,39,63,0,407,71,0,232,0,0,512,325,230,216,0,0,497,14
