"","OTU","VB0889_004","VB0889_006","VB0889_008","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_020","VB0889_021","VB0889_023","VB0889_024","VB0889_025","VB0889_028","VB0889_030","VB0889_031","VB0889_032","VB0889_038","VB0889_042","VB0889_044","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_057","VB0889_060","VB0889_068","VB0889_070","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_090","VB0889_091","VB0889_097","VB0889_099","VB0889_101","VB0889_102","VB0889_107","VB0889_114","VB0889_117","VB0889_119","VB0889_126","VB0889_127","VB0889_128","VB0889_131","VB0889_136","VB0889_137"
"1","Fungi_Ascomycota_Leotiomycetes_Thelebolales_Pseudeurotiaceae_Pseudeurotium_Pseudeurotium_hygrophilum_cf005d300eaf8f03577c045c5da8a043",3,3,0,0,3,5,3,7,4,9,4,11,0,0,7,3,0,5,5,5,0,1,0,0,0,0,0,4,0,1,6,5,4,6,6,0,1,4,11,0,4,3,0,4,1,0,6,7,0,2,0,9,0,5,1,18,3,2
"2","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_ruber_cc0d1aa8c0fbfb0d12569d738348e716",917,397,1039,529,721,1058,680,824,1244,674,1052,495,638,270,714,400,754,3058,2135,1106,285,1247,448,909,211,328,566,1203,549,642,442,1155,741,563,494,380,1514,481,372,306,1423,328,633,934,486,339,272,548,536,736,291,1120,235,285,158,308,578,842
"3","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_215338aaf2fb5b1c1466cb60b729950e",343,1096,609,2395,298,110,847,354,75,1340,1011,896,739,716,351,1137,600,421,580,201,1375,494,645,216,172,480,1639,297,986,1315,322,293,544,131,680,770,302,145,1276,1164,1091,955,471,607,596,461,989,818,1776,1286,244,128,926,527,219,743,73,388
"4","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_b373d0b28cdca8bdb8fa8e8fab8c494e",623,365,550,182,389,0,0,700,227,196,137,297,228,473,0,761,1086,292,463,951,214,518,312,96,165,187,304,0,481,408,944,289,202,0,616,829,329,441,501,295,517,0,271,549,290,274,0,0,57,26,68,96,1258,174,0,23,189,223
"5","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_32db07028d938bc49b91054972d504d0",98,102,81,225,175,239,104,91,152,548,308,436,526,193,574,253,10,159,63,261,111,38,189,89,293,198,589,164,696,256,191,76,265,249,205,30,190,54,48,717,98,99,357,448,761,128,184,1075,276,398,69,183,424,930,207,277,110,155
"6","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_66366195ccb0e50fb1681ebf6da1d0ec",78,312,163,45,95,100,313,77,206,231,144,130,393,320,233,71,42,132,130,170,215,50,222,524,66,432,418,144,307,249,240,259,563,683,152,44,464,107,62,309,129,63,232,314,278,66,112,467,187,204,160,275,540,205,419,147,93,130
"7","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_0d508cf0069dec81f9e6fd6bf8ec542c",242,252,309,118,177,354,268,148,346,260,277,119,245,88,289,179,161,490,174,250,200,310,169,396,83,142,258,138,159,256,122,314,375,373,169,268,200,84,96,163,96,98,202,266,157,114,275,308,142,154,468,267,171,166,752,193,175,198
"8","Fungi_Ascomycota_Pezizomycetes_Pezizales_Pyronemataceae_Trichophaeopsis_Trichophaeopsis_sp_281a17fe0deceafed1b225151fb585f6",87,85,133,304,72,366,225,11,40,64,118,312,24,139,909,279,56,201,190,8,23,132,63,135,14,297,85,98,41,15,0,44,71,36,141,3,107,104,299,28,189,177,99,243,230,84,360,34,290,27,110,219,22,1310,50,84,96,201
"9","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_40ea8008fbdbba04d7b6996dad4cf0f3",50,216,132,101,25,0,66,1588,101,131,62,49,100,104,36,26,66,38,28,73,42,54,102,76,497,86,29,301,16,63,28,614,137,938,32,79,64,2858,91,58,12,638,223,37,125,22,14,101,6,7,15,200,83,3,713,17,19,142
"10","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_unclassified_3ecc0270390f6c66a29c6ce70e22993a",83,67,110,67,75,167,99,110,225,72,51,57,44,48,72,268,237,30,105,245,30,368,46,275,46,78,76,247,79,92,59,73,134,81,52,78,95,61,37,21,156,19,22,72,89,358,59,65,53,142,182,519,89,123,178,58,92,76
