"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_unclassified_unclassified_6466aa53adc18d74c66bfebb47d6c1fb",643.923142502803,-0.0956315850797447,0.167249323682443,-0.57179056377723,0.56746387085339,1
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_unclassified_unclassified_dedf8ada138f4e75f19bbb07eb30d65e",0.998905211227911,1.44454522098661,3.10124197204371,0.465795714751873,0.641361732719281,1
"Bacteria_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_9c5de34c84842283b454d2772bee4134",1.14923105986613,3.21973227988613,2.92005565131241,1.10262702645377,0.270189168552321,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter_unclassified_7f55f6fcd3f33e97c72c92c9c200ba51",366.040662430671,0.273683668095137,0.376093878995989,0.72770040508438,0.466797002323865,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_unclassified_unclassified_b15d46c3fd9f3bd3659eab08d4239205",252.788054769934,0.0649955478814184,0.102640478135126,0.633235045883668,0.52658016295051,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_80909a5b91f91a814a581087f46700ff",214.98726947048,-0.173554678405534,0.151120258856742,-1.14845408364513,0.250781157829711,1
"Bacteria_Proteobacteria_Betaproteobacteria_unclassified_unclassified_unclassified_unclassified_17c46fab508148b368a623fede4b019e",0,0,0,0,1,NA
"Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales_Myxococcaceae_Corallococcus_exiguus_4cb288686955fe52f81301d76f353c2c",278.58789042153,-0.490482573141483,0.324299123832841,-1.51243878597187,0.130422274189058,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Balneimonas_unclassified_3a810b99a872ff07645c2fca2e3e4552",300.162951351086,0.147376909316613,0.197546050980466,0.746038245690802,0.455644311926965,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_10aa0f26b210fbe3a30fe61801e9a075",188.857136628806,-0.19139958984209,0.151577676831035,-1.2627162115398,0.20669118579971,1
"Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter_unclassified_0b04c9afd8aa284f2791a1513cc7ba8e",198.562271253609,0.0115302398651794,0.184683914904909,0.0624322907120317,0.950218580838014,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Balneimonas_unclassified_c097de103926df5150eba87ad800905a",260.05682219225,0.131333121994521,0.218199305476451,0.601895233844798,0.547243877040807,1
"Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_830fc971dc2fe4c97ba50483d6ec374f",178.507262845162,0.0174529188761741,0.210450851849276,0.0829310916197849,0.933906331648454,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_unclassified_unclassified_fad7959733a200344fe5a2a9f6252f81",249.120020294181,0.356508236892882,0.236713917556757,1.50607214215616,0.132048655081457,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Ammoniphilus_unclassified_9279403ab31c9b2574b09cef10f08586",181.722383374953,0.101700009126929,0.208382055957386,0.488045905198897,0.625517325996591,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter_unclassified_6b780e361cfc5f06def718518324bdcb",266.629455334351,0.215023584237553,0.600017739209687,0.358362045296813,0.720072391495066,1
"Bacteria_Gemmatimonadetes_Gemm-1_unclassified_unclassified_unclassified_unclassified_4f52ef70709f6baf6ff9e9409f25d251",173.201159610179,0.0422258162016962,0.152953067142346,0.27607041160148,0.782493985987541,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_gargensis_33388eb9cfbb1d2c8721884bf9dc7e78",154.323124970383,0.0455643671798533,0.149498542216942,0.304781347725341,0.760532688430047,1
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Sinobacteraceae_Steroidobacter_unclassified_8cad136a54d80ba5c2c17fd83897a23b",170.640431072924,-0.311498388687872,0.173217836396279,-1.79830434999339,0.0721287907857702,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_badius_d15527e43a1232a9618576ad5b7077d7",164.528948048195,-0.192696351506239,0.174682917507153,-1.10312075305445,0.269974729584567,1
"Bacteria_Firmicutes_Bacilli_Bacillales_unclassified_unclassified_unclassified_6898520892f36d2f9597b1c708e294f0",171.922644659187,-0.14908280785717,0.236782443688847,-0.629619348185621,0.528943661612339,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_gargensis_a56b903521b8ab33a7878b35582803a8",137.560484096398,-0.0314787747222072,0.132462110254513,-0.237643614930517,0.812157519562298,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_unclassified_unclassified_d5852b2cfe9a840634e4d1235423c997",138.924990856543,-0.193073793160239,0.280238167762074,-0.688963229748781,0.490846407269839,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae_Alicyclobacillus_unclassified_76c0b4611b73a753095a82e2c90c4819",80.4825638402378,-1.09646835017539,1.44713520804651,-0.757682035568402,0.448641355992334,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Ammoniphilus_unclassified_ddbc32632c9632d1dd746f28721f3a9f",158.755648588934,-0.0796132051099881,0.256635274574021,-0.310219260552296,0.75639422474272,1
"Bacteria_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophobacteraceae_unclassified_unclassified_4348f9aa3de7e33e5591b394f28572cc",118.28892097685,-0.0721169598565222,0.146438668655458,-0.492472108075494,0.622385634858045,1
"Bacteria_Actinobacteria_Acidimicrobiia_Acidimicrobiales_AKIW874_unclassified_unclassified_922edc6d7de65fa8318a230f1d9fdd6c",115.378992611703,-0.204696671528499,0.206416076893943,-0.9916701964725,0.321358434148128,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_unclassified_unclassified_a5120033e56dff33eb70079fee882a45",148.267922402193,-0.277256045095934,0.257029884700716,-1.07869186269437,0.28072511439159,1
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Sinobacteraceae_Steroidobacter_unclassified_4c8ff0ea98d2c0ebb486e33bd96c61f9",104.566398587307,0.081240051107621,0.189843852964737,0.427930901311359,0.668701428543417,1
"Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter_unclassified_c471b243ae160f3817bd392932447fce",127.24291762304,0.056216523047245,0.172696139707648,0.325522754257346,0.744785464161885,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_flexus_225c214be44851578ee9fbe5f47a2c6f",142.110376935082,-0.236122103279828,0.239768524154496,-0.984791911751025,0.32472629439187,1
"Bacteria_Actinobacteria_Actinobacteria_Micrococcales_unclassified_unclassified_unclassified_08f626e184165aaea3e4898bd321586f",108.594920311869,-0.0635344588665125,0.172551176378103,-0.368206466047455,0.712719289307634,1
"Bacteria_Actinobacteria_Thermoleophilia_Gaiellales_Gaiellaceae_unclassified_unclassified_02557bc67a4a5b25f2a65ac392f38af3",105.098257329392,-0.0597830064689022,0.125874410917412,-0.47494169810357,0.634828529394718,1
"Bacteria_Chloroflexi_Ellin6529_unclassified_unclassified_unclassified_unclassified_b430752b27d747ec900255d78d865669",112.922890416647,0.059795448357701,0.153992758422173,0.388300391332502,0.697793747696009,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_endophyticus_3f67b844e7c311462ac34b66a7faab31",117.969051407961,0.264371257438352,0.289800373147036,0.912252991835238,0.361635553953991,1
"Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter_unclassified_e83a76f08c138356547feff3cac7a69b",111.325604493833,0.0154139350579153,0.149987115573639,0.10276839446484,0.918146789978932,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_muralis_8adb5559e135233565acfea1287280bf",107.097837733564,-0.196323821697302,0.1673428709209,-1.17318306191903,0.24072240295622,1
"Bacteria_Chloroflexi_Thermomicrobia_JG30-KF-CM45_unclassified_unclassified_unclassified_cdb9c0ee3bba4c3d8b9292eb575bd9e3",109.231641679054,0.0497513023166974,0.156646001475365,0.31760339777662,0.750785796447045,1
"Bacteria_Gemmatimonadetes_Gemm-1_unclassified_unclassified_unclassified_unclassified_ef3fdbe1dcde754d91130cde6a4b4d61",97.734734447794,0.0631449393907724,0.13090814163782,0.482360673681196,0.629549752691606,1
"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_unclassified_unclassified_125358a86cc2e5136055d5376d193488",111.793650044175,0.125496473058497,0.231547965191531,0.541989099125484,0.587826015411264,1
"Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_ec166513706852541cc5bf82ec2cb3cd",102.062634715142,-0.0358951404863805,0.143823804828344,-0.249577185982681,0.802914343306016,1
"Bacteria_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophobacteraceae_unclassified_unclassified_5ac01de94ebfe35e4bf63d83d5f9558f",99.5850512227245,-0.00832998779960577,0.136446731217123,-0.0610493760114382,0.951319885987958,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_foraminis_e86a52b004b2207a19bd35a2a38eca53",98.5027582370566,-0.205322949018776,0.237585886718716,-0.86420515904576,0.387475198655636,1
"Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_45b16c33d796c3a44f87ee697aa3b7bc",94.1218154425227,0.141145809300754,0.184613433069695,0.764547882317259,0.444540813807572,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_badius_aa4fb4dd293807c66aa6b76de0ac805d",99.6895592752067,-0.394419442901236,0.208269569681712,-1.89379295066489,0.0582524977123587,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptosporangiaceae_unclassified_unclassified_80d77ec7342e13ba1261e58a23128ef7",63.548413187926,0.725404202270513,1.40228270874452,0.517302393980153,0.60494508315235,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_unclassified_unclassified_92e162db2b39cff44b60a6d7ee7c0ffb",131.161256097003,0.103251635400859,0.353489392614269,0.292092598980837,0.770215825226205,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Ammoniphilus_unclassified_7452a179b9a24c364642eeaade4d266f",101.797522649537,-0.0855856773185866,0.190677813316444,-0.448849689588955,0.653540090941112,1
"Bacteria_Gemmatimonadetes_Gemm-1_unclassified_unclassified_unclassified_unclassified_94507b25ef5fcb04abf95487b0cc9f95",80.7922029549074,-0.0230472504632815,0.127554062836779,-0.180686133790762,0.856613943273322,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptomycetaceae_Streptomyces_mirabilis_e81a04a50f341415b6b8dbb1f94c559c",78.5539064261106,-0.344565158450145,0.207295107773357,-1.66219628698073,0.0964734242724558,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Bradyrhizobium_unclassified_5c78314ff92e6fec9aa07acc1fa0dc24",50.3537136229457,-0.118778724610144,0.592125977581767,-0.200597050470973,0.841013664578147,1
"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_unclassified_unclassified_5224eebaf141efa02a382cd2c2b6e961",101.362151506428,0.0453204578965912,0.205939442118653,0.2200669159358,0.825819040453358,1
"Bacteria_Gemmatimonadetes_Gemm-1_unclassified_unclassified_unclassified_unclassified_f2e9c4d09183997ce7cdab5a93686b4c",86.9807412048026,0.167203746419641,0.177835235859741,0.940217193804691,0.347106164097535,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardioidaceae_unclassified_unclassified_f8d361804ee551d0a443204beee8ece3",103.353291930125,0.15214633369566,0.215643338486351,0.705546179926582,0.480470403940582,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_unclassified_5bf789b820182b543e55cefbf0c1c039",69.057684551436,-0.121353397685542,0.181122229016521,-0.670008305134503,0.502852495895738,1
"Bacteria_Actinobacteria_Thermoleophilia_Solirubrobacterales_Solirubrobacteraceae_unclassified_unclassified_97fba611c33148ca4f36e745cd306e43",81.6290895295283,-0.0276915070075976,0.192388330451189,-0.143935481651385,0.88555141709872,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_unclassified_0be372f1e48dc22c1b15de5fefefc2e8",75.6464460853005,-0.186744526250846,0.261151144218795,-0.715082167491441,0.474558272219346,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_unclassified_unclassified_c91a902d0278a781bd79527b5e1f5abe",79.7950983969298,0.27713508049786,0.1415882902807,1.95733051051353,0.050308622585116,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Microbispora_rosea_b0bc1e2c61b1baed3229bf8437f3a6aa",115.965106079562,0.460671336803212,0.479062784635119,0.961609525052307,0.336245785044684,1
"Bacteria_Firmicutes_Bacilli_Bacillales_unclassified_unclassified_unclassified_eb175b48283334e153cd542b1756a647",60.6403256848751,-0.314139203459727,0.204670995746434,-1.53484963667697,0.124820766970468,1
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Sinobacteraceae_Steroidobacter_unclassified_50bbce82a8539e13e9319515233bb97e",71.6129036597166,-0.148256951245371,0.516043190279829,-0.287295625711052,0.773885971727552,1
"Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_mb2424_unclassified_unclassified_b1e6116ad8bbc766c2da02a9c39c3bbe",77.6704633207117,-0.111564459864118,0.174283215752184,-0.640133126891307,0.522086054015519,1
"Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_e08d7621409c9cc29905077ac3d781b7",68.9331364006576,0.176161472155386,0.196708354143494,0.895546469911901,0.370495036285261,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_unclassified_unclassified_4bce9cf434b6776a9276ee26f1dff50d",63.683259262379,0.0373546258691085,0.526196535652492,0.0709898741974576,0.94340581437863,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Skermanella_unclassified_7042264aa1aba88e69ea63406e104976",82.3891118836488,0.0612425798784335,0.155638131986123,0.393493413837003,0.693955087495294,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptosporangiaceae_Nonomuraea_unclassified_aeedb465a094d4934e5c357dc5d273e0",54.4145843353477,-0.34613642030968,0.500050310504829,-0.692203190435451,0.488809735419849,1
"Bacteria_Actinobacteria_Thermoleophilia_Solirubrobacterales_unclassified_unclassified_unclassified_e3c8ba9699934b10ac2932d8be1c01cc",60.5190268565807,0.00147759194534729,0.161540634430221,0.00914687472015313,0.992701951646922,1
"Bacteria_Firmicutes_Bacilli_Bacillales_unclassified_unclassified_unclassified_82bd79dc4db9e3681c376c90b1604fa8",65.8596452217798,-0.0729280720430603,0.219014160123909,-0.332983365102059,0.739146840047169,1
"Bacteria_Proteobacteria_Betaproteobacteria_MND1_unclassified_unclassified_unclassified_c2f1571b81963086f01b86e0c22bc7c2",55.9005471619207,-0.023747637817274,0.255355942431739,-0.0929981796825511,0.925905007359578,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptomycetaceae_Streptomyces_mashuensis_9b86760f1d24e78119093f5f08f45f71",67.7901132088944,-0.0397932143307815,0.279380871627014,-0.142433567835336,0.886737549372241,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_unclassified_unclassified_9bea1ddf0b2ccfd5c8ba7b94c12fcb67",72.3530528023699,-0.0918015143654358,0.243753542241353,-0.376616124308619,0.706458903203219,1
"Bacteria_Actinobacteria_Thermoleophilia_Solirubrobacterales_unclassified_unclassified_unclassified_ce8486ede132c09704659e150dc9feb2",60.8726295168575,-0.0637545547029619,0.153711582791647,-0.414767407537401,0.678312181096537,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Kaistobacter_unclassified_f922bb836523db0b8e265a464de54690",67.7357634499695,-0.218458699929685,0.22105469355439,-0.988256328861588,0.323027127426783,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_0579902dc61569f2a5cc9360f2931239",61.0227380519222,-0.200166364347422,0.254309337367764,-0.787097974534675,0.431224514992998,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_Geodermatophilus_unclassified_833dfe956dff1abbb2d410875b168bfb",78.1718647158052,0.296238119230149,0.291354403265996,1.01676211483131,0.30926660869957,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_unclassified_unclassified_6effc8850eab0213f05d414db4cdd367",62.5790181949255,0.0487605417393987,0.173705742178293,0.280707713676791,0.778934591888359,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_e1447147381f04271db2d9dad81e4e8b",60.2221323414027,-0.263949713938193,0.195796231305224,-1.34808373061444,0.177631453575576,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Balneimonas_unclassified_cf6ffedaff8fc0e8dd1eabb619b35964",89.0500774357571,-0.00130260321350504,0.344962666664653,-0.0037760701066569,0.996987139121307,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptomycetaceae_Streptomyces_unclassified_8f7351b88293451571e8fdb902c26462",59.6885340486618,-0.299830752790772,0.239992537384389,-1.24933365036489,0.211543065021869,1
"Bacteria_Actinobacteria_Thermoleophilia_Solirubrobacterales_unclassified_unclassified_unclassified_ce943af284cfba3199378752da2d0c9d",55.8318341498689,0.0988933375596875,0.1354518972512,0.730099316189618,0.465329479302899,1
"Bacteria_Nitrospirae_Nitrospira_Nitrospirales_0319-6A21_unclassified_unclassified_7158b5b009219b1fc3e89f0faeedd765",51.3795121984349,-0.398912015111995,0.231416768543758,-1.72378180553743,0.0847472403895263,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_unclassified_unclassified_unclassified_12617f123ff3d361edc2e96e1c636403",53.8612370986194,0.00698836278348186,0.201510198021983,0.0346799459882396,0.972334952090276,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_unclassified_0bd0dd1f9bd5e9803ddd954a3f20f9b8",49.8635960084286,0.0477684835838297,0.242596829415543,0.196904814044405,0.843902026369948,1
"Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonadales_Nitrosomonadaceae_Nitrosovibrio_tenuis_95191e9b05c9c85dad75ba3ac51142c7",66.8100652104641,-0.197484794815445,0.212289507107742,-0.930261686062594,0.352235610115884,1
"Bacteria_Actinobacteria_Thermoleophilia_Solirubrobacterales_Solirubrobacteraceae_Solirubrobacter_unclassified_4807e7d5ba96669a68d4c064e32816cc",62.4111178640389,-0.0605779934055743,0.225688117357507,-0.268414633942,0.788380176421603,1
"Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_c9b182bfcf8794bbf31eb717ec80215e",54.4865574055362,0.0921755444294949,0.167555003058798,0.550121110959301,0.582236307824939,1
"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_unclassified_unclassified_6079a82735175e49e9229a37d931d9a1",70.0193948472422,-0.179035102962423,0.187304674153977,-0.955849627197474,0.33914821144392,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_unclassified_unclassified_192fc0ee1e848581b13c1678a456b792",45.8838328269977,-0.520537158734896,0.324086398667671,-1.6061678641092,0.108237032123421,1
"Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_6eac50f6e24e6cfa543b8f0c9779fe85",43.5126503067495,0.0979415965832351,0.307024754048204,0.319002280082791,0.749724783788342,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Skermanella_unclassified_690860d17f66dbbadd695c1a458bbda0",67.2073257128639,0.209376132988697,0.173719029643501,1.20525732510923,0.2281039784753,1
"Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales_Cystobacteraceae_unclassified_unclassified_cd08c93bf94181773b29976b4a605ef3",68.3710868887429,-0.0607842837006777,0.236512671455339,-0.257002228788218,0.79717705252586,1
"Bacteria_Actinobacteria_Thermoleophilia_Gaiellales_Gaiellaceae_unclassified_unclassified_d4ace7cd52ceb5b9b3522a1d9c258546",46.5582060507051,0.0340391574340329,0.239591549488667,0.142071611067581,0.8870234417736,1
"Bacteria_Actinobacteria_MB-A2-108_0319-7L14_unclassified_unclassified_unclassified_e0277f1cd890fa1a8142761c7a37c763",40.4202995018968,-0.279102477116205,0.328976817159764,-0.848395578526927,0.396217704222777,1
"Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_28608f119385563a4d37b2a91ebb5dcc",43.6744082527762,0.260576867310298,0.23980954542471,1.08659922960451,0.277213965681776,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_unclassified_45e4be8e16753ffd4bb4872bf6a35f37",55.5540617860364,-0.0967114725328509,0.337569766550452,-0.286493288546315,0.774500333114077,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptosporangiaceae_Nonomuraea_unclassified_7df01684675f00936e723950ba66e742",50.4559455136591,-0.171451751211357,0.616344630377205,-0.278175135729548,0.780877920693345,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Pseudonocardiaceae_Pseudonocardia_unclassified_f8221ed9acb45ca394c490f4469c2fb5",54.392561860644,0.0859612430481443,0.179048152452197,0.480101256957089,0.631155394498302,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Hyphomicrobiaceae_Hyphomicrobium_unclassified_16925ce4059a8537532e31151fa382b7",45.4219577287298,0.0885012744505272,0.172855423058063,0.511995937904704,0.608653852500589,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Skermanella_unclassified_6aaf223f32888773345ba6e476001736",59.0522912746249,-0.238825448875357,0.141801357053362,-1.68422541108322,0.0921381140809593,1
"Bacteria_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophobacteraceae_unclassified_unclassified_50cf152fd85f442c1c39520c073c0644",37.268995395993,-0.0929698090542991,0.21567143486874,-0.431071500548422,0.66641638222922,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_unclassified_unclassified_aaf117ec26cb1006d4d9fee7d51ee770",61.0698544697723,0.470833680375579,0.291912158302069,1.61292932474695,0.106759863333625,1
"Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales_Cystobacteraceae_unclassified_unclassified_c4780ad82765d243dbc9c2df943cb884",46.1106689420391,0.019933197451543,0.238865624495752,0.0834494184486454,0.933494195268444,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Rubellimicrobium_unclassified_2f6e11db2cd65e88a3bbb0a667c2a1e9",68.6118090990992,0.209725554128417,0.240840360303832,0.870807342522811,0.383859355470786,1
"Bacteria_Proteobacteria_Gammaproteobacteria_Thiotrichales_Piscirickettsiaceae_unclassified_unclassified_ff797e4983963f4cb563607a7bca230d",41.6244461169094,-0.480789737578173,0.337316931376755,-1.42533532371422,0.154060293925775,1
