"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_unclassified_unclassified_6466aa53adc18d74c66bfebb47d6c1fb",634.723892654556,-0.104587715327951,0.166762387743138,-0.627166093885907,0.530550366163131,1
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_unclassified_unclassified_dedf8ada138f4e75f19bbb07eb30d65e",1.58114945163742,2.00885176433822,2.9096905254916,0.690400489927986,0.489942368727128,1
"Bacteria_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_9c5de34c84842283b454d2772bee4134",1.02112516226932,3.4958262095843,2.90702143499189,1.20254572859524,0.229152160148153,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter_unclassified_7f55f6fcd3f33e97c72c92c9c200ba51",363.023725208224,0.311648607763556,0.378240561437963,0.823942854195109,0.40997202905179,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_unclassified_unclassified_b15d46c3fd9f3bd3659eab08d4239205",252.605339249567,0.116355652869499,0.108419982731589,1.0731937963646,0.283184173532472,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_80909a5b91f91a814a581087f46700ff",213.526117330381,-0.165254597149592,0.15554138473853,-1.06244776865906,0.288032457789165,1
"Bacteria_Proteobacteria_Betaproteobacteria_unclassified_unclassified_unclassified_unclassified_17c46fab508148b368a623fede4b019e",0.370358134081595,2.42820023246902,4.56387821187007,0.532047552485861,0.594693061092215,1
"Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales_Myxococcaceae_Corallococcus_exiguus_4cb288686955fe52f81301d76f353c2c",279.404716633413,-0.487571042861717,0.320542953167874,-1.52107865121704,0.128240101180363,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Balneimonas_unclassified_3a810b99a872ff07645c2fca2e3e4552",295.155011861128,0.0701574462992023,0.193176144194683,0.363178624315525,0.716471454391243,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_10aa0f26b210fbe3a30fe61801e9a075",190.786228714452,-0.157745121560006,0.15242688888471,-1.0348903839356,0.300720105938012,1
"Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter_unclassified_0b04c9afd8aa284f2791a1513cc7ba8e",198.138427148322,0.0461343324170143,0.184396184490796,0.250191361303992,0.802439365544776,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Balneimonas_unclassified_c097de103926df5150eba87ad800905a",262.272461870332,0.109138678190318,0.211746721699689,0.515420863729379,0.606258956176377,1
"Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_830fc971dc2fe4c97ba50483d6ec374f",177.440683994557,0.0777735213935145,0.204801383906024,0.379750956317766,0.704130290955216,1
