"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_unclassified_unclassified_6466aa53adc18d74c66bfebb47d6c1fb",578.689497849049,0.0885376933386289,0.183298979812405,0.483023383050148,0.629079133445346,1
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_unclassified_unclassified_dedf8ada138f4e75f19bbb07eb30d65e",0.523805860831796,-0.922869155518702,4.29080968541607,-0.215080421454119,0.829704618118437,1
"Bacteria_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_9c5de34c84842283b454d2772bee4134",0.277127076915992,0.830521309053707,4.29080968541832,0.193558178978693,0.846521847155302,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter_unclassified_7f55f6fcd3f33e97c72c92c9c200ba51",172.3796991774,0.159333971890251,0.525384915453622,0.303270929947962,0.761683398151213,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_unclassified_unclassified_b15d46c3fd9f3bd3659eab08d4239205",256.574246293698,0.0302835185451636,0.136347358107394,0.222105649610833,0.824231639944873,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_80909a5b91f91a814a581087f46700ff",248.932051404634,-0.0461427942450875,0.179664009462491,-0.25682825616068,0.797311356258858,1
"Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales_Myxococcaceae_Corallococcus_exiguus_4cb288686955fe52f81301d76f353c2c",231.847263371657,-0.755362347065415,0.446319537638466,-1.69242500801586,0.0905649674721485,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Balneimonas_unclassified_3a810b99a872ff07645c2fca2e3e4552",200.384485560798,0.0207322036255145,0.447180948112396,0.0463620011385271,0.963021722626132,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_10aa0f26b210fbe3a30fe61801e9a075",220.243763314621,-0.00364290034505618,0.130795431638223,-0.0278518928331715,0.97778027749965,1
"Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter_unclassified_0b04c9afd8aa284f2791a1513cc7ba8e",185.441524794134,0.382991073781514,0.251152448110283,1.52493466284406,0.127275395078583,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Balneimonas_unclassified_c097de103926df5150eba87ad800905a",178.333731379557,-0.0766240925327858,0.356136536722441,-0.215153697056654,0.829647489871769,1
"Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_830fc971dc2fe4c97ba50483d6ec374f",211.629175236525,0.0875154870305469,0.130093270243679,0.672713406824355,0.501129636611281,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_unclassified_unclassified_fad7959733a200344fe5a2a9f6252f81",152.995620032702,-0.0394129117822774,0.401697537343486,-0.0981158909833594,0.92184026923031,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Ammoniphilus_unclassified_9279403ab31c9b2574b09cef10f08586",190.710334259386,-0.205685875727459,0.24838865144065,-0.828080810191951,0.407624736419664,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter_unclassified_6b780e361cfc5f06def718518324bdcb",72.4344288188826,0.216689287971285,1.04502276213424,0.207353653741229,0.83573367490872,1
"Bacteria_Gemmatimonadetes_Gemm-1_unclassified_unclassified_unclassified_unclassified_4f52ef70709f6baf6ff9e9409f25d251",172.785988785564,0.025761567516681,0.157460580043043,0.163606456356499,0.870040961760421,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_gargensis_33388eb9cfbb1d2c8721884bf9dc7e78",175.160760389753,-0.126369469292255,0.162317743082345,-0.778531458684386,0.436255768308598,1
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Sinobacteraceae_Steroidobacter_unclassified_8cad136a54d80ba5c2c17fd83897a23b",184.803285351637,-0.198034951149154,0.169775180916004,-1.16645407226591,0.243430907379225,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_badius_d15527e43a1232a9618576ad5b7077d7",166.051365083307,0.027023844900239,0.170120233679982,0.158851444743924,0.87378591631031,1
"Bacteria_Firmicutes_Bacilli_Bacillales_unclassified_unclassified_unclassified_6898520892f36d2f9597b1c708e294f0",163.54715184013,-0.00455975442901768,0.226175965763698,-0.0201602076225091,0.983915571145849,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_gargensis_a56b903521b8ab33a7878b35582803a8",159.30767238717,-0.0602287855560838,0.139659487278325,-0.431254522910103,0.666283313438864,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_unclassified_unclassified_d5852b2cfe9a840634e4d1235423c997",164.158567441156,0.0714061815745872,0.18617367449403,0.383546072067654,0.70131491656383,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae_Alicyclobacillus_unclassified_76c0b4611b73a753095a82e2c90c4819",190.918505175542,-0.872195375189254,1.3058789068266,-0.667899121909218,0.504197987949059,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Ammoniphilus_unclassified_ddbc32632c9632d1dd746f28721f3a9f",133.349496791642,-0.0627202216750985,0.272190180257869,-0.230427936877364,0.817759254671249,1
"Bacteria_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophobacteraceae_unclassified_unclassified_4348f9aa3de7e33e5591b394f28572cc",133.976601571399,0.0616494059676734,0.14146425554523,0.435794934416929,0.662985519462715,1
"Bacteria_Actinobacteria_Acidimicrobiia_Acidimicrobiales_AKIW874_unclassified_unclassified_922edc6d7de65fa8318a230f1d9fdd6c",127.201112490267,0.0207049686435195,0.24104269064229,0.0858975171093068,0.931547885277115,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_unclassified_unclassified_a5120033e56dff33eb70079fee882a45",124.746187424519,-0.463059419812313,0.274354163905023,-1.68781626355274,0.0914465046325418,1
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Sinobacteraceae_Steroidobacter_unclassified_4c8ff0ea98d2c0ebb486e33bd96c61f9",150.233489552845,0.25573917916635,0.268000543743986,0.954248732460225,0.339957752211055,1
"Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter_unclassified_c471b243ae160f3817bd392932447fce",128.31872730344,0.101662276667322,0.19266410795493,0.527665883108359,0.597731256701061,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_flexus_225c214be44851578ee9fbe5f47a2c6f",120.85295932065,-0.185889434265042,0.244742775276704,-0.759529812697747,0.447535687107096,1
"Bacteria_Actinobacteria_Actinobacteria_Micrococcales_unclassified_unclassified_unclassified_08f626e184165aaea3e4898bd321586f",119.094454829698,0.137225340820668,0.200029951229942,0.686023967795317,0.492697994524898,1
"Bacteria_Actinobacteria_Thermoleophilia_Gaiellales_Gaiellaceae_unclassified_unclassified_02557bc67a4a5b25f2a65ac392f38af3",117.572525397717,-0.176363170344474,0.189386442690779,-0.931234400090778,0.351732327026416,1
"Bacteria_Chloroflexi_Ellin6529_unclassified_unclassified_unclassified_unclassified_b430752b27d747ec900255d78d865669",117.197767856906,-0.297534211486803,0.172322320556793,-1.72661446599278,0.0842369261746855,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_endophyticus_3f67b844e7c311462ac34b66a7faab31",107.692053096606,0.185742614691339,0.281254381566337,0.660407897138946,0.508992105725996,1
"Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter_unclassified_e83a76f08c138356547feff3cac7a69b",101.970712077182,0.134220851092168,0.226436462712469,0.592752816769634,0.553346588735012,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_muralis_8adb5559e135233565acfea1287280bf",109.16704063016,-0.155160660987179,0.188358658699921,-0.823751146127925,0.410080971575586,1
"Bacteria_Chloroflexi_Thermomicrobia_JG30-KF-CM45_unclassified_unclassified_unclassified_cdb9c0ee3bba4c3d8b9292eb575bd9e3",112.59234524051,-0.164405392693855,0.319008304070435,-0.515363990830643,0.606298690401159,1
"Bacteria_Gemmatimonadetes_Gemm-1_unclassified_unclassified_unclassified_unclassified_ef3fdbe1dcde754d91130cde6a4b4d61",110.344150413233,-0.0430707111294229,0.134831536815165,-0.319440927150942,0.749392179796439,1
"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_unclassified_unclassified_125358a86cc2e5136055d5376d193488",126.510299538416,-0.148689053490952,0.286332163139096,-0.519288688566644,0.603559440169766,1
"Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_ec166513706852541cc5bf82ec2cb3cd",103.394131631602,-0.237859947514557,0.13006680994294,-1.82875206687168,0.0674367586228719,1
"Bacteria_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophobacteraceae_unclassified_unclassified_5ac01de94ebfe35e4bf63d83d5f9558f",96.3735427256167,0.148859575631396,0.145533530285667,1.02285415147424,0.306376810001823,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_foraminis_e86a52b004b2207a19bd35a2a38eca53",97.7511910743045,0.242777961951007,0.206442893243769,1.17600542278941,0.239592709092378,1
"Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_45b16c33d796c3a44f87ee697aa3b7bc",108.609541363492,0.0027236287208057,0.164852057016928,0.0165216544463623,0.986818226694992,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_badius_aa4fb4dd293807c66aa6b76de0ac805d",95.8035889737401,0.0342637854528085,0.220518973779037,0.155377947147266,0.87652336864348,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptosporangiaceae_unclassified_unclassified_80d77ec7342e13ba1261e58a23128ef7",182.069406173103,0.439724334116305,0.898398463064883,0.489453568983397,0.624520618692176,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_unclassified_unclassified_92e162db2b39cff44b60a6d7ee7c0ffb",65.0595347529213,0.448592892471751,0.549814229810258,0.815899022159832,0.414557891464152,1
