"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_unclassified_unclassified_6466aa53adc18d74c66bfebb47d6c1fb",625.432202255787,0.166015374885228,0.363957218781796,0.456139805224633,0.648289447936019,1
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_unclassified_unclassified_dedf8ada138f4e75f19bbb07eb30d65e",0.122463274367622,-0.915941970104793,4.19364694981082,-0.218411797909243,0.82710827402631,1
"Bacteria_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_9c5de34c84842283b454d2772bee4134",0.198657603251609,0.743093846730165,4.1936469498082,0.17719513722159,0.859355115162274,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter_unclassified_7f55f6fcd3f33e97c72c92c9c200ba51",230.482417007511,-0.164599992065287,0.535128095521676,-0.307589890052072,0.758394414055496,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_unclassified_unclassified_b15d46c3fd9f3bd3659eab08d4239205",261.061940044389,-0.120817973134169,0.263376464311199,-0.458727295357011,0.646430010393854,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_80909a5b91f91a814a581087f46700ff",214.78221336805,0.18133315085245,0.36439408763405,0.497629234408867,0.618745394399709,1
"Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales_Myxococcaceae_Corallococcus_exiguus_4cb288686955fe52f81301d76f353c2c",324.537591113881,1.21970830904976,0.577971905748279,2.1103245623516,0.0348304093213136,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Balneimonas_unclassified_3a810b99a872ff07645c2fca2e3e4552",281.501804494718,0.0988853315721233,0.358793580057675,0.275605075085869,0.78285141123492,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_10aa0f26b210fbe3a30fe61801e9a075",197.656851199728,-0.0905630460822794,0.334019172365639,-0.27113128100067,0.786290063573498,1
"Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter_unclassified_0b04c9afd8aa284f2791a1513cc7ba8e",184.286039961174,0.129434184950759,0.458214681282129,0.28247498440816,0.777579325433739,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Balneimonas_unclassified_c097de103926df5150eba87ad800905a",241.793009581884,0.239603807976929,0.391772497900396,0.611589147428735,0.540809620161284,1
"Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_830fc971dc2fe4c97ba50483d6ec374f",207.713590094669,0.108694506798439,0.324479949752978,0.334980657144413,0.737639677474636,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_unclassified_unclassified_fad7959733a200344fe5a2a9f6252f81",197.041681664361,0.076079286515854,0.476507106603181,0.159660339712856,0.873148644364134,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Ammoniphilus_unclassified_9279403ab31c9b2574b09cef10f08586",182.199913767342,-0.271660514809332,0.390321847971191,-0.695991055128903,0.486434431526215,1
"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter_unclassified_6b780e361cfc5f06def718518324bdcb",101.364493436336,0.207634183151208,0.910397567349118,0.228069791262508,0.819591984308818,1
"Bacteria_Gemmatimonadetes_Gemm-1_unclassified_unclassified_unclassified_unclassified_4f52ef70709f6baf6ff9e9409f25d251",165.491161328847,-0.00515318553866674,0.332386221783339,-0.0155036075533413,0.987630406428154,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_gargensis_33388eb9cfbb1d2c8721884bf9dc7e78",159.470338359709,0.054725534732238,0.346175622477825,0.158086044131382,0.874388997496839,1
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Sinobacteraceae_Steroidobacter_unclassified_8cad136a54d80ba5c2c17fd83897a23b",191.446848808069,-0.154452119493392,0.349901759614419,-0.441415669539912,0.658912100287684,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_badius_d15527e43a1232a9618576ad5b7077d7",159.538485439525,0.277823267963288,0.348058202105344,0.798209225591535,0.424749084607967,1
"Bacteria_Firmicutes_Bacilli_Bacillales_unclassified_unclassified_unclassified_6898520892f36d2f9597b1c708e294f0",166.985994563568,-0.117512903346668,0.386515524164511,-0.304031522668288,0.761103875577185,1
"Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_gargensis_a56b903521b8ab33a7878b35582803a8",136.755849812698,-0.248374259637264,0.338209222516813,-0.734380505028709,0.46271686495214,1
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_unclassified_unclassified_d5852b2cfe9a840634e4d1235423c997",169.446046743252,0.186015008264589,0.390737268811646,0.476061597170699,0.634030495125784,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae_Alicyclobacillus_unclassified_76c0b4611b73a753095a82e2c90c4819",115.511233407554,-0.335679234785983,2.15318948828229,-0.155898603728449,0.876112945916006,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Ammoniphilus_unclassified_ddbc32632c9632d1dd746f28721f3a9f",145.663239566324,-0.472062376984219,0.447674991367894,-1.05447564882239,0.291665203679826,1
"Bacteria_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophobacteraceae_unclassified_unclassified_4348f9aa3de7e33e5591b394f28572cc",117.410162900726,0.121563203102127,0.293400511712083,0.414325122995758,0.678636017276948,1
"Bacteria_Actinobacteria_Acidimicrobiia_Acidimicrobiales_AKIW874_unclassified_unclassified_922edc6d7de65fa8318a230f1d9fdd6c",100.975245512762,0.0170516303587058,0.423330909793154,0.0402796723892369,0.967870159708582,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_unclassified_unclassified_a5120033e56dff33eb70079fee882a45",143.726210493565,0.0253793267692702,0.506263103683149,0.050130705920758,0.960018230706578,1
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Sinobacteraceae_Steroidobacter_unclassified_4c8ff0ea98d2c0ebb486e33bd96c61f9",126.251813306129,0.465796840899762,0.365320075068463,1.27503762505378,0.202295924979198,1
"Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter_unclassified_c471b243ae160f3817bd392932447fce",133.142874546813,-0.139574489710056,0.405207574550223,-0.344451827843995,0.730506517718223,1
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_flexus_225c214be44851578ee9fbe5f47a2c6f",137.800694244144,0.212821934933576,0.457748429996814,0.464932091487584,0.641980088184695,1
"Bacteria_Actinobacteria_Actinobacteria_Micrococcales_unclassified_unclassified_unclassified_08f626e184165aaea3e4898bd321586f",104.339484979608,0.303639024745476,0.383033948853896,0.792720921093331,0.427940438416791,1
"Bacteria_Actinobacteria_Thermoleophilia_Gaiellales_Gaiellaceae_unclassified_unclassified_02557bc67a4a5b25f2a65ac392f38af3",102.147044823571,0.142108032458324,0.332511214416527,0.42737816439571,0.66910390901799,1
"Bacteria_Chloroflexi_Ellin6529_unclassified_unclassified_unclassified_unclassified_b430752b27d747ec900255d78d865669",115.085035469503,-0.138825695538582,0.35195355409619,-0.394443226735084,0.693253834931605,1
