"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_root",-0.767412758892277,-0.0464494247856964,"P10","C","High","S1","Sept","root"
"P10_C_High_S1_Sept_soil",0.453282129878819,-0.0219587996181686,"P10","C","High","S1","Sept","soil"
"P10_C_High_S2_Sept_root",-0.75902235155726,-0.0371760374141437,"P10","C","High","S2","Sept","root"
"P10_C_High_S2_Sept_soil",0.417860004399019,0.0744358414715254,"P10","C","High","S2","Sept","soil"
"P10_C_High_S3_Sept_root",-0.689210121440235,-0.0678036917672971,"P10","C","High","S3","Sept","root"
"P10_C_High_S3_Sept_soil",0.713119996212498,-0.0800407812980781,"P10","C","High","S3","Sept","soil"
"P11_A_Low_S1_July_root",-0.747479546757199,-0.0148669960234062,"P11","A","Low","S1","July","root"
"P11_A_Low_S1_July_soil",0.792459826447696,-0.175763091731168,"P11","A","Low","S1","July","soil"
"P11_A_Low_S2_July_soil",0.679691441799389,-0.0425572283311237,"P11","A","Low","S2","July","soil"
"P11_A_Low_S3_July_soil",0.768685580574524,-0.839943062052521,"P11","A","Low","S3","July","soil"
"P11_C_Low_S1_July_root",-0.894551470744052,-0.0355487585621751,"P11","C","Low","S1","July","root"
"P11_C_Low_S1_July_soil",0.693906999620025,0.167796069116441,"P11","C","Low","S1","July","soil"
"P11_C_Low_S2_July_root",-0.831025521263233,-0.115691321613088,"P11","C","Low","S2","July","root"
"P11_C_Low_S2_July_soil",0.746725718586644,-0.0478519563617385,"P11","C","Low","S2","July","soil"
"P11_C_Low_S3_July_root",-0.799007314063957,0.0320014483041521,"P11","C","Low","S3","July","root"
"P11_C_Low_S3_July_soil",0.681247282305666,0.123586944913109,"P11","C","Low","S3","July","soil"
"P11_N_Low_S1_July_root",-0.765115154008546,0.0220884581236815,"P11","N","Low","S1","July","root"
"P11_N_Low_S1_July_soil",0.829499077068117,-0.130204552847043,"P11","N","Low","S1","July","soil"
"P11_N_Low_S1_Sept_root",-0.716060973472436,-0.00684147833655166,"P11","N","Low","S1","Sept","root"
"P11_N_Low_S1_Sept_soil",0.655795645775179,0.0111253621258051,"P11","N","Low","S1","Sept","soil"
"P11_N_Low_S2_July_root",-0.751193416738936,0.0284951772325529,"P11","N","Low","S2","July","root"
"P11_N_Low_S2_July_soil",0.78616447004639,-0.0302798721553172,"P11","N","Low","S2","July","soil"
"P11_N_Low_S2_Sept_root",-0.75415531517151,-0.0193407117077122,"P11","N","Low","S2","Sept","root"
"P11_N_Low_S2_Sept_soil",0.486995813156784,0.247607449268071,"P11","N","Low","S2","Sept","soil"
"P11_N_Low_S3_July_root",-0.828408465477287,0.00455335821722245,"P11","N","Low","S3","July","root"
"P11_N_Low_S3_July_soil",0.672717105263414,0.0129708817371405,"P11","N","Low","S3","July","soil"
"P11_N_Low_S3_Sept_root",-0.816832775490828,-0.0444277244854694,"P11","N","Low","S3","Sept","root"
"P11_N_Low_S3_Sept_soil",0.569597214671069,-0.0879781157955257,"P11","N","Low","S3","Sept","soil"
"P4_A_Low_S1_Sept_root",-0.824886588479592,-0.0815205026035744,"P4","A","Low","S1","Sept","root"
"P4_A_Low_S1_Sept_soil",0.638688488403279,0.055268171186273,"P4","A","Low","S1","Sept","soil"
"P4_A_Low_S2_Sept_root",-0.901631020273547,-0.03680761433967,"P4","A","Low","S2","Sept","root"
"P4_A_Low_S2_Sept_soil",0.658408103435503,-0.0132315491557687,"P4","A","Low","S2","Sept","soil"
"P4_A_Low_S3_Sept_root",-0.658303986969883,0.277363263925354,"P4","A","Low","S3","Sept","root"
"P4_A_Low_S3_Sept_soil",0.654147105326714,-0.092087722753879,"P4","A","Low","S3","Sept","soil"
"P6_N_High_S1_Sept_root",-0.732278191233009,0.108087629357965,"P6","N","High","S1","Sept","root"
"P6_N_High_S1_Sept_soil",0.811797086915618,-0.0313141316883682,"P6","N","High","S1","Sept","soil"
"P6_N_High_S2_Sept_root",-0.685131801156033,0.0943694245816327,"P6","N","High","S2","Sept","root"
"P6_N_High_S2_Sept_soil",0.479729050107052,0.08090416778936,"P6","N","High","S2","Sept","soil"
"P6_N_High_S3_Sept_root",-0.84220488561285,-0.0204100138677393,"P6","N","High","S3","Sept","root"
"P6_N_High_S3_Sept_soil",0.588527270885529,0.0306367152944952,"P6","N","High","S3","Sept","soil"
"P7_C_Low_S1_Sept_root",-0.818718673398594,-0.0204610612103716,"P7","C","Low","S1","Sept","root"
"P7_C_Low_S1_Sept_soil",0.738829706248919,0.0256134827039438,"P7","C","Low","S1","Sept","soil"
"P7_C_Low_S2_Sept_root",-0.778139434340151,0.0511683045353007,"P7","C","Low","S2","Sept","root"
"P7_C_Low_S2_Sept_soil",0.722421194907412,-0.22419351092704,"P7","C","Low","S2","Sept","soil"
"P7_C_Low_S3_Sept_root",-0.773893421677344,-0.0688970711590793,"P7","C","Low","S3","Sept","root"
"P7_C_Low_S3_Sept_soil",0.542485136390394,-0.0241551564594053,"P7","C","Low","S3","Sept","soil"
"P8_A_High_S1_July_soil",0.459586912598655,0.143192904601255,"P8","A","High","S1","July","soil"
"P8_A_High_S1_Sept_root",-0.791270645458693,-0.0406048633589065,"P8","A","High","S1","Sept","root"
"P8_A_High_S1_Sept_soil",0.709064517926558,0.0453862571729519,"P8","A","High","S1","Sept","soil"
"P8_A_High_S2_July_root",-0.788762678618116,-0.0821077482412923,"P8","A","High","S2","July","root"
"P8_A_High_S2_July_soil",1.04997630080519,0.0166113737460775,"P8","A","High","S2","July","soil"
"P8_A_High_S2_Sept_root",-0.786047009750663,-0.000384364746788797,"P8","A","High","S2","Sept","root"
"P8_A_High_S2_Sept_soil",0.706615500093984,0.005685401961449,"P8","A","High","S2","Sept","soil"
"P8_A_High_S3_July_root",-0.808926340396079,0.0527838869242159,"P8","A","High","S3","July","root"
"P8_A_High_S3_July_soil",0.785180353281586,0.0589222338604948,"P8","A","High","S3","July","soil"
"P8_A_High_S3_Sept_root",-0.791182214129963,-0.0271020448216716,"P8","A","High","S3","Sept","root"
"P8_A_High_S3_Sept_soil",0.643879993366849,-0.14173345408906,"P8","A","High","S3","Sept","soil"
"P8_C_High_S1_July_root",-0.703407535448727,-0.00601762351471353,"P8","C","High","S1","July","root"
