"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_root",-0.0662506228865494,-0.00764121354429083,"P10","C","High","S1","Sept","root"
"P10_C_High_S2_Sept_root",-0.0350589058560314,-0.00373848628921767,"P10","C","High","S2","Sept","root"
"P10_C_High_S3_Sept_root",-0.11765773087637,-0.134326796154981,"P10","C","High","S3","Sept","root"
"P11_A_Low_S1_July_root",-0.00211498781569782,0.0291559647438769,"P11","A","Low","S1","July","root"
"P11_C_Low_S1_July_root",-0.0631115167911204,0.0935467286684539,"P11","C","Low","S1","July","root"
"P11_C_Low_S2_July_root",-0.133305700385621,0.104326403888935,"P11","C","Low","S2","July","root"
"P11_C_Low_S3_July_root",-0.0167234355798318,-0.0754506809091295,"P11","C","Low","S3","July","root"
"P11_N_Low_S1_July_root",0.0701068531714192,0.0502951167437789,"P11","N","Low","S1","July","root"
"P11_N_Low_S1_Sept_root",0.0276777765440812,0.0447699889008112,"P11","N","Low","S1","Sept","root"
"P11_N_Low_S2_July_root",0.0794805585703157,0.021951777067919,"P11","N","Low","S2","July","root"
"P11_N_Low_S2_Sept_root",-0.00780972873665355,0.0271514875766142,"P11","N","Low","S2","Sept","root"
"P11_N_Low_S3_July_root",-0.0118389179171961,0.0799503757033263,"P11","N","Low","S3","July","root"
"P11_N_Low_S3_Sept_root",-0.0732884899138427,0.0213079784339022,"P11","N","Low","S3","Sept","root"
"P4_A_Low_S1_Sept_root",-0.140665055031304,0.0162774375687512,"P4","A","Low","S1","Sept","root"
"P4_A_Low_S2_Sept_root",-0.0698592477903746,0.0929084556209226,"P4","A","Low","S2","Sept","root"
"P4_A_Low_S3_Sept_root",0.520359051581021,0.0647124352337524,"P4","A","Low","S3","Sept","root"
"P6_N_High_S1_Sept_root",0.0530858540561159,-0.188719747078074,"P6","N","High","S1","Sept","root"
"P6_N_High_S2_Sept_root",0.165829052214837,-0.12943286716775,"P6","N","High","S2","Sept","root"
"P6_N_High_S3_Sept_root",-0.0485649998985368,-0.0426493650430057,"P6","N","High","S3","Sept","root"
"P7_C_Low_S1_Sept_root",-0.0619475628099791,0.0277471280450721,"P7","C","Low","S1","Sept","root"
"P7_C_Low_S2_Sept_root",0.0213999366092552,-0.0898286006258454,"P7","C","Low","S2","Sept","root"
"P7_C_Low_S3_Sept_root",0.0509554893354954,0.0972050033918229,"P7","C","Low","S3","Sept","root"
"P8_A_High_S1_Sept_root",-0.034213214921977,0.0535230970991445,"P8","A","High","S1","Sept","root"
"P8_A_High_S2_July_root",-0.108830255453449,-0.0306000976348443,"P8","A","High","S2","July","root"
"P8_A_High_S2_Sept_root",0.023463759154518,-0.00936094994585292,"P8","A","High","S2","Sept","root"
"P8_A_High_S3_July_root",-0.0381929693763665,-0.107749289799822,"P8","A","High","S3","July","root"
"P8_A_High_S3_Sept_root",-0.0464612235400578,0.000899449580436803,"P8","A","High","S3","Sept","root"
"P8_C_High_S1_July_root",0.0322477893754535,0.0150184582763726,"P8","C","High","S1","July","root"
"P8_C_High_S3_July_root",0.0855981429648351,-0.0386424858472324,"P8","C","High","S3","July","root"
"P8_N_High_S2_July_root",-0.0543096979963895,0.0173932934961534,"P8","N","High","S2","July","root"
