"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_root",-0.0365469848282628,-0.0503419635939757,"P10","C","High","S1","Sept","root"
"P10_C_High_S2_Sept_root",-0.012964795738459,-0.0175670856822611,"P10","C","High","S2","Sept","root"
"P10_C_High_S3_Sept_root",0.022708071784008,-0.202683010343316,"P10","C","High","S3","Sept","root"
"P11_A_Low_S1_July_root",-0.014477503021789,0.042077868454052,"P11","A","Low","S1","July","root"
"P11_C_Low_S1_July_root",-0.114528639439449,0.0440195412568185,"P11","C","Low","S1","July","root"
"P11_C_Low_S2_July_root",-0.183821423397442,-0.00300200651452177,"P11","C","Low","S2","July","root"
"P11_C_Low_S3_July_root",0.0701368605678416,-0.0570283418492736,"P11","C","Low","S3","July","root"
"P11_N_Low_S1_July_root",0.0224953398795413,0.118333307737083,"P11","N","Low","S1","July","root"
"P11_N_Low_S1_Sept_root",-0.00718019159932803,0.0774781456581256,"P11","N","Low","S1","Sept","root"
"P11_N_Low_S2_July_root",0.055456865172534,0.102425063783648,"P11","N","Low","S2","July","root"
"P11_N_Low_S2_Sept_root",-0.0167120460775717,0.0366474348057394,"P11","N","Low","S2","Sept","root"
"P11_N_Low_S3_July_root",-0.0642752211139193,0.0777324022413437,"P11","N","Low","S3","July","root"
"P11_N_Low_S3_Sept_root",-0.0675728319273724,-0.0210770449444056,"P11","N","Low","S3","Sept","root"
"P4_A_Low_S1_Sept_root",-0.111487820393071,-0.102627073002618,"P4","A","Low","S1","Sept","root"
"P4_A_Low_S2_Sept_root",-0.115596625111661,0.0355686412059116,"P4","A","Low","S2","Sept","root"
"P6_N_High_S1_Sept_root",0.221169107574185,-0.0736917791084138,"P6","N","High","S1","Sept","root"
"P6_N_High_S2_Sept_root",0.240296148224129,0.0750350934729571,"P6","N","High","S2","Sept","root"
"P6_N_High_S3_Sept_root",0.0136321026062763,-0.0600356362656572,"P6","N","High","S3","Sept","root"
"P7_C_Low_S1_Sept_root",-0.0620525515779195,-0.0348176417126978,"P7","C","Low","S1","Sept","root"
"P7_C_Low_S2_Sept_root",0.11410642803279,-0.0281104885868052,"P7","C","Low","S2","Sept","root"
"P7_C_Low_S3_Sept_root",-0.0241788801596085,0.139956760209376,"P7","C","Low","S3","Sept","root"
"P8_A_High_S1_Sept_root",-0.060687041248637,0.0316103667780866,"P8","A","High","S1","Sept","root"
"P8_A_High_S2_July_root",-0.0521636576677185,-0.10964479599462,"P8","A","High","S2","July","root"
"P8_A_High_S2_Sept_root",0.0352381083062417,0.0192831829103315,"P8","A","High","S2","Sept","root"
"P8_A_High_S3_July_root",0.0802877126394663,-0.104102565969527,"P8","A","High","S3","July","root"
"P8_A_High_S3_Sept_root",-0.0249368718973831,-0.0235494905936013,"P8","A","High","S3","Sept","root"
"P8_C_High_S1_July_root",0.0250698421828528,0.0545172284327293,"P8","C","High","S1","July","root"
"P8_C_High_S3_July_root",0.116917489059752,0.0469990785020401,"P8","C","High","S3","July","root"
"P8_N_High_S2_July_root",-0.0483309908300256,-0.0134051912865473,"P8","N","High","S2","July","root"
