"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_root",-0.0603530906848454,-0.0831338921204468,"P10","C","High","S1","Sept","root"
"P10_C_High_S2_Sept_root",-0.0214098508150695,-0.0290099968638193,"P10","C","High","S2","Sept","root"
"P10_C_High_S3_Sept_root",0.0374997369030116,-0.334707395452985,"P10","C","High","S3","Sept","root"
"P11_A_Low_S1_July_root",-0.0239079107858018,0.0694867010935608,"P11","A","Low","S1","July","root"
"P11_C_Low_S1_July_root",-0.189130714738352,0.0726931476799572,"P11","C","Low","S1","July","root"
"P11_C_Low_S2_July_root",-0.303559680456696,-0.00495746426849739,"P11","C","Low","S2","July","root"
"P11_C_Low_S3_July_root",0.115822859973056,-0.0941756673884055,"P11","C","Low","S3","July","root"
"P11_N_Low_S1_July_root",0.0371484349287949,0.195413681496673,"P11","N","Low","S1","July","root"
"P11_N_Low_S1_Sept_root",-0.0118572505164281,0.127946137635475,"P11","N","Low","S1","Sept","root"
"P11_N_Low_S2_July_root",0.0915805566063242,0.169143068627515,"P11","N","Low","S2","July","root"
"P11_N_Low_S2_Sept_root",-0.0275979984994277,0.0605189721283741,"P11","N","Low","S2","Sept","root"
"P11_N_Low_S3_July_root",-0.106143044820402,0.128366012782393,"P11","N","Low","S3","July","root"
"P11_N_Low_S3_Sept_root",-0.111588665174664,-0.0348062859597258,"P11","N","Low","S3","Sept","root"
"P4_A_Low_S1_Sept_root",-0.184109156092004,-0.169476663334957,"P4","A","Low","S1","Sept","root"
"P4_A_Low_S2_Sept_root",-0.190894368742315,0.0587374700902009,"P4","A","Low","S2","Sept","root"
"P6_N_High_S1_Sept_root",0.365235032899035,-0.121693394083178,"P6","N","High","S1","Sept","root"
"P6_N_High_S2_Sept_root",0.396821113783773,0.123911721369067,"P6","N","High","S2","Sept","root"
"P6_N_High_S3_Sept_root",0.0225118304201518,-0.099141864011216,"P6","N","High","S3","Sept","root"
"P7_C_Low_S1_Sept_root",-0.102472564842396,-0.057497281857678,"P7","C","Low","S1","Sept","root"
"P7_C_Low_S2_Sept_root",0.188433481753634,-0.0464211993095193,"P7","C","Low","S2","Sept","root"
"P7_C_Low_S3_Sept_root",-0.0399286057054526,0.231122295876553,"P7","C","Low","S3","Sept","root"
"P8_A_High_S1_Sept_root",-0.100217583504769,0.0522008406905224,"P8","A","High","S1","Sept","root"
"P8_A_High_S2_July_root",-0.0861422078036497,-0.1810656158608,"P8","A","High","S2","July","root"
"P8_A_High_S2_Sept_root",0.058191633486666,0.0318439316498607,"P8","A","High","S2","Sept","root"
"P8_A_High_S3_July_root",0.132585810418518,-0.171913268194568,"P8","A","High","S3","July","root"
"P8_A_High_S3_Sept_root",-0.0411803408158383,-0.0388892421100199,"P8","A","High","S3","Sept","root"
"P8_C_High_S1_July_root",0.04139992576204,0.0900288559219933,"P8","C","High","S1","July","root"
"P8_C_High_S3_July_root",0.193075621779085,0.0776135065660525,"P8","C","High","S3","July","root"
"P8_N_High_S2_July_root",-0.0798130047159795,-0.0221371127923809,"P8","N","High","S2","July","root"
