"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_soil",-0.195426248139639,0.115190729107575,"P10","C","High","S1","Sept","soil"
"P10_C_High_S2_Sept_soil",-0.235632257223983,-0.0359622040859621,"P10","C","High","S2","Sept","soil"
"P10_C_High_S3_Sept_soil",0.190478299728684,0.0686908948038409,"P10","C","High","S3","Sept","soil"
"P11_A_Low_S1_July_soil",0.297942460548737,-0.055081870594313,"P11","A","Low","S1","July","soil"
"P11_A_Low_S2_July_soil",0.0871170752385367,0.112620801203836,"P11","A","Low","S2","July","soil"
"P11_C_Low_S1_July_soil",0.0902720383549836,-0.233157935402178,"P11","C","Low","S1","July","soil"
"P11_C_Low_S2_July_soil",0.201583715448824,0.0422595785032658,"P11","C","Low","S2","July","soil"
"P11_C_Low_S3_July_soil",-0.137380707108865,0.152776353549862,"P11","C","Low","S3","July","soil"
"P11_N_Low_S1_July_soil",0.304661115922394,-0.109491035791771,"P11","N","Low","S1","July","soil"
"P11_N_Low_S1_Sept_soil",0.0279179405284564,0.00377487432145293,"P11","N","Low","S1","Sept","soil"
"P11_N_Low_S2_July_soil",0.180339657113521,0.17327841566375,"P11","N","Low","S2","July","soil"
"P11_N_Low_S2_Sept_soil",-0.298733930021192,-0.146831813649595,"P11","N","Low","S2","Sept","soil"
"P11_N_Low_S3_July_soil",0.0338676510195311,0.00304695476523988,"P11","N","Low","S3","July","soil"
"P11_N_Low_S3_Sept_soil",0.00411686414852327,0.106479648284154,"P11","N","Low","S3","Sept","soil"
"P4_A_Low_S1_Sept_soil",-0.0059637021833966,-0.0923993885836392,"P4","A","Low","S1","Sept","soil"
"P4_A_Low_S2_Sept_soil",0.0608820720103589,-0.0106757206839866,"P4","A","Low","S2","Sept","soil"
"P4_A_Low_S3_Sept_soil",0.0161307868952043,0.240275594606254,"P4","A","Low","S3","Sept","soil"
"P6_N_High_S1_Sept_soil",0.277391699613924,0.0197669659199972,"P6","N","High","S1","Sept","soil"
"P6_N_High_S2_Sept_soil",-0.0861691640353497,-0.245995075615125,"P6","N","High","S2","Sept","soil"
"P6_N_High_S3_Sept_soil",-0.0454224451777352,-0.0227020148298956,"P6","N","High","S3","Sept","soil"
"P7_C_Low_S1_Sept_soil",0.108016959338724,-0.0506651425762003,"P7","C","Low","S1","Sept","soil"
"P7_C_Low_S2_Sept_soil",0.297742776981535,-0.19559407520439,"P7","C","Low","S2","Sept","soil"
"P7_C_Low_S3_Sept_soil",-0.0786311985106219,0.0128404019801195,"P7","C","Low","S3","Sept","soil"
"P8_A_High_S1_July_soil",-0.287816260892031,0.134354754854236,"P8","A","High","S1","July","soil"
"P8_A_High_S1_Sept_soil",0.0818727496126309,-0.058525799379245,"P8","A","High","S1","Sept","soil"
"P8_A_High_S2_July_soil",0.487316158939253,0.0726435210539788,"P8","A","High","S2","July","soil"
"P8_A_High_S2_Sept_soil",0.0537434266121825,0.0212257569999524,"P8","A","High","S2","Sept","soil"
"P8_A_High_S3_July_soil",0.0879745010262226,0.200128458610051,"P8","A","High","S3","July","soil"
"P8_A_High_S3_Sept_soil",-0.0566136674171263,0.216104513588559,"P8","A","High","S3","Sept","soil"
"P8_C_High_S1_July_soil",-0.424062126024367,-0.0308523166343281,"P8","C","High","S1","July","soil"
"P8_C_High_S2_July_soil",-0.159653492099365,-0.224846472554713,"P8","C","High","S2","July","soil"
"P8_C_High_S3_July_soil",-0.201754566851784,-0.14592936357141,"P8","C","High","S3","July","soil"
"P8_N_High_S1_July_soil",-0.422175558514167,0.0269161469492274,"P8","N","High","S1","July","soil"
"P8_N_High_S2_July_soil",0.0434709122039591,-0.154149601552776,"P8","N","High","S2","July","soil"
"P8_N_High_S3_July_soil",-0.297403537086561,0.0904854659441746,"P8","N","High","S3","July","soil"
