"","NMDS1","NMDS2","Plant","Treatment","Line","Replicate","Date","Compartment"
"P10_C_High_S1_Sept_soil",-0.28080947164915,0.1655184402684,"P10","C","High","S1","Sept","soil"
"P10_C_High_S2_Sept_soil",-0.338581793819651,-0.0516743662883102,"P10","C","High","S2","Sept","soil"
"P10_C_High_S3_Sept_soil",0.273699726708261,0.0987024724702853,"P10","C","High","S3","Sept","soil"
"P11_A_Low_S1_July_soil",0.428115801868932,-0.0791475614267729,"P11","A","Low","S1","July","soil"
"P11_A_Low_S2_July_soil",0.125179192161909,0.161825691194542,"P11","A","Low","S2","July","soil"
"P11_C_Low_S1_July_soil",0.129712582810482,-0.335026421856645,"P11","C","Low","S1","July","soil"
"P11_C_Low_S2_July_soil",0.289657183551973,0.06072311178557,"P11","C","Low","S2","July","soil"
"P11_C_Low_S3_July_soil",-0.197403389489736,0.219525511691583,"P11","C","Low","S3","July","soil"
"P11_N_Low_S1_July_soil",0.437769889196655,-0.157328507320245,"P11","N","Low","S1","July","soil"
"P11_N_Low_S1_Sept_soil",0.0401155024156557,0.00542414580354485,"P11","N","Low","S1","Sept","soil"
"P11_N_Low_S2_July_soil",0.259131433538302,0.248985081655824,"P11","N","Low","S2","July","soil"
"P11_N_Low_S2_Sept_soil",-0.429253070411425,-0.210983756812276,"P11","N","Low","S2","Sept","soil"
"P11_N_Low_S3_July_soil",0.0486646869564666,0.00437819262208065,"P11","N","Low","S3","July","soil"
"P11_N_Low_S3_Sept_soil",0.00591555360348576,0.153001421562858,"P11","N","Low","S3","Sept","soil"
"P4_A_Low_S1_Sept_soil",-0.0085692893105939,-0.132769388635739,"P4","A","Low","S1","Sept","soil"
"P4_A_Low_S2_Sept_soil",0.0874819152334055,-0.0153400247575859,"P4","A","Low","S2","Sept","soil"
"P4_A_Low_S3_Sept_soil",0.023178451146904,0.345253840842078,"P4","A","Low","S3","Sept","soil"
"P6_N_High_S1_Sept_soil",0.398586256196186,0.0284033046171717,"P6","N","High","S1","Sept","soil"
"P6_N_High_S2_Sept_soil",-0.123817131299199,-0.353472206877846,"P6","N","High","S2","Sept","soil"
"P6_N_High_S3_Sept_soil",-0.0652678591171557,-0.0326206988592393,"P6","N","High","S3","Sept","soil"
"P7_C_Low_S1_Sept_soil",0.155210395582999,-0.0728011311340622,"P7","C","Low","S1","Sept","soil"
"P7_C_Low_S2_Sept_soil",0.427828875022938,-0.281050623642956,"P7","C","Low","S2","Sept","soil"
"P7_C_Low_S3_Sept_soil",-0.112985770944801,0.0184504718794154,"P7","C","Low","S3","Sept","soil"
"P8_A_High_S1_July_soil",-0.413565388081212,0.193055375535895,"P8","A","High","S1","July","soil"
"P8_A_High_S1_Sept_soil",0.117643580532531,-0.0840961690559951,"P8","A","High","S1","Sept","soil"
"P8_A_High_S2_July_soil",0.700228318460299,0.104382031380584,"P8","A","High","S2","July","soil"
"P8_A_High_S2_Sept_soil",0.0772243410250515,0.0304994526848356,"P8","A","High","S2","Sept","soil"
"P8_A_High_S3_July_soil",0.126411233838554,0.287566113862513,"P8","A","High","S3","July","soil"
"P8_A_High_S3_Sept_soil",-0.0813486120051001,0.310522229534073,"P8","A","High","S3","Sept","soil"
"P8_C_High_S1_July_soil",-0.609338114449345,-0.044331929900468,"P8","C","High","S1","July","soil"
"P8_C_High_S2_July_soil",-0.229407324707631,-0.323083617279235,"P8","C","High","S2","July","soil"
"P8_C_High_S3_July_soil",-0.289902681240499,-0.209687019388018,"P8","C","High","S3","July","soil"
"P8_N_High_S1_July_soil",-0.606627291155071,0.0386760175544215,"P8","N","High","S1","July","soil"
"P8_N_High_S2_July_soil",0.0624636864510541,-0.22149874225714,"P8","N","High","S2","July","soil"
"P8_N_High_S3_July_soil",-0.427341418621474,0.130019258546861,"P8","N","High","S3","July","soil"
